id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
,"3 little kittens, The",,McLoughlin Bros,,,,English,text,print,10 leaves : col. ill. ; 28 cm.,Juvenile poetry|||Juvenile works|||Poetry,,Nursery rhymes|||Children's poetry|||Cats,,,,,,,,
,A.B.C. of animals,,,,,,English,text,print,[7] p. : ill. (some col.) ; 17 cm.,Juvenile literature|||Juvenile works,An ABC book illustrated with drawings of animals.,Animals|||Alphabet,,"United States, New York, New York",,,,,,
,Abbott's Young Christian,"Abbott, Jacob, 1803-1879","Abbott, Edward, 1841-1908",,,,English,text,print,2 v. in 1 : ill. ; 20 cm.,biography,,Youth|||Religious life|||Publishers' catalogs|||Specimens|||Advertising specialties,,,,,,,,
,"Abridged decimal classification and relativ index for libraries, clippings, notes, etc","Dewey, Melvil, 1851-1931",,,,,English,text,print,192 p. 26 cm.,,,"Classification, Dewey decimal",,,,,,,,
,Abroad,"Crane, Thomas Frederick, 1844-1927","Houghton, Ellen Elizabeth, 1853-1922",,,,English,text,print,56 p. : col. ill. ; 22 cm.,,,,,,,,,,,
,"abstract of the history of the Bible: for the use of children and young persons: with questions for examination; and a sketch of Scripture geography, illustrated with maps, An","Turner, William, 1761-1859",,,,,English,text,print|||unmediated|||volume,184 pages : 2 maps ; 14 cm.,History|||text,,History|||Children's literature|||Bible,,,,,,,,
,"admiral's caravan, The","Carryl, Charles E. (Charles Edward), 1841-1920","Birch, Reginald B., 1856-1943 (illustrator)|||De Vinne Press (printer)",,,,English,text,print|||unmediated|||volume,"[15], 12-140 p. : ill. ; 22 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1892|||Juvenile works|||text,,"Children|||Conduct of life|||Wit and humor, Juvenile|||Imagination|||Dreams|||Voyages, Imaginary|||Adventure stories|||Animals|||Orphans|||Taverns (Inns)|||Fairy tales",,,,,,,,
,"admired fairy tale of Cinderella, or, The little glass slipper: embellished with nine engravings, The",,,,,,English,text,print|||unmediated|||volume,24 pages. 1 unnumbered leaf of plates : illustrations ; 14 cm.,Fairy tales|||Specimens|||text,,"Fairy tales|||Chapbooks|||Chapbooks, English",,,,,,,,
,"Adopted daughter, or, The trials of Sabra: a tale of real life, The",,,,,,English,text,microfilm,199 p. ; 18 cm.,,,American fiction,,,,,,,,
,"adventures of a donkey, The","Argus, Arabella.",,,,,English,text,print,"213, [3] p., [1] leaf of plates : ill. ; 15 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel,,Children|||Conduct of life|||Christian life|||Donkeys|||Animal welfare|||Human-animal relationships|||Adventure and adventurers|||Sick|||Fishing stories,,,,,,,,
,"adventures of a donkey, The","Argus, Arabella",,,,,English,text,print,"231, 17⁾ p. : ill. front. ; 14 cm.",,,,,,,,,,,
,"adventures of a parrot, named Poll Pry: an account of her officious ways; including her birth, education, adversity, prosperity, and death, The","Oalton, Ann Elizabeth.","Davidson, G. H. (George Henry), 1800?-1875 (prt)",,,,English,text,print,104 p. : ill. ; 15 cm.,Juvenile fiction|||novel,,Youth|||Conduct of life|||Parrots|||Voyages and travels|||Prisoners,,,,,,,,
,"adventures of Captain Gulliver, The","Swift, Jonathan, 1667-1745",,,,,English,text,print|||unmediated|||volume,38 pages : illustrations ; 13 cm,Fiction|||Juvenile fiction|||Juvenile works|||Specimens|||text,,"Voyages, Imaginary|||Chapbooks|||Chapbooks, Irish|||Gulliver, Lemuel (Fictitious character)|||(Fictitious character) Gulliver, Lemuel",,,,,,,,
,"adventures of Captain Horn, The","Stockton, Frank R., 1834-1902","Armstrong, Margaret, 1867-1944 (binding designer)|||Oliver Wendell Holmes Collection (Library of Congress)|||Margaret Armstrong Binding Collection (Library of Congress)",,,,English,text,print|||unmediated|||volume,"vii, 404 pages ; 20 cm",Adventure fiction|||Fiction|||Juvenile fiction|||Juvenile works|||Publishers' advertisements-1895|||Publishers' cloth bindings (Binding)-New York (State)-New York-1895|||text,,Adventure stories|||Voyages and travels|||Shipwrecks|||Ship captains|||Sailors|||Brothers and sisters|||Treasure troves|||Outdoor life|||Brigands and robbers|||Youth|||Conduct of life,,Peru,,,,,,
,Adventures of Huckleberry Finn (Tom Sawyer's comrade): Scene: the Mississippi Valley. Time: forty to fifty years ago,"Twain, Mark, 1835-1910","Kemble, E. W. (Edward Windsor), 1861-1933 (illustrator)|||J.J. Little & Co (printer)",,,,English,text,print|||unmediated|||volume,"366, [2] pages, 1 unnumbered leaf of plates : illustrations, portrait ; 22 cm",Action and adventure fiction|||Adventure stories|||Bildungsromans|||Fiction|||Humorous fiction|||Humorous stories|||Juvenile literature|||Rare books|||novel|||still image|||text,"Recounts the adventures of a young boy and an escaped slave as they travel down the Mississippi River on a raft, and tells of the people they encounter, including a pair of swindlers and two families in a feud.","Runaway children|||Male friendship|||Fugitive slaves|||Race relations|||Boys|||(Fictitious character) Finn, Huckleberry",,"Missouri|||United States, New York, New York|||Mississippi River",,,,,,
,"Adventures of Kamoula, the lovely Arabian, or, A vindication of the ways of providence: exemplified in the triumph of virtue and innocence over corruption, perjury, and malice, The",,,,,,English,text,print,"4⁾, 156, 2⁾ p., 1⁾ leaf of plates : ill. ; 15 cm.",,,Tales|||Conduct of life|||Juvenile fiction,,,,,,,,
,"adventures of Mother Hubbard and her dog, The","Martin, Sarah Catherine, 1768-1826",,,,,English,text,print,15 (i.e. 8) p. : ill. ; 20 cm.,Juvenile poetry,,Dogs,,,,,,,,
,"Adventures of Robert, Earl of Huntingdon: commonly called Robin Hood, the famous English archer, The",,,,,,English,text,print,"110, 2⁾ p. ; 14 cm.",,,,,,,,,,,
,"adventures of Robinson Crusoe, The",,"Defoe, Daniel, 1661?-1731",,,,English,text,print|||unmediated|||volume,12 pages : illustrations ; 11 cm,Juvenile fiction|||Specimens|||text,,"Crusoe, Robinson (Fictitious character)|||Shipwreck survival|||Chapbooks, English|||Chapbooks|||Castaways|||Islands",,Atlantic Ocean,,,,,,
