id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"3 little kittens, The",Three little kittens,,,McLoughlin Bros,"New York, NY",McLoughlin Bros.,18--,18--|||1880/1992,,,,monographic,English,text,print,10 leaves : col. ill. ; 28 cm.,Juvenile poetry|||Juvenile works|||Poetry,,Nursery rhymes|||Children's poetry|||Cats,,,juvenile,4644117,,,ocm25052026,,,
,A.B.C. of animals,,ABC of animals,,,New York,McLoughlin Bros.|||McLoughlin Bros,c1899,c1899||||||1899,,,,monographic,English,text,print,[7] p. : ill. (some col.) ; 17 cm.,Juvenile literature|||Juvenile works,An ABC book illustrated with drawings of animals.,Animals|||Alphabet,,"United States, New York, New York",juvenile,4643953,,,ocm20585023,,,
,Abbott's Young Christian,Young Christian,A memorial sketch of Jacob Abbott|||The young Christian,"Abbott, Jacob, 1803-1879","Abbott, Edward, 1841-1908",New York,Harper & Brothers,1882,1882,,,Memorial ed.,monographic,English,text,print,2 v. in 1 : ill. ; 20 cm.,biography,,Youth|||Religious life|||Publishers' catalogs|||Specimens|||Advertising specialties,,,,1004062,,,02043840,,,
,"Abridged decimal classification and relativ index for libraries, clippings, notes, etc",,,"Dewey, Melvil, 1851-1931",,Boston,Library Bureau,[c1894],[c1894]||||||1894,,,,monographic,English,text,print,192 p. 26 cm.,,,"Classification, Dewey decimal",,,,630407,,04014482,04184089,,,
,Abroad,,,"Crane, Thomas Frederick, 1844-1927","Houghton, Ellen Elizabeth, 1853-1922",London|||New York,Marcus Ward & Co.,[1882],[1882]||||||1882,,,,monographic,English,text,print,56 p. : col. ill. ; 22 cm.,,,,,,juvenile,1498262,,,14218104,,,
,"abstract of the history of the Bible: for the use of children and young persons: with questions for examination; and a sketch of Scripture geography, illustrated with maps, An",,,"Turner, William, 1761-1859",,Newcastle,Printed by S. Hodgson,1806,1806,,,,monographic,English,text,print|||unmediated|||volume,184 pages : 2 maps ; 14 cm.,History|||text,,History|||Children's literature|||Bible,,,juvenile,7893226,,,ocm41418926,,,
,"admiral's caravan, The",,,"Carryl, Charles E. (Charles Edward), 1841-1920","Birch, Reginald B., 1856-1943 (illustrator)|||De Vinne Press (printer)",New York,The Century Co.|||Century Company,1892,1892,,,,monographic,English,text,print|||unmediated|||volume,"[15], 12-140 p. : ill. ; 22 cm.",Fiction|||Juvenile fiction|||Juvenile literature-1892|||Juvenile works|||text,,"Children|||Conduct of life|||Wit and humor, Juvenile|||Imagination|||Dreams|||Voyages, Imaginary|||Adventure stories|||Animals|||Orphans|||Taverns (Inns)|||Fairy tales",,,juvenile,9041216,,19008540,ocm10497754,,,
,"admired fairy tale of Cinderella, or, The little glass slipper: embellished with nine engravings, The",Cinderella. English,Cinderella|||Little glass slipper|||Popular fairy tale of Cinderella and the little glass slipper!|||Fortunatus,,,"New-York, and Philadelphia",Published by Turner & Fisher|||Turner & Fisher,[between 1842 and 1845],[between 1842 and 1845]|||1842/1845,,,,monographic,English,text,print|||unmediated|||volume,24 pages. 1 unnumbered leaf of plates : illustrations ; 14 cm.,Fairy tales|||Specimens|||text,,"Fairy tales|||Chapbooks|||Chapbooks, English",,,juvenile,7896312,,,ocm83733881,,,
,"Adopted daughter, or, The trials of Sabra: a tale of real life, The",,Adopted daughter|||Trials of Sabra,,,Ogdensburgh [N.Y.],"Hitchcock, Tillotson & Stilwell",1858,1858,,,[1st ed.?],monographic,English,text,microfilm,199 p. ; 18 cm.,,,American fiction,,,,4374972,,,ocm42806633,,,
,"adventures of a donkey, The",,,"Argus, Arabella.",,London (Holborn Hill),Darton and Clark|||Darton & Clark,[between 1837 and 1845?],[between 1837 and 1845?]|||1837/1845,,,,monographic,English,text,print,"213, [3] p., [1] leaf of plates : ill. ; 15 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel,,Children|||Conduct of life|||Christian life|||Donkeys|||Animal welfare|||Human-animal relationships|||Adventure and adventurers|||Sick|||Fishing stories,,,juvenile,7887971,,,ocn317420890,,,
