,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
0,4644117,3 little kittens; three little kittensthe,three little kittens,,,,"new york, ny",mcloughlin brosmcloughlin bros,18--; 1880; 1992,1880; 1992,,,,monographic,,eng,text,print,10 leaves : col. ill. ; 28 cm,juvenile poetry; juvenile works; poetry,,cats; children's poetry; nursery rhymes,,,juvenile,,,ocm25052026,
1,4643953,a.b.c. of animals; abc of animals,,abc of animals,,,new york,mcloughlin brosmcloughlin bros,1899; c1899,1899,,,,monographic,,eng,text,print,[7] p. : ill. (some col.) ; 17 cm,juvenile literature; juvenile works,an abc book illustrated with drawings of animals,alphabet; animals,,united states new york new york,juvenile,,,ocm20585023,
2,1004062,a memorial sketch of jacob abbott; abbott's young christian; the young christian; young christian,young christian,a memorial sketch of jacob abbott; the young christian,,,new york,"harper & brothers1803-1879; 1841-1908; abbott, edward; abbott, jacob",1882,,,,memorial ed,monographic,,eng,text,print,2 v. in 1 : ill. ; 20 cm,biography,,advertising specialties; publishers' catalogs; religious life; specimens; youth,,,,,,02043840,
3,630407,"abridged decimal classification and relativ index for libraries, clippings, notes, etc",,,,,boston,"library bureau1851-1931; dewey, melvil",1894; [c1894],1894,,,,monographic,,eng,text,print,192 p. 26 cm,,,"classification, dewey decimal",,,,,04014482,04184089,
4,1498262,abroad,,,,,london; new york,"marcus ward & co1844-1927; 1853-1922; crane, thomas frederick; houghton, ellen elizabeth",1882; [1882],1882,,,,monographic,,eng,text,print,56 p. : col. ill. ; 22 cm,,,,,,juvenile,,,14218104,
5,7893226,"abstract of the history of the biblefor the use of children and young persons: with questions for examination; and a sketch of scripture geography, illustrated with mapsan",,,,,newcastle,"printed by s. hodgson1761-1859; turner, william",1806,,,,,monographic,,eng,text,print; unmediated; volume,184 pages : 2 maps ; 14 cm,history; text,,children's literature; historybible,,,juvenile,,,ocm41418926,
6,9041216,admiral's caravanthe,,,,,new york,"the century co1841-1920; 1856-1943; birch, reginald b; carryl, charles e. (charles edward); century company; de vinne press",1892,,,,,monographic,,eng,text,print; unmediated; volume,"[15], 12-140 p. : ill. ; 22 cm",fiction; juvenile fiction; juvenile literature-1892; juvenile works; text,,"adventure stories; animals; children; conduct of life; dreams; fairy tales; imagination; orphans; taverns (inns); voyages, imaginary; wit and humor, juvenile",,,juvenile,,19008540,ocm10497754,
7,7896312,"admired fairy tale of cinderella, or, the little glass slipper; cinderella; cinderella. english; fortunatus; little glass slipper; popular fairy tale of cinderella and the little glass slipper!embellished with nine engravingsthe",cinderella. english,cinderella; fortunatus; little glass slipper; popular fairy tale of cinderella and the little glass slipper!,,,"new-york, and philadelphia",published by turner & fisherturner & fisher,1842; 1845; [between 1842 and 1845],1842; 1845,,,,monographic,,eng,text,print; unmediated; volume,24 pages. 1 unnumbered leaf of plates : illustrations ; 14 cm,fairy tales; specimens; text,,"chapbooks; chapbooks, english; fairy tales",,,juvenile,,,ocm83733881,
8,4374972,"adopted daughter; adopted daughter, or, the trials of sabra; trials of sabraa tale of real lifethe",,adopted daughter; trials of sabra,,,ogdensburgh [n.y.],"hitchcock, tillotson & stilwell",1858,,,,[1st ed.?],monographic,,eng,text,microfilm,199 p. ; 18 cm,,,american fiction,,,,,,ocm42806633,
9,7887971,adventures of a donkeythe,,,,,london (holborn hill),"darton and clarkargus, arabella; darton & clark",1837; 1845; [between 1837 and 1845?],1837; 1845,,,,monographic,,eng,text,print,"213, [3] p., [1] leaf of plates : ill. ; 15 cm",fiction; juvenile fiction; juvenile works; novel,,adventure and adventurers; animal welfare; children; christian life; conduct of life; donkeys; fishing stories; human-animal relationships; sick,,,juvenile,,,ocn317420890,
10,1092904,adventures of a donkeythe,,,,,london,"printed by and for william darton, jun., 58, holborn illargus, arabella",1815,,,,1st ed.⁾,monographic,,eng,text,print,"231, 17⁾ p. : ill. front. ; 14 cm",,,,,,juvenile,,,07985644,
