id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
00a138205m,Sheldon's Twentieth century letter writer: an up-to-date and accurate guide to correct modern letter writing,"Sheldon, L. W.",,,1901-01-01T00:00:00,1901,English,text,print,"v, 133 p. ; 20 cm.",,,Letter writing,,,,,,,University of Pittsburgh,collection.120
00a268620m,Spencerian system of penmanship,"Spencer, Platt R. (Platt Rogers), 1800-1864",,1873|||1884,1873-01-01T00:00:00,ca. 1873-1884,English,text,print,5 nos. in case. ; 24 cm.,,,Penmanship,,,,,,,University of Pittsburgh,collection.120
00a269068m,Politics for young Americans,"Nordhoff, Charles, 1830-1901",,,1875-01-01T00:00:00,1875,English,text,print,200 p. ; 18 cm.,handbook,,"Politics and government|||Handbooks, manuals, etc",,United States,,,,,University of Pittsburgh,collection.120
00a346950m,"Introduction to the science of government, and compend of constitutional and civil jurisprudence: comprehending a general view of the government of the United States, and of the government of the state of New York, together with the most important provisions in the constitutions of the several states","Young, Andrew W. (Andrew White), 1802-1877",,,1836-01-01T00:00:00,1836,English,text,print,304 p. ; 18 cm.,,,Politics and government,,New York|||United States|||New York (State),,,,,University of Pittsburgh,collection.120
00a470015m,"geography for beginners, A","Stewart, K. J. (Kensey Johns)",,,1864-01-01T00:00:00,1864,English,text,print,"viii, 223 p. : ill., maps ; 18 cm.",,,Geography x Textbooks,,,,,,,University of Pittsburgh,collection.120
00a472273m,Barnes' national system of penmanship,,,,1886-01-01T00:00:00,1886,English,text,print,v. ; 18 x 22 cm.,,,Penmanship,,,,,,,University of Pittsburgh,collection.120
00abf4892m,"Arithmetick, both in the theory and practice: made plain and easy in all the common and useful rules","Hill, John, Gent",,,1772-01-01T00:00:00,1772,English,text,print,"[4], 382, [102] p. ; 20 cm.",,,Arithmetic|||Early works to 1900|||Mathematics|||Early works to 1800,,,,,,,University of Pittsburgh,collection.120
00abg5800m,Intellectual arithmetic: upon the inductive method of instruction,"Colburn, Warren, 1793-1833",,,1826-01-01T00:00:00,1826,English,text,print,"xii, 172 p. ; 16 cm.",,,Mental arithmetic,,,,,,,University of Pittsburgh,collection.120
00abg6308m,First book in arithmetic,"Goff, Milton B. (Milton Browning), 1831-1890",,,1876-01-01T00:00:00,1876,English,text,print,144 p. : ill. ; 18 cm.,Early works to 1900,,Arithmetic,,,,,,,University of Pittsburgh,collection.120
00abg6496m,"North American arithmetic: part first, containing elementary lessons, The","Emerson, Frederick, 1788-1857",,1830|||1829,1830-01-01T00:00:00,ca. 1830-1829,English,text,print,48 p. : ill. ; 18 cm.,,,Arithmetic|||Early works to 1900,,,,,,,University of Pittsburgh,collection.120
