id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
00a138205m,Sheldon's Twentieth century letter writer: an up-to-date and accurate guide to correct modern letter writing,,Sheldon's 20th century letter writer|||Letter writer,"Sheldon, L. W.",,Philadelphia,D. McKay,,1901,c1901|||1901|||1901-01-01T00:00:00,,,monographic,English,text,print,"v, 133 p. ; 20 cm.",,,Letter writing,,,,1138205,,,,,University of Pittsburgh,collection.120
00a268620m,Spencerian system of penmanship,,,"Spencer, Platt R. (Platt Rogers), 1800-1864",,New York|||Chicago,"Ivison, Blakeman, Taylor and Co.",,1873/1884,1873|||1884|||c1873-84|||ca. 1873-1884|||1873-01-01T00:00:00,,,monographic,English,text,print,5 nos. in case. ; 24 cm.,,,Penmanship,,,,1268620,,,,,University of Pittsburgh,collection.120
00a269068m,Politics for young Americans,,,"Nordhoff, Charles, 1830-1901",,New York,Harper & Brothers,,1875,c1875|||1875|||1875-01-01T00:00:00,,,monographic,English,text,print,200 p. ; 18 cm.,handbook,,"Politics and government|||Handbooks, manuals, etc",,United States,,1269068,,,,,University of Pittsburgh,collection.120
00a346950m,"Introduction to the science of government, and compend of constitutional and civil jurisprudence: comprehending a general view of the government of the United States, and of the government of the state of New York, together with the most important provisions in the constitutions of the several states",,,"Young, Andrew W. (Andrew White), 1802-1877",,"Warsaw, [N.Y.]",Published by the author,,1836,1836|||1836-01-01T00:00:00,,"2nd ed., improved.",monographic,English,text,print,304 p. ; 18 cm.,,,Politics and government,,New York (State)|||United States|||New York,,1346950,,,,,University of Pittsburgh,collection.120
00a470015m,"geography for beginners, A",,,"Stewart, K. J. (Kensey Johns)",,"Richmond, Va",J.W. Randolph,,1864,1864|||1864-01-01T00:00:00,,,monographic,English,text,print,"viii, 223 p. : ill., maps ; 18 cm.",,,Geography x Textbooks,,,,1470015,,,,,University of Pittsburgh,collection.120
00a472273m,Barnes' national system of penmanship,National system of penmanship,,,,New York|||Cincinnati|||Chicago,American Book Co.,,1886,c1886-|||1886|||1886-01-01T00:00:00,,,monographic,English,text,print,v. ; 18 x 22 cm.,,,Penmanship,,,,1472273,,,,,University of Pittsburgh,collection.120
00abf4892m,"Arithmetick, both in the theory and practice: made plain and easy in all the common and useful rules",,,"Hill, John, Gent",,London,"Printed for W. Strahan, [et. al]",,1772,1772|||1772-01-01T00:00:00,,"11th ed., accurately rev., corrected, and improved /",monographic,English,text,print,"[4], 382, [102] p. ; 20 cm.",,,Arithmetic|||Early works to 1900|||Mathematics|||Early works to 1800,,,,300726,,,,,University of Pittsburgh,collection.120
00abg5800m,Intellectual arithmetic: upon the inductive method of instruction,First lessons in arithmetic. 1826,,"Colburn, Warren, 1793-1833",,Boston,William J. Reynolds & Co.,,1826,c1826|||1826|||1826-01-01T00:00:00,,,monographic,English,text,print,"xii, 172 p. ; 16 cm.",,,Mental arithmetic,,,,311472,,,,,University of Pittsburgh,collection.120
00abg6308m,First book in arithmetic,,,"Goff, Milton B. (Milton Browning), 1831-1890",,Pittsburgh,A.H. English & Co.,,1876,c1876|||1876|||1876-01-01T00:00:00,,,monographic,English,text,print,144 p. : ill. ; 18 cm.,Early works to 1900,,Arithmetic,,,,311976,,02027191 /REV.,,,University of Pittsburgh,collection.120
00abg6496m,"North American arithmetic: part first, containing elementary lessons, The",,,"Emerson, Frederick, 1788-1857",,"Windsor, Vt|||Boston",Simeon Ide|||Lincoln & Edmands,,1830/1829,"1830|||1829|||1830, c1829|||ca. 1830-1829|||1830-01-01T00:00:00",,,monographic,English,text,print,48 p. : ill. ; 18 cm.,,,Arithmetic|||Early works to 1900,,,,312165,,,,,University of Pittsburgh,collection.120
00abg6599m,"normal mental arithmetic: a thorough and complete course by analysis and induction, The",,,"Brooks, Edward, 1831-1912",,Philadelphia,H. Cowperthwait & Co.,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,156 p. ; 18 cm.,,,Mental arithmetic,,,,312266,,02025479,,,University of Pittsburgh,collection.120
00abg6731m,"common school arithmetic: prepared for the use of academies and common schools in the United States, The",,,"Davies, Charles, 1798-1876",,"Utica, N.Y",William Williams,,1833,1833|||1833-01-01T00:00:00,,,monographic,English,text,print,270 p. ; 15 cm.,,,Arithmetic|||Early works to 1900,,,,312386,,,,,University of Pittsburgh,collection.120
00abh4625m,Progressive exercises in English composition,,,"Parker, Richard Green, 1798-1869",,Boston,Lincoln and Edmands,,1832,1832|||1832-01-01T00:00:00,,[1st ed.],monographic,English,text,print,107 p. ; 19 cm.,,,English language|||Composition and exercises,,,,320174,,10033547,,,University of Pittsburgh,collection.120
00abh6702m,"American lady's and gentleman's modern letter writer: relative to business, duty, love, and marriage, The",,American letter-writer,,,Philadelphia,Henry F. Anners,,1850,[185- ]|||ca. 1850|||1850-01-01T00:00:00,,,monographic,English,text,print,"64, 64 p. : ill. ; 13 cm.",,,Letter writing,,,,322223,,,,,University of Pittsburgh,collection.120
00abh8126m,"Pike's System of arithmetick abridged: designed to facilitate the study of the science of numbers, comprehending the most perspicuous and accurate rules, illustrated by useful examples : to which are added appropriate questions, for the examination of scholars, and a short system of book-keeping",System of arithmetic abridged. 1827,,"Pike, Nicholas, 1743-1819","Leavitt, Dudley, 1772-1851",Concord,Jacob B. Moore,,1827/1826,"1827|||1826|||1827, c1826|||ca. 1827-1826|||1827-01-01T00:00:00",,"2d ed., rev., corr., and improved.",monographic,English,text,print,"vi, 201 p. ; 22 cm.",,,Arithmetic|||Early works to 1900,,,,323629,,,,,University of Pittsburgh,collection.120
00abh8565m,"ready reckoner: or, Trader's most useful assistant in buying and selling all sorts of commodities, either wholesale or retail, The",,Trader's most useful assistant in buying and selling all sorts of commodities,"Fenning, Daniel.",,"London|||Germantown, [Pa.]",Christopher Sower,,1774,1774|||1774-01-01T00:00:00,,7th ed. /,monographic,English,text,print,[280] p. ; 17 cm.,,,Ready-reckoners,,,,324066,,76362339,,,University of Pittsburgh,collection.120
00abh8876m,"Ray's algebra, part first: on the analytic and inductive methods of instruction, with numerous practical exercises, designed for common schools and academies",Algebra,,"Ray, Joseph, 1807-1855",,Cincinnati|||New York,"Van Antwerp, Bragg & Co.",,1848,c1848|||1848|||1848-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,240 p. ; 19 cm.,,,Algebra,,,,324373,,42004818,,,University of Pittsburgh,collection.120
00abh8960m,"abridgment of lectures on rhetorick, An",,,"Blair, Hugh, 1718-1800","Blake, John Lauris, 1788-1857","Concord, [N.H.]",Hill and Moore,,1822,1822|||1822-01-01T00:00:00,,3rd ed.,monographic,English,text,print,"304, ii p. ; 15 cm.",,,Rhetoric|||English language|||Literature|||History and criticism,,,,324456,,,,,University of Pittsburgh,collection.120
00abu6395m,"human body and its health : a text-book for schools, having special reference to the effects of stimulants and narcotics on the human system, The",,Elementary physiology and hygiene,"Smith, William Thayer, 1839-1909",,New York,"Ivison, Blakeman & Company",,1884,c1884|||1884|||1884-01-01T00:00:00,,,monographic,English,text,print,"225 p., [2] leaves of plates : ill. (some col.) ; 18 cm.",,,Physiology,,,,418166,,,,,University of Pittsburgh,collection.120
00abu7955m,"Parsing book: containing rules of syntax, and models for analyzing and transposing : together with selections of prose and poetry from writers of standard authority",,,"Weld, Allen Hayden, 1812-1882",,"Portland, Me",Sanborn & Carter,,1847,c1847|||1847|||1847-01-01T00:00:00,,,monographic,English,text,print,111 p. ; 17 cm.,,,English language|||Composition and exercises,,,,330599,,11020479,,,University of Pittsburgh,collection.120
00abv2767m,Elementary geography,,Appleton's standard elementary geography,,,New York,D. Appleton and Company,,1880,c1880|||1880|||1880-01-01T00:00:00,,,monographic,English,text,print,"108 p. : ill., maps ; 24 cm.",,,Geography|||Textbooks,1870-1945,,,333928,,05028211,,,University of Pittsburgh,collection.120
00abx1528m,"parlour letter-writer: and secretary's assistant : consisting of original letters on every occurrence in life : written in a concise and familiar style and adapted to both sexes : to which are added complimentary cards, wills, bonds, &c, The",,,"Turner, R.",,Philadelphia,"Desilver, Thomas",,1835,1835|||1835-01-01T00:00:00,,,monographic,English,text,print,288 p. ; 13 cm.,,,Letter writing,,,,348767,,,,,University of Pittsburgh,collection.120
