,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
0,7964458,... Conferencia Internacional Cultura Africana y Afroamericana,,... Conferencia Internacional de Cultura Africana y Afroamericana,,,Santiago de Cuba :,"[Centro Cultural Africano ""Fernando Ortiz""?],",2010-,2010,9999,,serial,Biennial,spa|||eng|||fre|||por,text,electronic resource|||optical disc|||computer|||computer disc,"CD-ROMs : sound, color ; 4 3/4 in.",Conference proceedings|||Congresses|||bibliography|||conference publication|||still image|||text|||two-dimensional moving image,,Blacks|||Civilization|||African influences,,,,Actas Conferencia Internacional de Cultura Africana y Afroamericana. (OCoLC)902655083,,,,
1,888128,A.M. journal,World news examiner,AM journal|||American Muslim journal,,,"Chicago, Ill",American Muslim Mission],1982-1985,1982,1985,,serial,Weekly|||Unknown,eng,text,microfilm|||microform|||microfilm reel,4 v. : ill. ; 38 cm.,Periodicals,Issues include a separately paged insert entitled: World news examiner.,Black Muslims|||Periodicals|||African Americans,,,,A.M. news 0744-7647 (OCoLC)8863564 (DLC)sf 87091549,Muslim journal 0883-816X (OCoLC)13545733 (DLC)sf 87091551,0744-7639|||0744-0014,sf 87091550,
2,1194911,"A.M.E. church review, The",,,,"Coppin, Levi Jenkins, 1848-1923 (ed.)","Nashville, Tenn",Board of Publication of the A.M.E. Church],,1884,9999,,serial,Quarterly,eng,text,print,ports. 23 cm.,periodical,,PeriodicalsAfrican Methodist Episcopal Church,,,,,,0360-3725,15000601 //r90,
3,1615396,Abafazi (Boston Mass.),,,,,"Boston, MA",Simmons College,,19uu,9999,,serial,Two no. a year|||Semiannual,eng,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,African American women,,,,,,1078-1323,sn 94000677,
4,4175763,"ABNF journal (Online), The",ABNF journal (Online),,,,"Lisle, IL",Tucker Publications,,1990,9999,,serial,Bimonthly,eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,"African American nurses|||Nursing|||Nursing Research|||African Americans|||Societies, Nursing",,,,,,2169-4133|||1046-7041,,
5,1211402,"Accessions list, Eastern Africa",,Annual serial supplement,,,"Nairobi, Kenya",Library of Congress Office,1968-,1968,9999,,serial,Annual,eng,text,print,v. ; 28 cm.,bibliography,,African periodicals|||Bibliography|||CatalogsLibrary of Congress catalogs,,,,,,0192-7388|||0145-8736,79644422 //r83|||sn 79006879,
6,9248448,Aché: a journal for lesbians of African descent,,Aché,,,"Albany, California :",Aché,,1989,199u,,serial,"Bimonthly, Mar./Apr. 1990-|||Monthly (except Jan.), Feb. 1989-Feb. 1990|||Bimonthly",eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (5 volumes) : illustrations.,Periodicals|||periodical|||text,,African American lesbians,,,,,,1051-7189,,
7,7964459,Actas,,,,,[Cuba?] :,"Centro Cultural Africano,",-[2008?],200u,2008,,serial,Biennial,spa|||eng,text,electronic resource|||optical disc|||computer|||computer disc,"CD-ROMs : sound, color ; 4 3/4 in.",Conference proceedings|||Congresses|||bibliography|||conference publication|||still image|||text|||two-dimensional moving image,,Blacks|||Civilization|||African influences,,,,,... Conferencia Internacional Cultura Africana y Afroamericana Conferencia Internacional de Cultura Africana y Afroamericana. (OCoLC)899081806,,,
8,540149,"Advance, The",,,,,"Wilmington, Del",,,1899,1901,,serial,Unknown,eng,text,microfilm,,newspaper,,African American newspapers,,United States Delaware Wilmington,,,,,,
9,7837602,Africa & Asia: Göteborg working papers on Asian and African languages and literatures,,Göteborg working papers on Asian and African languages and literatures,,,Göteborg,"Dept. of Oriental and African Languages, Göteborg University",2001-,2001,2005,,serial,Annual,eng,text,electronic|||electronic resource|||remote|||unmediated,,Electronic journals|||Periodicals|||text,,African languages|||Oriental languages|||Talen|||Taalkunde,,,,,,1650-2019,,
10,519033,Africa: journal of the International African Institute = journal de l'Institut international africain = Zeitschrift des Internationalen Afrikanischen Instituts,Africa (International African Institute),,,,London,Oxford University Press|||Geoffrey Cumberlege,[1946]-,1946,9999,,serial,Quarterly,eng|||fre|||ger,text,print,v. ; 24 cm.,Periodicals|||periodical,"Includes Proceedings of the Executive council and List of members, also section ""Review of books"".|||""African negro music, by E. M. von Hornbostel"": v. 1, p. [30]-62.",African languages|||Civilization,,,,Africa (International Institute of African Languages and Cultures (DLC) 29010790 (OCoLC)1461367,,0001-9720,,
11,545582,Africa index to continental periodical literature,,,,,"Oxford, England",Hans Zell Publishers Ltd. for the Africa Bibliographical Centre,1978-,1977,9999,,serial,Annual,eng|||mul,text,print,v. ; 30 cm.,index,,African periodicals|||Indexes|||Periodicals,,,,Africa index (OCoLC)5156946,,,81640483,
