id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
7964458,... Conferencia Internacional Cultura Africana y Afroamericana,,... Conferencia Internacional de Cultura Africana y Afroamericana,,,Santiago de Cuba :,"[Centro Cultural Africano ""Fernando Ortiz""?],",2010-,2010,9999,,serial,Biennial,French|||Spanish|||English|||Portuguese,text,electronic resource|||optical disc|||computer|||computer disc,"CD-ROMs : sound, color ; 4 3/4 in.",Conference proceedings|||Congresses|||bibliography|||conference publication|||still image|||text|||two-dimensional moving image,,Blacks|||Civilization|||African influences,,Latin America|||South America|||Africa|||America|||North America,,Actas Conferencia Internacional de Cultura Africana y Afroamericana. (OCoLC)902655083,,,,,
888128,A.M. journal,World news examiner,AM journal|||American Muslim journal,,,"Chicago, Ill",American Muslim Mission],1982-1985,1982,1985,,serial,Weekly|||Unknown,English,text,microfilm|||microform|||microfilm reel,4 v. : ill. ; 38 cm.,Periodicals,Issues include a separately paged insert entitled: World news examiner.,Black Muslims|||Periodicals|||African Americans,,,,A.M. news 0744-7647 (OCoLC)8863564 (DLC)sf 87091549,Muslim journal 0883-816X (OCoLC)13545733 (DLC)sf 87091551,0744-7639|||0744-0014,sf 87091550,,
1194911,"A.M.E. church review, The",,,,"Coppin, Levi Jenkins, 1848-1923 (ed)","Nashville, Tenn",Board of Publication of the A.M.E. Church],,1884,9999,,serial,Quarterly,English,text,print,ports. 23 cm.,periodical,,Periodicals|||African Methodist Episcopal Church,,,,,,0360-3725,15000601 //r90,,
1615396,Abafazi: the Simmons College review of women of African descent,,,,,"Boston, MA",Simmons College,,19uu,9999,,serial,Two no. a year|||Semiannual,English,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,African American women,,United States,,,,1078-1323,sn 94000677,,
4175763,"ABNF journal, The",ABNF journal (Online),,,,"Lisle, IL",Tucker Publications,,1990,9999,,serial,Bimonthly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,"African American nurses|||Nursing|||Nursing Research|||African Americans|||Societies, Nursing",,,,,,2169-4133|||1046-7041,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/32975|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/0MJT/AONE?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=aph&jid=GXH&scope=site|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=hch&jid=GXH&scope=site
1211402,"Accessions list, Eastern Africa",,Annual serial supplement,,,"Nairobi, Kenya",Library of Congress Office,1968-,1968,9999,,serial,Annual,English,text,print,v. ; 28 cm.,bibliography,,African periodicals|||Bibliography|||Catalogs|||Library of Congress catalogs,,Africa|||Washington (D.C.),,,,0192-7388|||0145-8736,79644422 //r83|||sn 79006879,,
9248448,Aché: a free publication for black lesbians,,Aché,,,"Albany, California :",Aché,,1989,199u,,serial,"Bimonthly, Mar./Apr. 1990-|||Monthly (except Jan.), Feb. 1989-Feb. 1990|||Bimonthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (5 volumes) : illustrations.,Periodicals|||periodical|||text,,African American lesbians,,San Francisco Bay Area|||California,,,,1051-7189,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9CVV&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
7964459,Actas,,,,,[Cuba?] :,"Centro Cultural Africano,",-[2008?],200u,2008,,serial,Biennial,Spanish|||English,text,electronic resource|||optical disc|||computer|||computer disc,"CD-ROMs : sound, color ; 4 3/4 in.",Conference proceedings|||Congresses|||bibliography|||conference publication|||still image|||text|||two-dimensional moving image,,Blacks|||Civilization|||African influences,,Latin America|||South America|||Africa|||America|||North America,,,... Conferencia Internacional Cultura Africana y Afroamericana Conferencia Internacional de Cultura Africana y Afroamericana. (OCoLC)899081806,,,,
540149,"Advance, The",,,,,"Wilmington, Del",,,1899,1901,,serial,Unknown,English,text,microfilm,,newspaper,,African American newspapers,,"United States, Delaware, Wilmington",,,,,,,
7837602,Africa & Asia: Göteborg working papers on Asian and African languages and literatures,,Göteborg working papers on Asian and African languages and literatures,,,Göteborg,"Dept. of Oriental and African Languages, Göteborg University",2001-,2001,2005,,serial,Annual,English,text,electronic|||electronic resource|||remote|||unmediated,,Electronic journals|||Periodicals|||text,,African languages|||Oriental languages|||Talen|||Taalkunde,,Africa|||Asia,,,,1650-2019,,,http://sprak.gu.se/publikationer/skriftserier/africa-asia
