id,title,uniform_title,alternative_title,enumeration_chronology,creator,contributor,associated_name,publication_place,publisher,publication_date,start_date,end_date,encoded_date,creation_date,display_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,isbn,issn,lccn,oclcn,url
995777793406236,Temas y apuntes afro-venezolanos,,,,"Sojo, Juan Pablo, 1907-1948",,,Caracas,Universidad Santa Maria,,,,,,,,,monographic,,Spanish,text,print,"ii, 5-43 p. ; 29 cm.",,,"Blacks|||Folklore, Black|||Witchcraft",,Venezuela,,,,,,,,
995780643406236,Voodoos and obeahs: phases of West India witchcraft,,,,"Williams, Joseph John, 1875-1940",,,New York,AMS Press,,,,1970,,,,,monographic,,English,text,print,"xix, 257 p. 24 cm.",bibliography,,Witchcraft|||Vodou|||Blacks,,West Indies,,,,040406986X,,74111770 //r85,,
995784383406236,Jesus of the spirits,,,,"McGregor, Pedro.","Smith, T. Stratton.",,New York,Stein and Day,,,,1967,,,,,monographic,,English,text,print,"238 p. illus., ports. 22 cm.",,,Magic|||Umbanda (Cult)|||Blacks|||Spiritualism|||Social life and customs,,Brazil,,,,,,67014094,,
995788943406236,Voodoos and obeahs: phases of West India witchcraft,,Obeahs,,"Williams, Joseph John, 1875-1940",,,New York,"L. MacVeagh, Dial Press inc.",,,,,,,,,monographic,,English,text,print,"xix p., 1 l., 257 p. 24 cm.",bibliography,,Witchcraft|||Vodou|||Blacks,,West Indies,,,,40406986X,,33002130,,
995812833406236,Samba na cidade de São Paulo (1900-1930): um exercício de resistencia cultural,,,,"Britto, Iêda Marques.",,,São Paulo],FFLCH-USP,,,,,,,,,monographic,,Portuguese,text,print,114 p. ; 17 cm.,bibliography,,Samba (Dance)|||Music|||Social aspects|||Blacks|||Social life and customs|||Popular music|||History,,São Paulo|||Brazil,,,,,,87672612,,
995845383406236,"novela negrista en hispanoamérica, La",,,,"Jackson, Shirley M.",,,Madrid,Pliegos,,,,1986,,,,,monographic,,Spanish,text,print,176 p. ; 20 cm.,bibliography,,Spanish American fiction|||Black authors|||History and criticism|||Blacks in literature,20th century,Latin America,,,,8486214173,,87104840,,
995853383406236,Secrets of voodoo,Tradition voudoo et le voudoo haïtien. English,,,"Rigaud, Milo, 1904-1981",,,New York,Arco,,1970,1969,1970/1969,,,,,monographic,,French|||English,text,print,219 p. illus. 24 cm.,,,Vodou|||Folklore|||Religion,,Haiti,,,,0668020083,,77082128 //r853,,
995853453406236,Voodoo and the art of Haiti,,,,"Williams, Sheldon.",,,London,Morland Lee Ltd.,,,,,,,,,monographic,,English,text,print,"xv, 109 p. illus. (some col.). 23 cm.",,,"Vodou|||Art, Haitian",,Haiti,,,,0902262009,,72491056,,
995859053406236,"monte, igbo, finda, ewe orisha, vititi nfinda (Notas sobre las religiones, la magia, las supersticiones y el folklore de los negros criollos y del pueblo de Cuba), El",,,,"Cabrera, Lydia.",,,"Miami, Fla",Rema press,,,,1968,,,,"[2. ed.,",monographic,,Spanish,text,print,573 p. illus. 21 cm.,,,Blacks|||Vodou,,Cuba,,,,,,68002734,,
995866283406236,Voodoo in Haiti,,,,"Métraux, Alfred, 1902-1963",,,New York,Oxford University Press,,,,,,,,,monographic,,Undetermined|||English,text,print,400 p. illus. 22 cm.,bibliography,,Vodou|||Folklore,,Haiti,,,,,,60005142 /L,,
