id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
995777793406236,Temas y apuntes afro-venezolanos,,,,,Caracas,Universidad Santa Maria,1986,,,,monographic,,Spanish,text,print,"ii, 5-43 p. ; 29 cm.",,,"Blacks|||Folklore, Black|||Witchcraft",,Venezuela,,,,,,,
995780643406236,Voodoos and obeahs: phases of West India witchcraft,,,,,New York,AMS Press,[1970],,,,monographic,,English,text,print,"xix, 257 p. 24 cm.",bibliography,,Witchcraft|||Vodou|||Blacks,,West Indies,,,,,74111770 //r85,,
995784383406236,Jesus of the spirits,,,,,New York,Stein and Day,"[1967, c1966]",,,,monographic,,English,text,print,"238 p. illus., ports. 22 cm.",,,Magic|||Umbanda (Cult)|||Blacks|||Spiritualism|||Social life and customs,,Brazil,,,,,67014094,,
995788943406236,Voodoos and obeahs: phases of West India witchcraft,,Obeahs,,,New York,"L. MacVeagh, Dial Press inc.",1932,,,,monographic,,English,text,print,"xix p., 1 l., 257 p. 24 cm.",bibliography,,Witchcraft|||Vodou|||Blacks,,West Indies,,,,,33002130,,
995812833406236,Samba na cidade de São Paulo (1900-1930): um exercício de resistencia cultural,,,,,São Paulo],FFLCH-USP,1986,,,,monographic,,Portuguese,text,print,114 p. ; 17 cm.,bibliography,,Samba (Dance)|||Music|||Social aspects|||Blacks|||Social life and customs|||Popular music|||History,,Brazil|||São Paulo,,,,,87672612,,
995845383406236,"novela negrista en hispanoamérica, La",,,,,Madrid,Pliegos,[1986?],,,,monographic,,Spanish,text,print,176 p. ; 20 cm.,bibliography,,Spanish American fiction|||Black authors|||History and criticism|||Blacks in literature,20th century,Latin America,,,,,87104840,,
995853383406236,Secrets of voodoo,Tradition voudoo et le voudoo haïtien. English,,,,New York,Arco,"[1970, c1969]",1970,1969,,monographic,,French|||English,text,print,219 p. illus. 24 cm.,,,Vodou|||Folklore|||Religion,,Haiti,,,,,77082128 //r853,,
995853453406236,Voodoo and the art of Haiti,,,,,London,Morland Lee Ltd.,1969,,,,monographic,,English,text,print,"xv, 109 p. illus. (some col.). 23 cm.",,,"Vodou|||Art, Haitian",,Haiti,,,,,72491056,,
995859053406236,"monte, igbo, finda, ewe orisha, vititi nfinda (Notas sobre las religiones, la magia, las supersticiones y el folklore de los negros criollos y del pueblo de Cuba), El",,,,,"Miami, Fla",Rema press,1968],,,"[2. ed.,",monographic,,Spanish,text,print,573 p. illus. 21 cm.,,,Blacks|||Vodou,,Cuba,,,,,68002734,,
995866283406236,Voodoo in Haiti,,,,,New York,Oxford University Press,1959,,,,monographic,,Undetermined|||English,text,print,400 p. illus. 22 cm.,bibliography,,Vodou|||Folklore,,Haiti,,,,,60005142 /L,,
995873973406236,Études sur le vodou,,,,,Cuernavaca,Centro Intercultural de Documentación,1966,,,,monographic,,French,text,print,161 p. 23 cm.,bibliography,,Vodou,,,,,,,75238272,,
995874333406236,Religion and politics in Haiti: two essays,,,,,Washington,Institute for Cross-Cultural Research,[1966],,,,monographic,,English,text,print,"xvi, 81 p. illus. (part col.) maps (on lining papers) ports. 24 cm.",bibliography,,Vodou|||Religion and state|||Religion,,Haiti,,,,,66026633 //r87,,
995877733406236,"vodou haïtien: rite radas--canzo, Le",,,,,"Port-au-Prince, Haïti",Imprimerie de l'état,[1945],,,,monographic,,French,text,print,"3 p. l., ix-xxviii, 224 p., 2 l. plates, port., facsim. 21 cm.",bibliography,,Vodou|||Folklore,,Haiti,,,,,a 46005511,,
995879033406236,"tradition voudoo et le voudoo ha""itien: son temple, ses mystères, sa magie, La",,,,,Paris,Niclaus,1953,,,,monographic,,French,text,print,"433 p. illus., port., map. 23 cm.",,,Vodou|||Folklore,,Haiti,,,,,53033161,,
995880443406236,"Folklore ceremony of Petro rite, voodoo cult",,,,"Viaud, Leonce (joint author)","Port-au Prince, Haiti",Impr. du Commerce,194-?],1940,1949,,monographic,,French|||English,text,print,8 p. ; 18 cm.,,,Vodou|||Folklore|||Religion,,Haiti,,,,,75300117,,
995882163406236,Lucumí: religión de los yorubas en Cuba,,,,,Miami [Fla,Editorial A.I.P.],1973,,,Ed. limitada.,monographic,,English,text,print,187 p. illus. 22 cm.,bibliography,,Santeria,,,,,,,73222533,,
995882423406236,Sobrevivências daomeanas nos grupos-de-culto afronordestinos,,,,,Recife,"Instituto Joaquim Nabuco de Pesquisas Sociais, Ministério da Educação e Cultura",1964,,,,monographic,,Portuguese,text,print,46 p. illus. 24cm.,bibliography,,Sects|||Blacks|||Religion,,Brazil,,,,,67039709,,
995883583406236,Yemaya y Ochún,,,,,Madrid,[s.n.],1974,,,1. ed.,monographic,,Spanish,text,print,359 p. ; 21 cm.,bibliography,,Blacks|||Religion,,Cuba,,,,,75546652,,
995885133406236,Survivances dahoméenes dans les groupes-de-culte africains du nord-est du Brésil,,,,,Dakar,,1969,,,,monographic,,Portuguese|||French,text,print,36 p. 28 cm.,,,Vodou|||Fon (African people) in Brazil|||Blacks|||Religion,,"Brazil|||Brazil, Northeast",,,,,,,
995886143406236,"crise de possession dans le vaudou: essais de psychiatrie comparée, La",,,,,"Port au Prince, Haiti",Impr. de l'État,1946,,,,monographic,,French,text,print,"xiv, 103 p. 20 cm.",bibliography,,Vodou|||Demoniac possession,,,,,,,48014428,,
995887903406236,Vodú y magia en Santo Domingo,,,,,Santo Domingo],Museo del Hombre Dominicano,[1975],,,1. ed.,monographic,,Spanish,text,print,427 p. : ill. ; 23 cm.,bibliography,,Vodou|||Magic,,Dominican Republic,,,,,76454403,,
995888803406236,Candomblés da Bahia. Ilustrações Carybé e Kantor,,,,,Rio de Janeiro,Edições de Ouro,1967],,,,monographic,,Portuguese,text,print,"191 p. illus., plans, port. 16 cm.",bibliography,,Umbanda (Cult)|||Blacks,,Brazil|||Salvador,,,,,67099324,,
995896083406236,Strange altars,,,,,Indianapolis,Bobbs-Merrill,[1952],,,[1st. ed.],monographic,,English,text,print,254 p. illus. 23 cm.,,,"Vodou|||Folklore|||Reser, Stanley",,Haiti,,,,,52010690 /L/r53,,
995897263406236,Cultos afroamericanos (vudú y hechicería en las Américas),,,,,Caracas,Universidad Católica Andrés Bello,1977,,,,monographic,,Spanish,text,print,344 p. : 19 cm.,bibliography,,Blacks|||Religion|||Cults|||Religions|||African influences,,Africa|||South America|||Caribbean Area|||Caribbean Area; Caribbean Sea,,,,,78102634 //r85,,
995908893406236,"bailes y el teatro de los negros en el folklore de Cuba, Los",,,,,"Ciudad de La Habana, Cuba|||New York, NY",Editorial Letras Cubanas|||Distribuido por Ediciones Vitral,1981,,,2a ed.,monographic,,Spanish,text,print,602 p. : ill. ; 24 cm.,bibliography,,Blacks|||Music|||Folk music|||History and criticism|||Folk dance music|||Theater|||History,,Cuba,,,,,83102553 /MN,,
9957508583406236,"población afroperuana y los derechos humanos: diagnóstico sobre el Plan nacional de derechos humanos en localidades con presencia afroperuana, La",,,,,"Breña, Lima",Centro de Desarrollo Étnico,2008,,,1. ed.,monographic,,Spanish,text,print,146 p. : ill. (some col.) ; 24 cm. + 1 CD-ROM (4 3/4 in.),bibliography,,Blacks|||Race discrimination|||Human rights|||Civil rights|||Race relations,,Peru,,,,,2008465412,,
