id,title,enumeration_chronology,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,end_date,start_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,isbn,lccn,oclccn,url
9709918,"Haitian Revolution: capitalism, slavery, and counter-modernity, The",,Oscuridad y las luces. English,,"Grüner, Eduardo","McGlazer, Ramsey (translator)",,,,2020,,,,,English edition.,monographic,,eng,text,print,"xix, 252 pages ; 23 cm.",History|||bibliography,"""It is impossible to understand capitalism without analyzing slavery. Through an analysis of the Haitian Revolution, Grüner examines the impact of slavery on the evolution of modernity in South America, and the way in which this revolution created a 'counter-modernity, ' a path on which Latin America and the Caribbean have travelled ever since""--",History|||Slavery|||Capitalism|||Social aspects|||Revolutions|||Philosophy|||Revolution (Haiti : 1791-1804),"Revolution, 1791-1804",Haiti|||Caribbean Area|||Latin America|||nwht---|||cc-----|||cl-----,,,,,9781509535477|||1509535470|||9781509535484|||1509535489,2019008490,,
6779,Women and the ancestors: Black Carib kinship and ritual,,,,"Kerns, Virginia, 1948-",,Urbana,University of Illinois Press,c1983,1983,,,,,,monographic,,eng,text,print,"xv, 229 p., [24] p. of plates : ill. ; 24 cm.",bibliography,,Garifuna (Caribbean People)|||Kinship|||Social life and customs|||Indians of Central America|||Blacks,,Belize|||ncbh---,,,,,252009827,82002601,,
9704276,Naming a transnational black feminist framework: writing in darkness,,,,"Hall, K. Melchor Quick",ProQuest (Firm),,,,2020,,,,2020,,monographic,,eng,text,,1 online resource.,bibliography,,"International relations|||Philosophy|||Feminism|||International cooperation|||Case studies|||Feminist theory|||Race relations|||Transnationalism|||Intersectionality (Sociology)|||Women, Black|||Social conditions|||Garifuna women|||Garifuna (Caribbean people)|||Ethnic relations",21st century,Honduras|||ncho---,,,,,9780429290923|||0429290926|||9781000729801|||100072980X|||9781000729955|||1000729958|||9781000729658|||1000729656,2019029028,,https://ebookcentral.proquest.com/lib/pitt-ebooks/detail.action?docID=5983579
9832576,"Obeah, race and racism: Caribbean witchcraft in the English imagination",,,,"O'Neal, Eugenia, 1965-",,,,,2020,,,,,,monographic,,eng,text,print,423 pages ; 23 cm,bibliography,,Obeah (Cult)|||Witchcraft|||History|||Witchcraft in literature|||English literature|||History and criticism|||Race|||Racism,,Caribbean Area|||cc-----,,,,,9766407592|||9789766407599,,,
9411712,"Black politics in transition: immigration, suburbanization, and gentrification",,,,"Smith, Candis Watts|||Greer, Christina M.",,,,,2019,,,,2019,,monographic,,eng,text,print,"xii, 279 pages : illustrations , maps ; 24 cm",bibliography,,African Americans|||Politics and government|||Relations with Hispanic Americans|||Political aspects|||Emigration and immigration|||Social aspects|||Suburban African Americans|||Gentrification,21st century,United States|||n-us---,,,,,9781138058484|||1138058483|||9781138058507|||1138058505,2018029316,,
35445,Slavery in the Americas: a comparative study of Virginia and Cuba,,,,"Klein, Herbert S.",,Chicago,Quadrangle Books,"1971, c1967",1971/1967,,1967,1971,,,monographic,,eng,text,print,"xi, 270 p. ; 22 cm.",,,Slavery,,Cuba|||Virginia|||n-us-va,,,,,,,,
9829817,Cultures of anti-racism in Latin America and the Caribbean,,,,"Wade, Peter, 1957-|||Scorer, James, 1978-|||Aguiló, Ignacio",,,,,2019,,,,,Paperback edition.,monographic,,eng,text,print,"x, 220 pages : illustrations (some color) ; 23 cm",bibliography,,Anti-racism,,Latin America|||Caribbean Area|||cl-----|||cc-----,,,,,1908857552|||9781908857552,,,
9570952,Entre el Atlántico y el Pacífico Negro: afrodescendencia y regímenes de desigualdad en Sudamérica,,,,"Góngora Mera, Manuel Eduardo|||Vera Santos, Rocío|||Costa, Sérgio, 1961-",,,,,2019,,,,,,monographic,,spa,text,print,656 pages : maps ; 23 cm.,bibliography,,Slavery|||History|||Equality|||Law and legislation|||Blacks|||Race relations|||Social stratification,,South America|||s------,,,,,9788491920847|||8491920846|||9783964568656|||3964568651,2019466741,,
37019,"masters and the slaves (Casa-grande & senzala) A study in the development of Brazilian civilization, The",,Casa-grande & senzala. English. 1956,,"Freyre, Gilberto, 1900-1987",,New York,Knopf,1956,,,,,,"2d English language ed., rev.",monographic,,eng,text,print,"lxxi, 537, xliv p. : plans. ; 25 cm.",bibliography,,Slavery|||Blacks|||Indians of South America|||Social life and customs,,Brazil|||s-bl---,,,,,,56005787 //r833,,
9387664,"Looking like a language, sounding like a race: raciolinguistic ideologies and the learning of Latinidad",,,,"Rosa, Jonathan",ProQuest (Firm),,,,2019,,,,,,monographic,,eng,text,,"1 online resource (xviii, 286 pages.)",bibliography,,Linguistic minorities|||Group identity|||Latin Americans|||Ethnic identity|||Hispanic Americans|||Anthropological linguistics,,United States|||n-us---,,,,,9780190634742 (electronic bk.)|||019063474X (electronic bk.),,,https://ebookcentral.proquest.com/lib/pitt-ebooks/detail.action?docID=5611184
48360,"Slave women in Caribbean society, 1650-1838",,,,"Bush, Barbara.",,Kingston|||Bloomington,Heinemann Caribbean|||Indiana University Press,c1990,1990,,,,,,monographic,,eng,text,print,"xiii, 190 p. : ill. ; 24 cm.",bibliography,,"Women slaves|||Social conditions|||Women, Black|||Social classes|||History",,Caribbean Area|||cc-----,,,,,0253312841|||0253212510 (pbk.),89039563,,
9829320,"Racismo, estigma y vida cotidiana: ser afrodescendiente en América Latina y El Caribe",,,,"Pineda G., Esther",,,,,2019,,,,,Primera edición.,monographic,,spa,text,print,132 pages : illustrations ; 20 cm,bibliography,,Blacks|||Social conditions|||Racism|||Race relations,,Latin America|||Caribbean Area|||cl-----|||cc-----,,,,,9789874400239|||9874400234,2019362043,,
79548,Viagem ao interior do Brasil,,Reisen in Brasilien. Portuguese,,"Freyreiss, Georg Wilhelm, 1789-1825","Ferri, Mário Guimarães, 1918-",Belo Horizonte,Editora Itatiaia,1982,,,,,,,monographic,,por|||ger,text,print,138 p. : ill. ; 23 cm.,bibliography|||biography,,"Mines and mineral resources|||Indians of South America|||Slavery|||History|||Description and travel|||Freyreiss, Georg Wilhelm 1789-1825",19th century,Brazil|||Minas Gerais (Brazil)|||s-bl---,,,,,,83151099,,
9511010,"Resistencia, delito y dominación en el mundo esclavo: microhistorias de la esclavitud atlántica (siglos XVII-XIX)",,,,"Sanz Rozalén, Vicent|||Zeuske, Michael|||Luxán Meléndez, Santiago de",,,,,2019,,,,,,monographic,,spa,text,print,"xii, 218 pages : illustrations ; 24 cm.",History|||bibliography,,Slavery|||History,18th century|||19th century,Caribbean Area|||cc-----,,,,,9788490458198|||8490458197,2018457354,,
55049,"AfroCuba: an anthology of Cuban writing on race, politics and culture",,,,,"Pérez Sarduy, Pedro, 1943-|||Stubbs, Jean.|||Center for Cuban Studies","Melbourne, Victoria, Australia",Ocean Press|||Latin American Bureau|||Published in association with the Center for Cuban Studies (New York),1993,,,,,,1st ed.,monographic,,eng,text,print,309 p. ; 22 cm.,bibliography,,Blacks|||Literary collections|||Blacks in literature|||Cuban literature|||Translations into English,20th century,Cuba,,,,,1875284419|||0906156750,,,
9704894,Slave no more: self-liberation before abolitionism in the Americas,,Plus jamais esclaves! English,,"Helg, Aline, 1953-","Vergnaud, Lara (translator)",,,,2019,,,,,,monographic,,eng,text,print,352 pages : illustrations ; 25 cm,History|||bibliography,"""Commanding a vast historiography of slavery and emancipation, Aline Helg argues that significant numbers of enslaved Africans and their descendants across the entire Western Hemisphere managed to free themselves hundreds of years before the formation of white-run abolitionist movements. Her analysis of resistance and struggle covers more than three centuries, from early colonization to the American and Haitian revolutions, Spanish American independence, and abolition in the British Caribbean. But Helg's purpose is not only to underscore the agency of those who managed to become 'free people of color' before abolitionism took hold but also to assess in detail the specific strategies they created and utilized""--",Slavery|||History|||Slave insurrections|||Slaves|||Emancipation|||Abolitionismus|||Sklaverei|||15.85 history of America,,America|||United States|||West Indies|||Amerika|||Latin America|||n------|||s------|||n-us---|||nw-----,,,,,9781469649627|||1469649624|||9781469649634|||1469649632,2018036570,,
62901,Biography of a runaway slave,,Biografía de un cimarrón. English,,"Montejo, Esteban, 1860-1973","Barnet, Miguel, 1940-|||Hill, W. Nick, 1944-","Willimantic, CT",Curbstone Press,1994,,,,,,Rev. ed.,monographic,,eng,text,print,217 p. ; 22 cm.,bibliography|||biography,,"Fugitive slaves|||Biography|||Revolutionaries|||History|||Personal narratives|||Plantation life|||Montejo, Esteban 1860-1973","Revolution, 1895-1898|||19th century",Cuba|||nwcu---,,,,,1880684187 :,94012832,,
9449128,Understanding the Latinx experience: developmental and contextual influences,,,,"Torres, Vasti, 1960-|||Hernández, Ebelia, 1974-|||Martínez, Sylvia, 1976-","Brown, Sarita (writer of foreword)|||Santiago, Deborah (writer of foreword)|||EBSCOhost",,,,2019,,,,2019,First edition.,monographic,,eng,text,,1 online resource.,bibliography,,Hispanic Americans|||Education (Higher)|||Social aspects|||Hispanic American college students|||Social conditions|||Ethnic identity|||Group identity,,United States|||n-us---,,,,,9781620367339 (electronic bk.)|||1620367335 (electronic bk.),,,http://pitt.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=2070827
9148450,"African American and Latinx history of the United States, An",,,,"Ortiz, Paul, 1964-",EBSCOhost,,,,2018,,,,,,monographic,,eng,text,,"1 online resource (xi, 276 pages.)",bibliography,,Hispanic Americans|||History|||African Americans|||Race relations|||Ethnic relations|||Blacks|||Politics and government|||Anti-imperialist movements|||Working class|||Internationalists|||Relations|||International relations,,United States|||Caribbean Area|||Latin America|||n-us---|||cc-----|||cl-----,,,,,9780807013908 (electronic bk.)|||0807013900 (electronic bk.),,,http://pitt.idm.oclc.org/login?url=http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=1584077
63837,"Sacred possessions: Vodou, Santería, Obeah, and the Caribbean",,,,,"Fernández Olmos, Margarite.|||Paravisini-Gebert, Lizabeth.","New Brunswick, NJ",Rutgers University Press,1997,,,,,,,monographic,,eng,text,print,p. cm.,bibliography,,Blacks|||Religion,,Caribbean Area|||cc-----,,,,,0813523605 ‡q (cloth : alk. paper)|||0813523613 ‡q (pbk. : alk. paper),96018145,,
66323,"Café con leche: race, class, and national image in Venezuela",,,,"Wright, Winthrop R., 1936-",,Austin,University of Texas Press,"1993, c1990",1993,,,,1990,,monographic,,eng,text,print,"xi, 167 p. : ill. ; 23 cm.",,,"Blacks|||History|||National characteristics, Venezuelan|||Race relations",,Venezuela,,,,,0292790805 (pbk.),,,
9245809,Afro-Latin American studies: an introduction,,,,"Fuente, Alejandro de la, 1963-|||Andrews, George Reid, 1951-",,,,,2018,,,,2018,,monographic,,eng,text,print,"xx, 641 pages ; 23 cm.",bibliography,"""Alejandro de la Fuente and George Reid Andrews offer the first systematic, book-length survey of the humanities and social science scholarship on the exciting field of Afro-Latin American Studies. Organized by topic, these essays synthesize and present the current state of knowledge on a broad variety of topics, including Afro-Latin American music, religions, literature, art history, political thought, social movements, legal history, environmental history, and ideologies of racial inclusion. This volume connects the region's long history of slavery to the major political, social, cultural, and economic developments of the last two centuries. Written by leading scholars in each of those topics, the volume provides an introduction to the field of Afro-Latin American Studies that is not available from any other source and reflects the disciplinary and thematic richness of this emerging field""--",Blacks|||Race relations|||Afro-Latin American studies,,Latin America|||cl-----,,,,,9781107177628|||1107177626|||9781316630662|||1316630668,2018000002,,
