,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
0,196504.1.2.001,"McConway & Toreley Co. Pittsburgh, Pa. at Atlantic Convention",,,,,c. 1920-1940s,,text,,,archival document,,,,,McConway & Torely Company Records,"II. Photographs, Atlantic City Convention, 1947",Folder 2,ULS Archives & Special Collections,University of Pittsburgh
1,196504.1.2.002,"Atlantic City Convention June 20 to 27, 1928",,,1928,1928-01-01T00:00:00,1928,,text,,,archival document,,,,,McConway & Torely Company Records,"II. Photographs, Atlantic City Convention, 1947",Folder 2,ULS Archives & Special Collections,University of Pittsburgh
2,196504.1.2.003,Atlantic City Convention June 9-16-1926,,,1926,1926-01-01T00:00:00,1926,,text,,,archival document,,,,,McConway & Torely Company Records,"II. Photographs, Atlantic City Convention, 1947",Folder 2,ULS Archives & Special Collections,University of Pittsburgh
3,196504.1.2.004,A.A.R. Coupler & Draft Gear Committee and Manufacturers Joint Exhibit,,,,,c. 1940s,,text,,,archival document,,,,,McConway & Torely Company Records,"II. Photographs, Atlantic City Convention, 1947",Folder 2,ULS Archives & Special Collections,University of Pittsburgh
4,196504.1.2.005,Atlantic City Convention June 1924,,,1924,1924-01-01T00:00:00,1924,,text,,,archival document,,,,,McConway & Torely Company Records,"II. Photographs, Atlantic City Convention, 1947",Folder 2,ULS Archives & Special Collections,University of Pittsburgh
5,31735047448521,"Fraternal Outlook, Official Organ of the International Workers Order,",,,1939-01,1939-01-01T00:00:00,"January, 1939",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 5, Folder 17",ULS Archives Service Center,University of Pittsburgh
6,31735047448539,"Fraternal Outlook, Official Organ of the International Workers Order,",,,1939-03,1939-03-01T00:00:00,"March, 1939",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 5, Folder 17a",ULS Archives Service Center,University of Pittsburgh
7,31735047448547,"Fraternal Outlook, Official Organ of the International Workers Order,",,,1939-05,1939-05-01T00:00:00,"May, 1939",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 5, Folder 18",ULS Archives Service Center,University of Pittsburgh
8,31735047448554,"Fraternal Outlook, Official Organ of the International Workers Order,",,,1941-07,1941-07-01T00:00:00,"July, 1941",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 5, Folder 19",ULS Archives Service Center,University of Pittsburgh
9,31735047448562,"Fraternal Outlook, Official Organ of the International Workers Order,",,,1941-11,1941-11-01T00:00:00,"November, 1941",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 5, Folder 20",ULS Archives Service Center,University of Pittsburgh
10,31735047448570,"Ten Years Artef,",,,1937-03,1937-03-01T00:00:00,"March, 1937",,text,,,archival document,,,,,American Left Ephemera Collection,VIII. Ethnic Radicalism,"Box 13, Folder 72",ULS Archives Service Center,University of Pittsburgh
11,31735047448851,"""Would You Smile?"",",,,1950,1950-01-01T00:00:00,ca. 1950,,text,,,archival document,,,,,American Left Ephemera Collection,I. African Americans and the Left,"Box 37, Folder 1",ULS Archives Service Center,University of Pittsburgh
12,31735047448869,"Michigan State University Faculty Associates (MSUFA),",,,1980,1980-01-01T00:00:00,ca. 1980,,text,,,archival document,,,,,American Left Ephemera Collection,X. Labor,"Box 37, Folder 52",ULS Archives Service Center,University of Pittsburgh
13,31735047448877,"""The Movement and the Workers,""",,,1969-03,1969-03-01T00:00:00,March 1969,,text,,,archival document,,,,,American Left Ephemera Collection,XII. New Left Organizations,"Box 37, Folder 164",ULS Archives Service Center,University of Pittsburgh
14,31735047448893,"Delegates National Assembly for Peace,",,,1952,1952-01-01T00:00:00,1952,,text,,,archival document,,,,,American Left Ephemera Collection,III. Anti-War Propaganda,"Box 37, Folder 2",ULS Archives Service Center,University of Pittsburgh
