,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
0,31735061656561,"""democracy should begin at home""",,,,university of pittsburgh,2,5,text,archival document
1,31735061659946,"""delegate, special convention communist party, u.s.a., july 4-7, 1968""",,,,university of pittsburgh,3,18,text,archival document
2,31735070075076,"political action; political action (milwaukee, wis.)",,,1912-02-17,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
3,31735060482829,"tenement children protest, new york city,",,1934-02-26,,university of pittsburgh,13,62,text,archival document
4,31735065151247,mine-mill union; mine mill union; sindicato; union,,,1955-01-31,university of pittsburgh,,,text,periodicals.; periodical; periodicals
5,31735061544221,"""what are you doing about your undeclared war?"" flyer and event details,",,1963-06-03,,university of pittsburgh,11,145,text,archival document
6,31735060482076,student peace union recruitment brochure,,,,university of pittsburgh,12,21,text,archival document
7,31735066228051,"what is the new deal?, by earl browder",,,,university of pittsburgh,2,131,text,archival document
8,31735061658872,"""the real huey p. long"", by sender garlin,",,1935-05,,university of pittsburgh,4,27,text,archival document
9,31735060482522,"letter from dr. martin luther king, jr.,",,1968-04,,university of pittsburgh,1,21,text,archival document
10,31735066228762,"""the socialization of money"", by e.f. mylius",,,,university of pittsburgh,8,62,text,archival document
11,31735066228994,"wrecking the labor banks, by william z. foster",,,,university of pittsburgh,6,44,text,archival document
12,31735047451004,"""how ue can help you win a more secure future!"" pamphlet",,,,university of pittsburgh,,103,text,archival document
13,31735061538504,"war and the 4th international,",,1934-07,,university of pittsburgh,11,100,text,archival document
14,31735061543843,"""capitalism, socialism, communism?- a debate""",,,,university of pittsburgh,10,96,text,archival document
15,31735059397731,"drum: wildcat strike,",,1968,,university of pittsburgh,1,97,text,archival document
16,31735061544775,"the international socialist review,",,1910-04,,university of pittsburgh,11,4,text,archival document
17,31735067913180,mine-mill union; mine mill union; sindicato; union,,,1965-12,university of pittsburgh,,,text,periodicals.; periodical; periodicals
18,31735061658617,"""world-wide unemployment"", 20,000,000 unemployed",,,,university of pittsburgh,3,67,text,archival document
19,31735060481888,women of yesterday and today,,,,university of pittsburgh,14,3,text,archival document
20,31735061655951,"the position of negro women, by eugene gordon and cyril briggs,",,1935-02,,university of pittsburgh,1,65,text,archival document
21,31735051655698,"may day,",,1938,,university of pittsburgh,13,59,text,archival document
22,31735047450691,"""your vote decides"" pamphlet",,,,university of pittsburgh,37,71,text,archival document
23,31735061659276,"""children under capitalism"", by grace hutchins,",,1933,,university of pittsburgh,4,8,text,archival document
24,31735047451459,"next meeting labor committee for safe energy and full employment letters,",,1980/1981,,university of pittsburgh,,154,text,archival document
25,31735061659011,"""in flanders field..."", by mac weiss,",,1935-05,,university of pittsburgh,3,137,text,archival document
26,31735061537746,"""the red baiting racket and how it works"", by george morris,",,1947-10,,university of pittsburgh,4,69,text,archival document
27,31735070075282,"political action; political action (milwaukee, wis.)",,,1912-08-03,university of pittsburgh,,,text,newspapers.; newspapers; newspaper
28,31735061659722,"""smash hitler's spring offensive now!"", by william z. foster,",,1942-03,,university of pittsburgh,3,55,text,archival document
29,31735051655565,coming! w.e.b. dubois,,,,university of pittsburgh,13,19,text,archival document
30,31735060481912,free billy smith,,,,university of pittsburgh,14,77,text,archival document
31,31735060482282,"""five years of hitler""",,,,university of pittsburgh,14,40,text,archival document
32,31735047449180,"""chug-chug: a children's story for the whole feamily"" ue booklet,",,1947-09,,university of pittsburgh,37,86,text,archival document
