id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
MSS_1002_B001_F11_I01,Recent Litigation Memo,,,,,"July 11, 1975",,,,,,A PARC internal memo that summarizes recent litigation that impacts the lives of residents of state institutions.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 11, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F12_I01,Letter from Peter Polloni to Bob Nelkin,,,,,"March 11, 1975",,,,,,"A letter from Peter Polloni, executive director of PARC, thanking Bob Nelkin for forwarding reports and other information to him and to the United States Justice Department.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 12, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F13_I01,Letter to Frank Beal from Families and Friends of Southwest Rehabilitation Center,,,,,"August 19, 1976",,,,,,A letter from Families and Friends of Southwest Rehabilitation Center expressing the need for the creation of a behavioral management unit at the institution.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 13, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F13_I02,Letter from families of patients at Southwest Rehabilitation Center to Bob Nelkin,,,,,"July 27, 1976",,,,,,A letter requesting Bob Nelkin's advice on advocating for a behavioral care unit at Southwest Rehabilitation Center.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 13, Item 2",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F16_I01,ACC-PARC Recent Benefits to Families Memo,,,,,"March 28, 1977",,,,,,Correspondence from Bob Nelkin to Joan Murdoch listing recent developments that have benefited parents of disabled children.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 16, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F17_I01,Letter from Bob Nelkin to Ellen Siciliano,,,,,"April 11, 1978",,,,,,A letter from Bob Nelkin to Ellen Siciliano regarding a new center for individuals with intellectual and developmental disabilities in the Monongahela Valley area.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 17, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F17_I02,Letter from Bob Nelkin to Representative Richard J. Cessar,,,,,"March 29, 1978",,,,,,A letter from Bob Nelkin to Representative Richard Cessar voicing the concerns of citizens and ACC-PARC regarding a lack of services for citizens with intellectual and developmental disabilities and the emotionally disturbed.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 17, Item 2",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F18_I01,Letter from Teddi Leiden to Dottie Rowe on Department of Public Welfare Hiring Practices,,,,,"May 25, 1983",,,,,,A letter from Teddi Leiden of ARC Pennsylvania to Dottie Rowe of the Office of Mental Retardation in the Department of Public Welfare regarding the state's hiring practices that led to the employment of individuals who mistreated residents.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 18, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F21_I01,Program Summary Community and Chapter Affairs Division,,,,,November 1974,,,,,,"A summary created by ACC-PARC of the existing educational programs, residential care, recreational activities, legislation, and funding for individuals with intellectual and developmental disabilities.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 21, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F22_I01,PARC Action Plan for Community Services,,,,,October 1976,,,,,,A copy of the PARC Action Plan designed to create and ensure superior community residential services for individuals with intellectual and developmental disabilities.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 22, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F23_I01,ACC-PARC Advocacy Report,,,,,"March 21, 1978",,,,,,A report detailing recent actions and advocacy initiatives undertaken by ACC-PARC.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 23, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F23_I02,Proclamation of Retarded Children's Week Commonwealth of Pennsylvania Governor's Proclamation,,,,,"November 14, 1965",,,,,,A copy of the official proclamation from Governor Scranton's office announcing Retarded Children's Week.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 23, Item 2",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F23_I03,Monitoring of Community Living Arrangements in Allegheny County,,,,,"May 22, 1978",,,,,,"A draft of a policy designed to monitor and improve community living arrangements in Allegheny County. Includes monitoring methods, funding of monitoring, rationale, and expected results.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 23, Item 3",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F27_I01,Letter from Joan Murdoch to Charles Peters,,,,,"March 23, 1978",,,,,,"A letter from Joan Murdoch of ACC-PARC to Charles Peters asking about Allegheny County's MH/MR plan for programs, training programs, and respite care. This letter is a follow up of the meeting Peters had with family members on February 16.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 27, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F30_I01,Excerpt from 1975 Department of Public Welfare Publication Challenge,,,,,November-December 1975,,,,,,"A copy of the November-December 1975 issue of the Department of Public Welfare's Challenge magazine. Topics discussed include community living alternatives, DPW finances, health care, opportunities for individuals with intellectual and developmental disabilities, and events at state institutions.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 30, Item 1",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F30_I02,Excerpt from 1976 Department of Public Welfare Publication Challenge,,,,,November-December 1976,,,,,,"A copy of the November-December 1976 issue of the Department of Public Welfare's Challenge magazine. Topics discussed include opportunities for individuals with intellectual and developmental disabilities, community living alternatives, DPW finances, and events at state institutions.",,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 30, Item 2",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
MSS_1002_B001_F30_I03,Excerpt from 1977 Department of Public Welfare Publication Challenge,,,,,November-December 1977,,,,,,A copy of the November-December 1977 issue of the Department of Public Welfare's Challenge magazine. This issue includes an introductory letter from Secretary Frank Beal and an interview with Peter Polloni.,,,,Bob Nelkin Collection of ACC-PARC Records,I. Administrative Records 1953-1983,"box 1, folder 30, Item 3",Heinz History Center,"Detre Library & Archives, Heinz History
                            Center",collection.341
