id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
2000.07.001,Stop The Frame-Up Mass Meeting announcement,"Local 325, Canning and Pickle Workers Union",,1937/1938,1937-01-01T00:00:00,ca. 1937-1938,,,,,leaflet,"Announcement of a meeting to discuss an alleged frame-up of Local 325, Canning and Pickle Workers Union, by the H.J. Heinz Company.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.002,Foundations of Leninism book advertisement,Workers Book Shop,,1930/1940,1930-01-01T00:00:00,ca. 1930-1940,,,,,flier,Advertisement for the book Foundations of Leninism by Joseph Stalin.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.003,Worker Delegates from Soviet Russia Mass Meeting announcement,Friends of the Soviet Union,,1935,1935-01-01T00:00:00,1935,,,,,flier,Announcement of a meeting featuring a delegation of U.S. workers who spent a month in Russia.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.004,Hugo Oehler speech announcement,unknown,,1933,1933-01-01T00:00:00,1933,,,,,flier,"Announcement of an anti-fascism speech by Hugo Oehler, National Lecturer, Communist League of America.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.005,Labor Poets Will Speak Pro-Spain announcement,unknown,,1937,1937-01-01T00:00:00,1937,,,,,flier,Announcement for a program of anti-Fascism speeches.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.006,Wm. J. Kappel Co. Jewelry Stores Unfair to Organized Labor boycott announcement,"Local 101, United Retail and Wholesale Employees",,1938,1938-01-01T00:00:00,1938,,,,,flier,"Announcement of a boycott of Wm. J. Kappel Co. Jewelry Stores by Local 101, United Retail and Wholesale Employees Union.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.007,Communist Mass Election Rally announcement,Communist Party Election Campaign Committee,,1934,1934-01-01T00:00:00,1934,,,,,flier,Announcement of a rally for workers featuring Communist candidate speakers.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.008,Sentenced to Health movie advertisement,Friends of the Soviet Union,,1935,1935-01-01T00:00:00,1935,,,,,flier,"Announcement for a screening of the Soviet comedy ""Sentenced to Health"" and news reels from a delegation's visit to the Soviet Union.",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.009,Russian-American Relations -- A Public Forum announcement,Friends of the Soviet Union,,1935,1935-01-01T00:00:00,1935,,,,,flier,Announcement of a public forum to discuss Russian-American relations. Speakers include Myra Page.,Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
2000.07.010,Corliss Lamont Lecture announcement,Friends of the Soviet Union,,1934,1934-01-01T00:00:00,1934,,,,,flier,"Announcement of a lecture by Corliss Lamont, former professor of philosophy at Columbia University, titled ""On Understanding Soviet Russia.""",Communist Party of the United States of America.|||Communists—Pennsylvania|||Pittsburgh.,,,,,"Box 1, folder 1",Archives Service Center,University of Pittsburgh
