,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
0,ais.2013.03.01,"""Kill or Be Killed!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Bombs falling on a Japanese soldier wearing a swastika badge.,War,,,AIS.2013.03,,,,University of Pittsburgh
1,ais.2013.03.02,"""Remember This Guy?""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"17"" x 14""",Original art,Man wearing a zoot suit is recruited into the Army and trains to become an air corps mechanic.,Military,,,AIS.2013.03,,,,University of Pittsburgh
2,ais.2013.03.03,"""Joe Dope Gets His G.I. Gas Mask""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,"Soldier is presented a gas mask, neglects to learn how to use it, and dies of gas poisoning.",Military,,,AIS.2013.03,,,,University of Pittsburgh
3,ais.2013.03.04,"""Tender Feet? You Bet""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Soldiers marching down Collins Avenue in Miami Beach.,Military,,,AIS.2013.03,,,,University of Pittsburgh
4,ais.2013.03.05,"""We'll Beat 'Em at Their Own Game!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"22"" x 15""",Original art,"News item cartoon depicting Uncle Sam holding a broken olive branch at Pearl Harbor at the top of the cartoon and holding a book titled ""Ju-Jitsu American Edition"" at the bottom.","War, Military",,,AIS.2013.03,,,,University of Pittsburgh
5,ais.2013.03.06,"""The Plug Wasn't Clean""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Soldier dreaming about the chain of events leading to the Axis powers winning the war because of a dirty airplane spark plug.,"War, Military",,,AIS.2013.03,,,,University of Pittsburgh
6,ais.2013.03.07,"""This Isn't Your War Soldier!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Editorial cartoons,"20"" x 15""",Original art,Dr. Joseph Goebbels whispering to an American soldier.,War,,,AIS.2013.03,,,,University of Pittsburgh
7,ais.2013.03.08,Sergeant Spinning Gun,Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Sergeant spinning a gun in front of three privates. The privates laugh when he drops the gun on his foot and they are forced to clean the floor.,Military,,,AIS.2013.03,,,,University of Pittsburgh
8,ais.2013.03.09,"""Reveille!""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Soldier awoken by various training camp distractions.,Military,,,AIS.2013.03,,,,University of Pittsburgh
9,ais.2013.03.10,"""The Best GI Friend You Have""",Fred Wright,,1943/1945,1943-01-01T00:00:00,,,still image,Comic strips,"20"" x 15""",Original art,Information for soldiers about their rifle.,Military,,,AIS.2013.03,,,,University of Pittsburgh
