,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor
0,3.17E+13,"Letters From the Oregon Trail: Carbon Copy, Part I (2 copies),",,,,,[1852-1855]; 1908; 1913,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 1",ULS Special Collections Department,University of Pittsburgh
1,3.17E+13,"Letters From the Oregon Trail: Carbon Copy, Part 2,",,,,,[1852-1855]; 1908; 1913,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 2",ULS Special Collections Department,University of Pittsburgh
2,3.17E+13,"Description on the Construction of a Military Road from Fort Walla Walla to Fort Steilacoom, by George H. Himes",,,1844/1859,1844-01-01T00:00:00,[1844-1859],,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 3",ULS Special Collections Department,University of Pittsburgh
3,3.17E+13,"Chinook Jargon:Carbon Copy and Photocopy,",,,1852/1855,1852-01-01T00:00:00,[1852-1855],,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 4",ULS Special Collections Department,University of Pittsburgh
4,3.17E+13,"Civil War Prose on Slavery,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 5",ULS Special Collections Department,University of Pittsburgh
5,3.17E+13,"Original Journal from the Oregon Trail,",,,1852,1852-01-01T00:00:00,1852,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 1",ULS Special Collections Department,University of Pittsburgh
6,3.17E+13,"Scrapbook of Newspaper Clippings of Poems and Handwritten Poems,",,,1848/1849,1848-01-01T00:00:00,1848-1849,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 3",ULS Special Collections Department,University of Pittsburgh
7,3.17E+13,"Small Notebook of Poetry,",,,1850/1914,1850-01-01T00:00:00,1850-1914,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 4",ULS Special Collections Department,University of Pittsburgh
8,3.17E+13,"Scrapbook Album Including Photos and Miscellaneous Allen Family Items,",,,1855,1855-01-01T00:00:00,1855,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 5",ULS Special Collections Department,University of Pittsburgh
9,3.17E+13,"The Veteran,",,,1853/1904,1853-01-01T00:00:00,1853-1904,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 18",ULS Special Collections Department,University of Pittsburgh
10,3.17E+13,"The Walls of Sand: A True Fairy Story,",,,1885,1885-01-01T00:00:00,1885,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 12",ULS Special Collections Department,University of Pittsburgh
11,3.17E+13,"Matter of Petition For Awarding Medal of Honor to Allen From 155th Regiment of Pennsylvania,",,,1862,1862-01-01T00:00:00,1862,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 13",ULS Special Collections Department,University of Pittsburgh
12,3.17E+13,"Memorial Day Address Given At Homewood Cemetary,",,,1901,1901-01-01T00:00:00,1901,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 14",ULS Special Collections Department,University of Pittsburgh
13,3.17E+13,"Fall In! Comrades, Written For The 155th Regiment of Pennsylvania Volunteers,",,,1894,1894-01-01T00:00:00,1894,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 15",ULS Special Collections Department,University of Pittsburgh
14,3.17E+13,"Photographs of the 155th Regiment of Pennsylvania Volunteers of the Civil War,",,,1908,1908-01-01T00:00:00,1908,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 4",ULS Special Collections Department,University of Pittsburgh
15,3.17E+13,"Journal Accounting Daily Life in Pittsburgh,",,,1849/1850,1849-01-01T00:00:00,1849-1850,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 5",ULS Special Collections Department,University of Pittsburgh
16,3.17E+13,"Journal Accounting Daily Life in Pittsburgh,",,,1851,1851-01-01T00:00:00,1851,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 6",ULS Special Collections Department,University of Pittsburgh
17,3.17E+13,"Journal Accounting Daily Life in Pittsburgh, a Christmas present from William,",,,1852,1852-01-01T00:00:00,1852,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 8",ULS Special Collections Department,University of Pittsburgh
18,3.17E+13,"Scrapbook of Newspaper Clippings of Poetry by Edward, William and Other Authors and Articles Written by Edward About Numerous Travels, Published in the Pittsburgh Dispatch,",,,1853/1889,1853-01-01T00:00:00,1853-1889,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 9",ULS Special Collections Department,University of Pittsburgh
19,3.17E+13,"Certificate Of Permission For Entry into Virginia,",,,1862,1862-01-01T00:00:00,1862,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 1",ULS Special Collections Department,University of Pittsburgh
20,3.17E+13,"Membership Card For The Military Order Loyal Legion United States,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 2",ULS Special Collections Department,University of Pittsburgh
21,3.17E+13,"Program For The Dedication Of Monument In Memorial Of The 155th Regiment Of Pennsylvania,",,,1886,1886-01-01T00:00:00,1886,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 3",ULS Special Collections Department,University of Pittsburgh
22,3.17E+13,"Letter Of Recommendation For Rank Of Colonel,",,,1863,1863-01-01T00:00:00,1863,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 4",ULS Special Collections Department,University of Pittsburgh
23,3.17E+13,"Badges Of Reunions Held For The 155th Regiment of Pennsylvania Volunteers,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 5",ULS Special Collections Department,University of Pittsburgh
24,3.17E+13,"Diary Containing Accounts of Daily Life in Pittsburgh and on the Steamboat New Hampshire,",,,1845,1845-01-01T00:00:00,1845,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 1",ULS Special Collections Department,University of Pittsburgh
25,3.17E+13,"Diary Containing Accounts of Daily Life in Pittsburgh and on the Steamboat New Hampshire,",,,1846,1846-01-01T00:00:00,1846,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 2",ULS Special Collections Department,University of Pittsburgh
26,3.17E+13,"Scrapbook of Newspaper Clippings Concerning the Steamboat New Hampshire,",,,1847,1847-01-01T00:00:00,1847,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 3",ULS Special Collections Department,University of Pittsburgh
27,3.17E+13,"Book of Fift, Notebook of Mathematical Reference Collected by Allen,",,,1837/1897,1837-01-01T00:00:00,1837-1897,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 1",ULS Special Collections Department,University of Pittsburgh
28,3.17E+13,"""Notices of Books,"" Notebook Containing Summaries and Personal Reviews of Books and Journal Entries Accounting Daily Life and Travels,",,,1840/1841,1840-01-01T00:00:00,1840-1841,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 2",ULS Special Collections Department,University of Pittsburgh
29,3.17E+13,"Personal Diary Accounting Daily Life on the steamboat New Hampshire,",,,1842,1842-01-01T00:00:00,1842,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 3",ULS Special Collections Department,University of Pittsburgh
