,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
0,31735037970153,"the new hampshire steamer album of poems, illustrations, and newspaper clippings regarding the death of george and also william, ten years later,",,1845/1857,,university of pittsburgh,183,1,text,archival document
1,31735037972902,"winthrop allen (brother),",,,,university of pittsburgh,,2,text,archival document
2,31735037970203,"diary as clerk on the steamboat hiram powers,",,1849,,university of pittsburgh,183,6,text,archival document
3,31735062230549,"bonfield manor,",,1926/1934,,university of pittsburgh,147,2,text,archival document
4,31735037970237,edward jay allen (paternal grandfather),,,,university of pittsburgh,174,8,text,archival document
5,31735037969924,"the walls of sand: a true fairy story,",,1885,,university of pittsburgh,157,12,text,archival document
6,31735037972613,"elizabeth allen (sister),",,,,university of pittsburgh,,11,text,archival document
7,31735062230598,richfield springs: typed draft for curtis brown ltd. (chapters 1-4),,,,university of pittsburgh,27,5,text,archival document
8,31735037972936,"elizabeth allen (sister),",,,,university of pittsburgh,,11,text,archival document
9,31735037972456,"winthrop allen (brother),",,,,university of pittsburgh,,7,text,archival document
10,31735037970005,"scrapbook of newspaper clippings of poetry by edward, william and other authors and articles written by edward about numerous travels, published in the pittsburgh dispatch,",,1853/1889,,university of pittsburgh,158,9,text,archival document
11,31735037972738,"elizabeth allen (sister),",,,,university of pittsburgh,,14,text,archival document
12,31735037970096,"scrapbook of newspaper clippings concerning the steamboat new hampshire,",,1847,,university of pittsburgh,180,3,text,archival document
13,31735037973009,"framed letter from theodore roosevelt,",,1898,,university of pittsburgh,158,7,text,archival document
14,31735037972381,"toward the flame: original handwritten letter from hervey allen on active duty, inspiration for toward the flame,",,1918,,university of pittsburgh,28,1,text,archival document
15,31735037969932,"matter of petition for awarding medal of honor to allen from 155th regiment of pennsylvania,",,1862,,university of pittsburgh,157,13,text,archival document
16,31735037972415,"winthrop allen (brother),",,,,university of pittsburgh,,8,text,archival document
17,31735037970047,"program for the dedication of monument in memorial of the 155th regiment of pennsylvania,",,1886,,university of pittsburgh,157,3,text,archival document
18,31735037972555,"winthrop allen (brother),",,,,university of pittsburgh,,6,text,archival document
19,31735037970195,"scrapbook of newspaper clippings of poems and recorded poems,",,1849/1963,,university of pittsburgh,183,5,text,archival document
20,31735037972829,"winthrop allen (brother),",,,,university of pittsburgh,,1,text,archival document
21,31735037972522,"elizabeth allen (sister),",,,,university of pittsburgh,,10,text,archival document
22,31735037970138,"scrapbook of newspaper clippings of poems and handwritten quotations,",,1844,,university of pittsburgh,182,4,text,archival document
23,31735037972860,"winthrop allen (brother),",,,,university of pittsburgh,,2,text,archival document
24,31735037972696,"may 4, 1946-march 11, 1949",,,,university of pittsburgh,,15,text,archival document
25,31735037972852,"elizabeth allen (sister),",,,,university of pittsburgh,,12,text,archival document
26,31735037969841,"description on the construction of a military road from fort walla walla to fort steilacoom, by george h. himes",,1844/1859,,university of pittsburgh,156,3,text,archival document
27,31735037972589,"winthrop allen (brother),",,,,university of pittsburgh,,9,text,archival document
28,31735037972811,"elizabeth allen (sister),",,,,university of pittsburgh,170,13,text,archival document
29,31735037972480,"elizabeth allen (sister),",,,,university of pittsburgh,170,9,text,archival document
30,31735037969874,"original journal from the oregon trail,",,1852,,university of pittsburgh,159,1,text,archival document
31,31735037969999,"journal accounting daily life in pittsburgh, a christmas present from william,",,1852,,university of pittsburgh,158,8,text,archival document
32,31735037969890,"small notebook of poetry,",,1850/1914,,university of pittsburgh,159,4,text,archival document
33,31735037972506,"winthrop allen (brother),",,,,university of pittsburgh,,9,text,archival document
34,31735037972621,"winthrop allen (brother),",,,,university of pittsburgh,,5,text,archival document
35,31735037972431,"winthrop allen (brother),",,,,university of pittsburgh,,4,text,archival document
36,31735037970062,"badges of reunions held for the 155th regiment of pennsylvania volunteers,",,,,university of pittsburgh,157,5,text,archival document
37,31735037969916,"the veteran,",,1853/1904,,university of pittsburgh,157,18,text,archival document
38,31735037972571,"winthrop allen (brother),",,,,university of pittsburgh,,8,text,archival document
39,31735037972662,"winthrop allen (brother),",,,,university of pittsburgh,,5,text,archival document
40,31735037972894,"elizabeth allen (sister),",,,,university of pittsburgh,,12,text,archival document
