,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
0,9960035303406236,"song: or, A sermon. A new ballad, A",,,"Rosslyn, Alexander Wedderburn, Earl of, 1733-1805",,Edinburgh?,s.n.,1757],1757,,,,monographic,eng,text,electronic|||electronic resource|||remote,4p. ; 4⁰.,Early works to 1800|||Songs,,"Ballads, English",,Great Britain Scotland Edinburgh,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1636300300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
1,9960035893406236,"short account of the first settlement of the provinces of Virginia, Maryland, New-York, New-Jersey, and Pensylvania, by the English: To which is annexed a map of Maryland, according to the bounds mentioned in the charter, and also of the adjacent country, Anno 1630, A",,,"Hall, Fayrer.",,London,[s.n.],Printed in the year MDCCXXXV. [1735],1735,,,,monographic,eng,text,electronic|||electronic resource|||remote,"20p.,plate : map ; 4⁰.",Early works to 1800|||Maps,,History,"Colonial period, ca. 1600-1775",United States|||Maryland|||Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1475000600&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
2,9960037393406236,"Collection of hymns and spiritual songs, A",,,,,Stockton,Printed by R. Christopher,MDCCLXXVII. [1777],1777,,,,monographic,eng,text,electronic|||electronic resource|||remote,"iv,51,[1]p. ; 12⁰.",Early works to 1800|||Songs,,"Hymns, English|||Songs, English",,Great Britain England Stockton-on-Tees,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1372503200&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
3,9960037463406236,"Caniadau newyddion: Sef caolau plygain, a cherddi, na buant yn argraffedig o'r blaen",,,"Rhys, Joan.",,Shrewsbury],"Argraphwyd yn y Mwythig, gan J. Eddowes, Gwerthwr Llysrau, wrth y ty-marchnad",MDCCLXXV. [1775],1775,,,,monographic,wel,text,electronic|||electronic resource|||remote,24p. ; 12⁰.,Early works to 1800|||Songs,,"Songs, Welsh",,Great Britain England Shrewsbury,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1575702300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
4,9960037583406236,Carol: Ar conceit gwyr y gogledd Gan Evan Owens; Bardd: Llanberis,,,"Owens, Evan.",,Caernarfon,"Argraphwyd, gan T. Roberts",1798,,,,,monographic,wel,text,electronic|||electronic resource|||remote,8p. ; 12⁰.,Early works to 1800|||Songs,,"Songs, Welsh",,Great Britain Wales Caernarfon,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1575702000&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
5,9960037643406236,"Balad newydd yn cynnwys dwy o gerddi: Yn gyntaf I anerch brawd ynghyfraith y bardd yn erbyn medd-dod. Yn ail. Ymddiddan rhwng gwr ifangc a'i gariad, ar bwynt priodi, sel acyr aeth angau ac ef or bŷd",,,"Thomas, Robert, d. 1774",,Trefriw,Argraphwyd,[1780?],1780,,,,monographic,wel,text,electronic|||electronic resource|||remote,8p. ; 12⁰.,Early works to 1800|||Songs,,"Ballads, Welsh",,Great Britain Wales Trefriw,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1575703500&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
6,9960037653406236,"Balad newydd yn cynwys dwy gerdd: Yn gyntaf Carol plygain Yn ail o ymddiddan rhwng gwr ifangc ai gariad sef Rodric Llwyd a Sara, pa rai a ymgredod au gilvdd, ond y Mab a Bresiwyd ag a gollodd ei fywyd yn y rhysel; ar ymddiddan fu rhwng ei yspryd ef a hithau wedci ei farw",,,,,Trefriw,Argraphwyd,[1780?],1780,,,,monographic,wel,text,electronic|||electronic resource|||remote,8p. ; 12⁰.,Early works to 1800|||Songs,,"Ballads, Welsh",,Great Britain Wales Trefriw,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1575703600&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
7,9960041873406236,"Voyages from Asia to America: For completing the discoveries of the north west coast of America. To which is prefixed. A summary of the voyages made by the Russians on the frozen sea, in search of a north east passage. Serving as an explanation of a map of the Russian discoveries, published by the Academy of Sciences at Petersburgh. Translated from the high dutch of S.Muller, of the Royal Academy of Petersburgh. With the addition of three new maps; 1. A copy of part of the Japanese map of the world. 2. A copy of De Lisle's and Buache's fictitious map. And 3. A large map of Canada, extending to the Pacific Ocean, containing the new discoveries made by the Russians and French. By Thomas Jefferys geographer to His Majesty",,,"Mueller, Gerard Fridrikh, 1705-1783",,London,"Printed for T. Jefferys, the corner of the St. Martia's Lane, Charing Cross",1761,,,,,monographic,eng,text,electronic|||electronic resource|||remote,"viii,xliii,[1],76p.,plates : maps ; 4⁰.",Early works to 1800|||Maps,,Discoveries in geography|||Russian|||Maps|||Description and travel,,Northwest Coast of North America|||Northeast Passage|||Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1621400900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
8,9960042223406236,Moral songs composed for the use of children,,,"Foxton, Thomas, 1697-1769",,London,"Printed for Richard Ford, at the Angel in the Poultry, near Stocks-Market",1728,,,,,monographic,eng,text,electronic|||electronic resource|||remote,"x,[2],58,[2]p. ; 12⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1580500500&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
9,9960046683406236,"Taylor and Skinner's maps of the roads of Ireland, surveyed 1777",,,"Taylor, George, geographer, fl. 1778|||Skinner, Andrew, geographer",,London],"Published for the authors as the act directs 14th Novr. 1778. sold by G. Nicol, Strand; I. Murray, Fleet-Street, London and by W. Wilson, No. 6, Dame-Street, Dublin",[1778],1778,,,,monographic,eng,text,electronic|||electronic resource|||remote,"XVI,288,16p. : ill.,maps ; 8⁰.",Early works to 1800|||Maps,,Roads,,Ireland|||Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1562301300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
10,9960053133406236,"Geographia Magnæ Britanniæ: Or, Correct maps of all the counties in England, Scotland, and Wales; with general ones of both kingdoms, and of the several adjacent islands: each map expressing the cities, boroughs, market and presbytery towns, villages, roads and rivers; with the no. of members sent to Parliament; together with tables of the high and cross roads market days",,,,,London],"Printed for S. Birt. I. Osborne, T. Osborne. A. Millar. D. Browne. I. Robinson. I. Hodges",[1748],1748,,,,monographic,eng,text,electronic|||electronic resource|||remote,"[4],39,[27]p.,60[i.e.61]plates : maps ; 8⁰.",Early works to 1800|||Maps,,,,Great Britain|||Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1688100200&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
11,9960054063406236,"triomphe de l'amour: Ou le serpent cache' sous les fleurs, Le",Triomphe de l'amour,,"Michel, de Saint-Sauveur-le-Vicomte",,A Londres,"Et se trouvent à Paris, chez Duchesne, Libraire, rue S. Jacques, au-dessous de la Fontaine S. Benoir, au Temple du Goût",M.DCC.LV. [1755],1755,,,,monographic,fre,text,electronic|||electronic resource|||remote,"255,[1]p. ; 12⁰.",Early works to 1800|||Songs,,"Songs, French",,France Paris,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1490000200&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
12,9960055483406236,"Ellis's English atlas: or, A compleat chorography of England and Wales: In fifty-four maps. Containing more particulars than any other collection of the same kind. The whole calculated for the use of travellers, academies, and of all those who desire to improve in the knowledge of their country. From the latest surveys of the several counties; with the addition of four maps, viz. of the rivers of England and Wales; of twenty-five miles of the country round London; of the island of Jersey; and of Guernsey, Sark, Alderney, and Burhou. Engraved by, and under the direction of, J. Ellis",,,"Ellis, J. (John), fl. 1750-1800",,London,"Printed for Robert Sayer, at the Golden Buck, near Serjeants Inn, in Fleet-Street; and Carington Bowles, next the Chapter-House, in St. Paul's Church-Yard",MDCCLXVI. [1766],1766,,,,monographic,eng,text,electronic|||electronic resource|||remote,"[2]p.,51plates : maps ; obl.4⁰.",Early works to 1800|||Maps,,Atlases,,Great Britain|||England|||Wales|||Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1338600500&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
13,9960057283406236,"Musical Society at the Black Bear. Mr. Hague's Night. On Tuesday, May 16th, 1797, will be performed a concert of vocal and instrumental music, at the Concert Room at the Black Bear Inn",,,,"Musical Society at the Black Bear (Cambridge, England)",Cambridge,s.n.,1797],1797,,,,monographic,eng,text,electronic|||electronic resource|||remote,[2]p. ; 1/2⁰.,Advertisements|||Early works to 1800|||Songs,,"Songs, English",,Great Britain England Cambridge,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1506902700&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
14,9960057293406236,"Musical Society at the Black Bear. Mr. Scarborough most respectfully informs his friends and the public, that his annual benefit concert will be at the Concert Room, at the Black Bear, on Tuesday the 4th of April, 1797",,,,"Musical Society at the Black Bear (Cambridge, England)",Cambridge,s.n.,1797],1797,,,,monographic,eng,text,electronic|||electronic resource|||remote,[2]p. ; 1/2⁰.,Advertisements|||Early works to 1800|||Songs,,"Songs, English",,Great Britain England Cambridge,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1506902300&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
15,9960057923406236,"second subscription concert at Chapel-Field House, Jan.11th. 1793, The",,,,"Chapel-Field House (Norwich, England)",Norwich],Printed by Yarington and Bacon,[1793],1793,,,,monographic,eng,text,electronic|||electronic resource|||remote,1 sheet ; 1⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain England Norwich,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1313900100&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
16,9960058073406236,"vocal enchantress presenting an elegant selection of the most favourite hunting, sea, love, & miscellaneous songs: sung by Edwin, Bannister, Webster, Mrs. Cargill, Mrs. Kennedy, Mrs. Wrighten, &c. &c. &c. with the music prefixed to each, The",,,,,London,"printed for J. Fielding, No. 23, Pater noster Row",[1783],1783,,,,monographic,eng,text,electronic|||electronic resource|||remote,"[10],350,[2]p.,plate : ill.,music ; 12⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1735800100&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
17,9960058603406236,"Songs of love in a village, with additional songs: As they were performed at the Fancy Ball in the castle of Dublin, on St. Patrick's night, by a select group, The",,,,,Dublin,"Printed by H. Colbert, No. 136, Capel-street",M.DCC.LXXXIX. [1789],1789,,,The second edition.,monographic,eng,text,electronic|||electronic resource|||remote,"15,[1]p. ; 8⁰.",Songs,,English drama,18th century,Ireland Dublin,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1542100900&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
18,9960058613406236,"songster's delight, being a choice collection of songs: Containing, My Nammie O. Bonny Jean of Aberdeen. The Dutchess of Newcastle's lamentation[.] The London merchant[.], The",,,,,Aberdeen],"Chalmers & Co. printers, Aberdeen",[1800?],1800,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. : ill. ; 12⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain Scotland Aberdeen,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1699401000&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
19,9960058943406236,"Solomon a serenata: Taken from the canticles. Set to music by Mr. Boyce, and perform'd in the academy of music, held in the Apollo",,,"Moore, Edward, 1712-1757","Boyce, William, 1711-1779",London,Printed for the Academy,MDCCXLII. [1742],1742,,,,monographic,eng,text,electronic|||electronic resource|||remote,"[3],6-16p. ; 8⁰.",Early works to 1800|||Songs,,"Songs, English",,Great Britain England London,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1620600500&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
20,9960059133406236,"Snug bit of land in the ocean: To which are added, chloe how blubber'd is thy cheeks. Rundy's song in the farmer. The marriage act. The beautiful markets of Glasgow. The wedding day. Father Dennis's comfort, The",,,,,Glasgow,"Printed by J & M. Robertson, Saltmarket",1800,,,,,monographic,eng,text,electronic|||electronic resource|||remote,8p. : ill. ; 12⁰.,Early works to 1800|||Songs,,"Songs, English",,Great Britain|||Great Britain Scotland Glasgow,,,,,http://pitt.idm.oclc.org/login?url=http://find.galegroup.com/ecco/infomark.do?contentSet=ECCOArticles&docType=ECCOArticles&bookId=1689802500&type=getFullCitation&tabID=T001&prodId=ECCO&docLevel=TEXT_GRAPHICS&version=1.0&source=library&userGroupName=upitt_main
