id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
992067973406236,"Ortus medicinæ: id est, initia physicæ inaudita : progressus medicinæ novus, in morborum ultionem ad vitam longam",,,"Helmont, Jean Baptiste van, 1577-1644","Helmont, Franciscus Mercurius van, 1614 or 18-1699",Amsterodami|||Bruxelles,Apud Ludovicum Elzevirium|||Culture et Civilisation,1648|||1966],1966,,,,monographic,Latin,text,print,"[34], 800 p. ; 25 cm.",,,Medicine|||Early works to 1800,,,,,73359001,02343838,
9917996033406236,"Pharmacopœia Londinensis, or, The London dispensatory: further adorned by the studies and collections of the fellows, now living of the said colledg, being that book by which all apothecaries are bound to make up all the medicines in their shops",,Pharmacopœia Londinensis|||London dispensatory|||Physicall directory,"Culpeper, Nicholas, 1616-1654","Cole, Abdiah, ca. 1610-ca. 1670|||Royal College of Physicians of London",London,Printed by Peter Cole and Edward Cole ...,1661,,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[14], 229, [27] p.",,,Pharmacopoeias|||Dispensatories|||Medicine|||Early works to 1800,,England,,,,18965734,
9917998903406236,Famous and effectual medicine to cure the plague,,,,,London,s.n.,1670?],1670,,,,monographic,English,text,microfilm|||microform|||microfilm reel,1 broadside.,,,Plague|||Medicine|||Early works to 1800,,Great Britain,,,,19368499,
9918000593406236,"Pharmaceutice rationalis, or, An exercitation of the operations of medicines in humane bodies: shewing the signs, causes, and cures of most distempers incident thereunto : in two parts : as also a treatise of the scurvy, and the several sorts thereof, with their symptoms, causes, and cure",,Pharmaceutice rationalis|||Exercitation of the operations of medicines in humane bodies,"Willis, Thomas, 1621-1675",,London,"Printed for T. Dring, C. Harper, and J. Leigh ...",M DC LXXX IV [1684],1985,,,,monographic,English|||Latin,text,microfilm|||microform|||microfilm reel,"[8], 160, [8], 218 p., [13] leaves of plates : ill.",,,Materia medica|||Early works to 1800|||Pharmacology|||Medicine,,,,,,19525560,
9918000773406236,"new and needful treatise of spirits and wind offending mans body: wherein are discovered their nature, causes and effects, A",Flatibus humanum corpus molestantibus. English,,"Feyens, Jean, d. 1585","Rowland, William.",London,Printed by J.M. for Benjamin Billingsley and Obadiah Blagrave ...,1668,,,,,monographic,English|||Latin,text,microfilm|||microform|||microfilm reel,"[14], 115, [5] p.",,,Medicine|||Early works to 1800,,,,,,19526399,
9918003793406236,"Medicina diastatica, or, Sympatheticall mumie: containing many mysterious and hidden secrets in philosophy and physick, by the [brace] construction, extraction, transplantation and application [brace] of microcosmical & spiritual mumie : teaching the magneticall cure of diseases at distance, &c",,Medicina diastatica|||Sympatheticall mumie,"Paracelsus, 1493-1541","Tentzel, Andreas, fl. 1625|||Parkhurst, Ferdinando, fl. 1660",London,"Printed by T. Newcomb for T. Heath, and are to be sold at his shop ...",1653,,,,,monographic,English|||Latin,text,microfilm|||microform|||microfilm reel,"[24], 128 p.",,,"Medicine|||Early works to 1800|||Medicine, Magic, mystic, and spagiric",,,,,,19680548,
9918005373406236,"Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women: furnished with directions to prevent miscarriages during the time of breeding, and other casualties which usually attend women in child-bed : to which is annexed cures for all sorts of diseases incident to the bodies of men, women and children",Cures for severall diseases|||Preservatives against the plague,Compleat cabinet opened for child-bearing women,,,London,Printed for Simon Neale ...,1675,,,,,monographic,English,text,microfilm|||microform|||microfilm reel,206 p. in various pagings.,,,"Medicine, Popular|||Early works to 1800|||Obstetrics|||Popular works|||Pharmacopoeias",,,,,,23236078,
9918006453406236,Artis conservandi sanitatem libri duo,,,"Liddel, Duncan, 1561-1613","Dun, Patrick, fl. active 17th century|||Wedderburn, David, 1580-1646",Aberdoniæ,Excudebat Iacobus Brounus,anno 1651,1651,,,,monographic,Latin,text,microfilm|||microform|||microfilm reel,"[16], 471 p.",,,Health|||Early works to 1800|||Medicine,,,,,,24005614,
9918007373406236,"art of chymistry, The",,,,"Culpeper, Nicholas, 1616-1654",London,Printed for Simon Neale ...,1674,,,,The third edition.,monographic,English|||Latin,text,microfilm|||microform|||microfilm reel,"[16], 133 [i.e. 135] p., 1 leaf of plates : port.",,,"Medicine|||Formulae, receipts and prescriptions|||Early works to 1800|||Pharmacopoeias",,,,,,24523414,
9918010453406236,"Agyrto-mastix, or, Some brief animadversions upon two late treatises: one of Master George Thomsons, entituled Galeno-pale, the other of Master Thomas O'Dowdes, called The poor mans physitian : with a short appendix relating to the Company of Apothecaries",,Some brief animadversions upon two late treatises,"Johnson, William, d. 1665",,London,Printed by T. Mabb for Henry Brome ...,1665,,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[8], 135, [1] p.",,,"Medicine|||Early works to 1800|||Thomson, George fl. 1648-1679|||O'Dowde, Thomas|||Galeno-pale|||Poor mans physician",,,,,,27163699,
