,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
0,9935756693406236,Hirschfeld: on line,,On line,"Hirschfeld, Al.",,New York,Applause,c1999,1999,,,,monographic,eng,text,print,343 p. : ill. (some col.) ; 31 cm.,,"""Hirschfeld On Line is just that - it's Al Hirschfeld ""on"" Hirschfeld, as the master turns his quick quill pen to prose in order to comment, critique, explicate, and occasionally even lampoon his own artwork, from the very first theatre drawings he did in the mid-Twenties up to (nearly) last week."" ""Here is Hirschfeld on the dramatic and droll stories behind his scenes, as well as those of the Broadway stages he's covered graphically since the American theatre came of age with O'Neill and Show Boat. Here are his most famous and enduring imageslike that one of Liza Minnelli in Cabaret, or that long-striding one of Robert Preston in The Music Man, or that one of, well, the list - the distinguished line - goes on and on. He tells us at long last not only why he draws but what and how he has drawn it."" ""For those who've missed the past seventy-five years of opening nights on Broadway and would like to catch up, this is the book for them. For those who would like a pictorial summation of our time - from the early, ""hopeful"" years of Soviet Russia to the final, cynical episode of Seinfeld, this book is for them. And for those who would just like to know how and why Al Hirschfeld started putting all those NINAs into each and every one of his drawings - and why no power on earth can now grant him leave to cease and desist - this book is essential.""--BOOK JACKET.","American wit and humor, Pictorial|||Cartoonists|||Hirschfeld, Al",,United States|||n-us---,,1557833567 :,98088469,40511790,
1,9936113313406236,[Autograph album],,Autographs,,"Simon, S. Sylvan (Samuel Sylvan), 1910-1951",,,,,[1942]|||1942,,,monographic,eng,text,print,[31] leaves ; 15 x 16 cm.,Autographs,,Actors|||Actresses,,,,,,ocm43525331,
2,9936354593406236,Hitchcock poster art: from the Mark H. Wolff collection,,,,"Wolff, Mark H.|||Nourmand, Tony.","Woodstock, NY",Overlook Press,1999,,,,,monographic,eng,text,print,127 p. : ill. (some col.) ; 31 cm.,Catalogs|||catalog,,"Film posters|||Hitchcock, Alfred 1899-1980",,,,087951714X (hardcover),99033578,ocm41612347,
3,9936972063406236,Blueprint for summer theatre,,,"Beckhard, Richard, 1918-1999|||Effrat, John, 1908-",,N[ew] Y[ork],John Richard Press,1948,,,,,monographic,eng,text,print,"x, 100 p. 22 cm.",,,Summer theater,,,,,48007346 //r52,ocm03306628,
4,9937024713406236,"complete plays of Gilbert and Sullivan, The",Operas. Librettos. Selections,,"Sullivan, Arthur, 1842-1900","Gilbert, W. S. (William Schwenck), 1836-1911",New York,The Modern Library,[1936],1936,,,,monographic,eng,text,print,"ix, 711 p. illus. 21 cm.",Librettos,,"Operas|||Sullivan, Arthur 1842-1900",,,,,36010883,ocm00964298,
5,9938002903406236,Loot,,,"Orton, Joe.",,,Samuel French Inc,2000?,2000,,,,monographic,eng,text,print,unbound playscript format,,,,,,,,,,
6,9938728493406236,Blueprint for summer theatre,,,"Beckhard, Richard, 1918-1999|||Effrat, John, 1908-",,N[ew] Y[ork],John Richard Press.,,1949/uuuu,,,,serial,eng,text,print,v. illus. 22-24 cm.,,,Summer theater,,,,,48007346,ocm04674530,
7,9939395423406236,"New York State Council on the Arts, 1961",,,,New York State Council on the Arts,S.l,The Council,1962],1962,,,,monographic,eng,text,print,40 p. illus. 21 cm.,,,Art and state|||Art,,New York (State),,,62062582,ocm13522728,
8,9939822253406236,Mielziner: master of modern stage design,,,"Henderson, Mary C., 1928-2012",New York Public Library,New York,Back Stage Books : published in association with the New York Public Library,2001,,,,,monographic,eng,text,print,320 p. : ill. (some col.) ; 22 x 29 cm.,bibliography|||biography,"""Jo Mielziner (1901-76) was the most highly acclaimed scenic and lighting designer of the American theatre of the twentieth century. Spanning some five decades, his unusually long career coincided with the flowering of modern theatre in the United States, with the result that he designed many of its most famous productions. So protean were Mielziner's talents that in some years during Broadway's peak, in a single season more than a half-dozen hit shows bore his scenery on the boards."" ""Mielziner: Master of Modern Stage Design, authorized by the Mielziner estate and published in association with The New York Public Library for the Performing Arts, is illustrated with sketches and fully rendered designs never previously published, and graced with a foreword by former New York Times theatre critic Frank Rich, this book provides a long-overdue, definitive account of Mielziner's life and work as the preeminent theatre artist of his time.""--BOOK JACKET.","Set designers|||Theaters|||Stage-setting and scenery|||Architects|||Mielziner, Jo 1901-1976",,United States|||n-us---,,0823088235,00101808,ocm46668657,
9,9940315893406236,Trash: the graphic genius of Xploitation movie posters,,,"Boyreau, Jacques.",,San Francisco,Chronicle Books,c2002,2002,,,,monographic,eng,text,print,144 p. : ill. (chiefly col.) ; 31 cm.,,"""Trash rolls in the mud with graphic art of such questionable aesthetic quality and social worth that it practically redefines the poster as advertising medium. Chapters each define a key trash topic (Sex Trash, Action Trash, Horror Trash, Race Trash, Groovy Trash, and Docu Trash), collecting the funniest, most disturbing and desperate posters from each genre; and short introductions set the tone, offer eye-opening context, and then just get out of the way to let the posters themselves run riot on the page. Thrill to unfortunate star turns, towering tidal waves, armies of killer spiders, sex-starved zombies, and explosion after glorious explosion. Truly visionary in both content and approach, Trash is a feast for the eye and other visceral zones. Free your mind, and the trash will follow.""--BOOK JACKET.","Film posters, American|||Exploitation films",,n-us---,,0811834174,2001047317,ocm47767244,
10,9940645493406236,"trail of tears, The",,Trail of tears historic drama,,Theatre at Tsa=La=Gi,"Tahlequah, Okla",The Theatre at Tsa=La=Gi,1969-],1969/9999,,,,serial,eng,text,print,v. ; 21 x 28 cm.,Drama,,"Trail of Tears, 1838-1939|||Cherokee Indians|||Theater programs|||Hunter, Kermit|||Trail of tears",,Oklahoma|||North Carolina,,,,ocm39884905,
11,9940950993406236,Film posters of the 40s: the essential movies of the decade : from the reel poster gallery collection,,Film posters of the forties,,"Nourmand, Tony.|||Marsh, Graham.|||Reel Poster Gallery","Woodstock, N.Y",Overlook Press,c2002,2002,,,,monographic,eng,text,print,128 p. : chiefly col. ill. ; 31 cm.,Catalogs|||catalog,"""From the iconic Casablanca to Orson Welles's seminal Citizen Kane, from the optimistic It's a Wonderful Life to the exotic Thief of Baghdad, the films of the 1940s are now recognized as some of the greatest of all time. Just as the forties was the decade hailed nostalgically ever since as Hollywood's golden age, it also saw the emergence of a dark new undercurrent in pop culture - the sinister world of gumshoes, gangsters, double-crossing dames, and blind alleys that comprised film noir."" ""Long before the era of the television trailer and satellite media junket, studios lured audiences to theaters with graphically bold poster art, gorgeously illustrated by classically trained artists adept at capturing the nuances of Veronica Lake's seductive glance, Humphrey Bogart's world-weary eyes, Bette Davis's icy stare, and hundreds of other stars at their best and most glamorous. All of the era's legendary stars are included in this volume: Lauren Bacall, Robert Mitchum, Barbara Stanwyck, Rita Haworth, Cary Grant, Henry Fonda, Marlene Dietrich, and more. Film Posters of the 40s brings to life in lavish full-color an era in film history that will never be forgotten.""--BOOK JACKET.",Film posters,,,,1585673676,,ocm51515031,
12,9942778283406236,Nickelodeon Theater,,,,,,,,,,,,monographic,,still image,,,,,,,,,,,,
13,9942946553406236,"century of movie posters: from silent to art house, A",,,"King, Emily.",,"Hauppauge, NY]",Barron's,2003,,,,1st ed.,monographic,eng,text,print,224 p. : ill. (chiefly col.) ; 29 cm.,Pictorial works|||bibliography,"Film buffs, graphic designers, and art students will relish this beautifully produced and strikingly illustrated volume. Arranged in roughly chronological order, it brings together movie posters from around the world, starting with Charlie Chaplin film ads and the Russian Revolutionary movie posters of the 1910s, then spanning the century to show posters publicizing hits of the 1990s, including The Silence of the Lambs, Spike Lee films, and many more. The books sections focus on renowned individual designers, directors, movies, and genres. Important poster designers such as Saul Bass, Jan Lenica, and Juan Gatti receive particular attention, as do great directors who had strong opinions about how their films should be represented. Among the latter are Alfred Hitchcock, Jean-Luc Godard, and Otto Preminger. All major film genres are represented musicals, Kung Fu movies, films noir, westerns (including so-called spaghetti westerns filmed in Italy), science fiction classics, and others. Readers are treated to examples of movie posters not only from the United States, Britain, and France, but also to previously unpublished examples from countries as diverse as Poland, China, and Cuba. For instance, fans of Orson Welles might be surprised to see the previously unpublished Italian poster advertising Citizen Kane under its Italian title, Quarto Potere (The Fourth Estate). This handsome volume will be valued by graphic designers, poster collectors, and anyone sharing the popular passion for cinema.",Film posters,,,,0764155997 :,2003102236,ocm53177743,
14,9943023483406236,"New Leona Theatre in Homestead, The",,,,,,,,,,,,monographic,,still image,photograph,,,,,,,,,,,
15,9943023493406236,Old Drury Theatre,,,,,,,,,,,,monographic,,still image,photograph,,,,,,,,,,,
