,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
0,31735033433537,"Mary-Grow-Round,",,,1928-05,1928-05-01T00:00:00,May 1928,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 19",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
1,31735033434006,"In the Soup,",,,1935-05,1935-05-01T00:00:00,May 1935,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 26",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
2,31735033434014,"Out for the Count,",,,1936,1936-01-01T00:00:00,1936,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 27",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
3,31735033434048,"Manhattan Preferred,",,,1930-04,1930-04-01T00:00:00,April 1930,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 21",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
4,31735033434055,"Hello Again,",,,1934,1934-01-01T00:00:00,1934,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 25",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
5,31735033434063,"Yip-Yip,",,,1929-05,1929-05-01T00:00:00,May 1929,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 20",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
6,31735033434071,"The Red Moon,",,,1926-05,1926-05-01T00:00:00,May 1926,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 17",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
7,31735033434089,"Miss Mannequin,",,,1927,1927-01-01T00:00:00,1927,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 18",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
8,31735033434097,"All to the Point,",,,1933,1933-01-01T00:00:00,1933,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 24",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
9,31735033434113,"Castles in Spain,",,,1925-05,1925-05-01T00:00:00,May 1925,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 16",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
10,31735033434121,"What's Up,",,,1931-04,1931-04-01T00:00:00,April 1931,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 22",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
11,31735033434139,"The Silver Domino,",,,1932,1932-01-01T00:00:00,1932,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 1, Folder 23",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
12,31735033447156,"Mabel's Fable,",,,1947,1947-01-01T00:00:00,1947,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 2, Folder 9",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
13,31735033447198,"Kilroy is Here,",,,1946-12,1946-12-01T00:00:00,December 1946,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 2, Folder 8",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
14,31735033447230,"At Your Service,",,,1939,1939-01-01T00:00:00,1939,,text,,,archival document,,,,,Cap and Gown Club Records,,"Box 2, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.8|||collection.10
