,identifier,title,alternative_title,depositor,enumeration_chronology,bib_id,publisher,place_of_publication,publication_date,start_date,end_date,frequency,language,format,extent,genre,lc_subject_heading(s),copyright_status,copyright_holder,copyright_note,bibid,issn,lccn,oclcn
0,31735047439447,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 4, no. 4",861413,sandra gould ford,"pittsburgh, pa",1990-12-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
1,31735047439298,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 8, no.2",861413,sandra gould ford,"pittsburgh, pa",1995-06-01t00:00:00,1987,9999,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
2,31735047439405,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 5, no. 3",861413,sandra gould ford,"pittsburgh, pa",1991-09-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
3,31735047439496,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 1, no. 1",861413,sandra gould ford,"pittsburgh, pa",1987-03-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
4,31735047439363,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 5, no. 4",861413,sandra gould ford,"pittsburgh, pa",1991-12-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
5,31735047439314,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 6, no.3",861413,sandra gould ford,"pittsburgh, pa",1992-09-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
6,31735047439553,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 2, no.1",861413,sandra gould ford,"pittsburgh, pa",1988-03-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
7,31735047441138,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 8, no.4",861413,sandra gould ford,"pittsburgh, pa",1995-12-01t00:00:00,1987,9999,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
8,31735047439413,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 3, no. 2",861413,sandra gould ford,"pittsburgh, pa",1989-06-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
9,31735047439603,shooting star review; shoot. star. rev; shooting star,shooting star,university of pittsburgh,"vol. 1, no. 3",861413,sandra gould ford,"pittsburgh, pa",1987-09-01t00:00:00,,,quarterly,eng,print,,periodical,,copyrighted,sandra gould ford,permission granted by owner/publisher,861413,0892-1407,sn 87000149,
