id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,url,depositor,collection_id
31735047439256,Shooting star review,,Shooting star,"vol. 8, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439264,Shooting star review,,Shooting star,"vol. 7, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439272,Shooting star review,,Shooting star,"vol. 7, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439280,Shooting star review,,Shooting star,"vol. 7, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439298,Shooting star review,,Shooting star,"vol. 8, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439306,Shooting star review,,Shooting star,"vol. 7, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439314,Shooting star review,,Shooting star,"vol. 6, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439322,Shooting star review,,Shooting star,vol. 6 no. 2,,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439330,Shooting star review,,Shooting star,"vol. 8, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,1987,9999,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439348,Shooting star review,,Shooting star,"vol. 6, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439355,Shooting star review,,Shooting star,"vol. 6, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439363,Shooting star review,,Shooting star,"vol. 5, no. 4",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439371,Shooting star review,,Shooting star,"vol. 4, no.2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439389,Shooting star review,,Shooting star,"vol. 4, no.3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439397,Shooting star review,,Shooting star,"vol. 5, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439405,Shooting star review,,Shooting star,"vol. 5, no. 3",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439413,Shooting star review,,Shooting star,"vol. 3, no. 2",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439421,Shooting star review,,Shooting star,"vol. 3, no. 4 & vol. 4, no. 1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,"Issue published as a double issue containing volume 3, number 4 (Winter 1989) and volume 4, number 1 (Spring 1990).",,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
31735047439439,Shooting star review,,Shooting star,"vol. 5, no.1",,"Pittsburgh, PA",Sandra Gould Ford,,,,,continuing,Quarterly,English,text,print,,periodical,,,,,,,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,861413,0892-1407,sn 87000149,,,University of Pittsburgh,collection.299
