,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
0,532255,Caw,,,,,New York,Students for a Democratic Society.,,1968,1969,,serial,Bimonthly,eng,text,print,1 v. ill. 26-41 cm.,periodical,,,,,,,,0576-9698,,
1,6570774,Caw!: magazine of Students for a Democratic Society,,,,,"New York, N.Y",Students for a Democratic Society,1968 -1969,1968,1969,,serial,Frequency varies,eng,text,electronic|||electronic resource|||remote,1 online resource (4 v.) : ill. ; (26-41 cm.),Periodicals|||periodical,,Student movements,,,,,,,,
2,3979020,Free you,"Free you (Menlo Park, Calif.)|||Human Institute newsletter",,,,"Menlo Park, CA",Midpeninsula Free University,,196u,1971,,serial,Frequency varies|||Weekly,eng,text,print,v. : ill. ; 28 cm.,periodical,,,,,,,,0016-0490,,
3,548749,Free you,,,,,Minneapolis,Minnesota Free University,196-,196u,9999,,serial,Unknown,eng,text,microfilm,v. : ill.,newspaper,,Underground newspapers,,,,,,,,
4,534719,Henderson Station,,,,,"State College, Pa",State College Free Press.,,1971,9999,,serial,Unknown,eng,text,print,,periodical,,,,,,,,,,
5,549166,NUC newsletter,,,,,Chicago,The Conference.,,1968,9999,,serial,Monthly,eng,text,print,v. ill. 28 cm.,periodical,,Students|||Political activity|||Periodicals|||Student movements,,,,,,,,
6,551747,"Radical teacher, The","Radical teacher (Chicago, Ill.)",,,,"Chicago, Ill.]",New University Conference,,196u,9999,,serial,Completely irregular,eng,text,print,v. : ill. ; 28 cm.,periodical,,Teaching|||Periodicals|||Radicalism,,,,,,,,
7,528477,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969- 1969",1969,1969,,serial,Biweekly,eng,text,print,v. : ill. ; 45 cm.,periodical,,,,,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),0532-9299,,
8,8825616,(SDS) Fire,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0532-9299,,
9,549744,Fire!,"Fire (Chicago, Ill.)",SDS fire,,,"Chicago, Illinois",[Students for a Democratic Society],"Nov. 7, 1969-",1969,1969,,serial,Biweekly|||Unknown,eng,text,microfilm|||microform,v. : ill. ; 45 cm.,periodical,,Underground newspapers,,,,New left notes (Students for a Democratic Society : 1966) (OCoLC)7582787,New left notes (Students for a Democratic Society : 1970) (OCoLC),,,
10,549745,New left notes,New left notes (Students for a Democratic Society : 1970),SDS new left notes,,,"Boston, Mass",Students for a Democratic Society,1970-,1970,9999,,serial,Biweekly,eng,text,print,v. : ill. ; 45 cm.,periodical,,Underground press publications,,,,"Fire (Chicago, Ill.) (OCoLC)1775564",,,,
11,549120,New left notes,New left notes (Students for a Democratic Society : 1966),SDS new left notes,,,"Chicago, Illinois",Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly|||Unknown,eng,text,microfilm|||microform,: ill. ; 43 cm.,newspaper,,Underground newspapers,,,,,"Fire(Chicago,Ill.) (OCoLC)8089379",0548-5908,,
12,6570893,SDS new left notes,,New left notes|||S.D.S. new left notes,,,Chicago,Students for a Democratic Society,1966-1969,1966,1969,,serial,Weekly,eng,text,electronic|||electronic resource|||remote,1 online resource ([4] p. : ill. ; 43 cm.),periodical,,,,,,,,,,
13,526488,SDS new left notes,,New left notes,,,"Chicago, Illinois",Students for a Democratic Society.,,1966,19uu,,serial,Weekly,eng,text,print,v. ill. 43 cm.,newspaper,,,,,,,Fire (OCoLC)1775564,0548-5908,77009820,
14,8825618,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,0548-5908,,
15,8825617,(SDS) New Left Notes,,,,,S.l.],[s.n.],,uuuu,uuuu,,serial,,,text,electronic|||electronic resource|||remote,,,,,,,,,,,,
16,537667,SNCC newsletter,,Newsletter,,,"Atlanta, Ga",Student Nonviolent Coordinating Committee.,,1967,9999,,serial,Unknown,eng,text,print,,,,,,,,,,,,
17,9147738,"Water Tunnel, Vol. 1 no. 1, March 10, 1969",,,,,S.l.],State College Free Press,1969,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,
18,9147739,"Water Tunnel, Vol. 4 no. 3, October 26, 1970",,,,,S.l.],State College Free Press,1970,,,,monographic,,,text,electronic|||electronic resource|||remote,,government publication,,,,,,,,,,
