,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
0,4121190,Alternatives,"Alternatives (Pittsburgh, Pa.)",,,,"Pittsburgh, Pa",[s.n.],1968-1969,1968,1969,,serial,Completely irregular,eng,text,print,1 v. : ill.; 28 cm.,Periodicals|||newspaper,,University of Pittsburgh,,,,,,,,
1,530809,Health writes!,,,,,"Pittsburgh, Pa","Pgh. Chapter, Medical Committee for Human Rights.",,1972,9999,,serial,Unknown,eng,text,print,v. ill. 28 cm.,periodical,,Medical care|||Periodicals,,,,,,,,
2,550649,Issues in radical therapy (1982),"Issues in radical therapy (Springfield, Ill. : 1982)",IRT <1985->,,,"Springfield, Ill","Cooperative Power, Inc.]",1982-1988,1982,1988,,serial,Four no. a year|||Quarterly,eng,text,print,4 v. : ill. ; 28 cm.,periodical,,Social problems|||Periodicals|||Radicalism,,,,Issues in cooperation & power 0199-8242 (OCoLC)6189948|||State and mind 0161-1089 (DLC) 76647104 (OCoLC)2386065,New studies on the left (DLC)sn 90035002 (OCoLC)21076142,0886-0629,83001546,
3,983566,New studies on the left,,Studies on the left,,,"Boulder, CO",Saxifrage Publications Group,c1989-,1989,9999,,serial,Four no. a year|||Quarterly,eng,text,print,v. : ill. ; 28 cm.,periodical,,Social problems|||Periodicals|||Radicalism|||New left,,,,"Issues in radical therapy (Springfield, Ill. : 1982) 0886- 0629 (DLC)sc 83001546 (OCLC) 8711276",,0086-0629,90035002,
4,543035,Radical teacher (Cambridge),,,,,"Cambridge, MA","Boston Women's Teacher's Group, inc., etc.]",,1975,9999,,serial,"3 no. a year <, 1983->|||Quarterly, 1975-|||Three times a year",eng,text,print,v. ill. 28 cm.,periodical,,Teaching|||Periodicals|||Radicalism|||Study and teaching|||English philology,,,,,,0191-4847,79642767 //r83,
5,4187176,Radical teacher,"Radical teacher (Cambridge, Mass.)",,,,"Cambridge, MA",Radical Teacher,1975-,1975,9999,,serial,"Three issues per year, 1981-|||Quarterly, 1975-1980|||Three times a year",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Teaching|||Radicalism|||Study and teaching|||English philology|||Education,,,,,,1941-0832|||0191-4847,,
6,531989,"Radical therapist, The",,,,,"West Somerville, Mass. etc","Radical Therapist, inc.]",,19uu,1972,,serial,Unknown,eng,text,print,ill. 45 cm.,,,Social problems|||Periodicals|||Radical therapy|||Social psychology|||Mental health|||Socialism,,,,,Rough times,0033-7641,75647445,
7,542053,RT,,,,,"West Somerville, Mass",Radical Therapist.,,1970,9999,,serial,Unknown,eng,text,microfilm,,newspaper,,Underground newspapers,,United States Massachusettes West Somerville,,Radical therapist / rough times,,,,
8,531988,RT: a journal of radical therapy,,,,,"West Somerville, Mass","Radical Therapist, inc.]",,1974,1976,,serial,Unknown,eng,text,print,2 v. ill. 44 cm.,,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,,,Rough times,State and mind 0161-1089,0360-4713,75647444,
9,531987,Rough times,,,,,"West Somerville, Mass","Radical Therapist, inc.]",,1972,1974,,serial,Unknown,eng,text,print,ill. 44 cm.,,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,,,Radical therapist,RT; a journal of radical therapy,0360-4705,75647443,
10,539060,State and mind,,,,,"W. Somerville, Mass","RT, Inc.]",,1976,198u,,serial,Eight nos. a year|||Bimonthly,eng,text,print,v. ill. 44 cm.,periodical,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,,,"RT, a journal of radical therapy 0360-4713","Issues in cooperation & power 0199-8242 (OCoLC)6189948|||Issues in radical therapy (Springfield, Ill. : 1982) 0886-0629 (OCoLC)8711276",0161-1089,76647104,
