id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
4121190,Alternatives,"Alternatives (Pittsburgh, Pa.)",,,,"Pittsburgh, Pa",[s.n.],1968-1969,1968,1969,,serial,Completely irregular,English,text,print,1 v. : ill.; 28 cm.,Periodicals|||newspaper,,University of Pittsburgh,,,,,,,,,
530809,Health writes!,,,,,"Pittsburgh, Pa","Pgh. Chapter, Medical Committee for Human Rights.",,1972,9999,,serial,Unknown,English,text,print,v. ill. 28 cm.,periodical,,Medical care|||Periodicals,,"United States|||Pittsburgh, Pa",,,,,,,
550649,Issues in radical therapy,"Issues in radical therapy (Springfield, Ill. : 1982)",IRT <1985->,,,"Springfield, Ill","Cooperative Power, Inc.]",1982-1988,1982,1988,,serial,Four no. a year|||Quarterly,English,text,print,4 v. : ill. ; 28 cm.,periodical,,Social problems|||Periodicals|||Radicalism,,United States,,Issues in cooperation & power 0199-8242 (OCoLC)6189948|||State and mind 0161-1089 (DLC) 76647104 (OCoLC)2386065,New studies on the left (DLC)sn 90035002 (OCoLC)21076142,0886-0629,83001546,,
983566,New studies on the left,,Studies on the left,,,"Boulder, CO",Saxifrage Publications Group,c1989-,1989,9999,,serial,Four no. a year|||Quarterly,English,text,print,v. : ill. ; 28 cm.,periodical,,Social problems|||Periodicals|||Radicalism|||New left,,United States,,"Issues in radical therapy (Springfield, Ill. : 1982) 0886- 0629 (DLC)sc 83001546 (OCLC) 8711276",,0086-0629,90035002,,
543035,Radical teacher,,,,,"Cambridge, MA","Boston Women's Teacher's Group, inc., etc.]",,1975,9999,,serial,"3 no. a year <, 1983->|||Quarterly, 1975-|||Three times a year",English,text,print,v. ill. 28 cm.,periodical,,Teaching|||Periodicals|||Radicalism|||Study and teaching|||English philology,,,,,,0191-4847,79642767 //r83,,
4187176,Radical teacher,"Radical teacher (Cambridge, Mass.)",,,,"Cambridge, MA",Radical Teacher,1975-,1975,9999,,serial,"Three issues per year, 1981-|||Quarterly, 1975-1980|||Three times a year",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Teaching|||Radicalism|||Study and teaching|||English philology|||Education,,,,,,1941-0832|||0191-4847,,,http://pitt.idm.oclc.org/login?url=http://www.jstor.org/journal/radicalteacher|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/0JVP/AONE?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/0JVP/BIG?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=aph&jid=H0Q&scope=site|||http://pitt.idm.oclc.org/login?url=https://muse.jhu.edu/journal/414|||http://radicalteacher.library.pitt.edu|||http://radicalteacher.library.pitt.edu/ojs/index.php/radicalteacher/issue/archive
531989,"Radical therapist, The",,,,,"West Somerville, Mass. etc","Radical Therapist, inc.]",,19uu,1972,,serial,Unknown,English,text,print,ill. 45 cm.,,,Social problems|||Periodicals|||Radical therapy|||Social psychology|||Mental health|||Socialism,,United States,,,Rough times,0033-7641,75647445,,
542053,RT,,,,,"West Somerville, Mass",Radical Therapist.,,1970,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Massachusetts|||West Somerville|||United States, Massachusettes, West Somerville",,Radical therapist / rough times,,,,,
531988,RT: a journal of radical therapy,,,,,"West Somerville, Mass","Radical Therapist, inc.]",,1974,1976,,serial,Unknown,English,text,print,2 v. ill. 44 cm.,,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,United States,,Rough times,State and mind 0161-1089,0360-4713,75647444,,
531987,Rough times,,,,,"West Somerville, Mass","Radical Therapist, inc.]",,1972,1974,,serial,Unknown,English,text,print,ill. 44 cm.,,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,United States,,Radical therapist,RT; a journal of radical therapy,0360-4705,75647443,,
539060,State and mind,,,,,"W. Somerville, Mass","RT, Inc.]",,1976,198u,,serial,Eight nos. a year|||Bimonthly,English,text,print,v. ill. 44 cm.,periodical,,Social problems|||Periodicals|||Radicalism|||Social psychology|||Mental health|||Socialism,,United States,,"RT, a journal of radical therapy 0360-4713","Issues in cooperation & power 0199-8242 (OCoLC)6189948|||Issues in radical therapy (Springfield, Ill. : 1982) 0886-0629 (OCoLC)8711276",0161-1089,76647104,,
