,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
0,530820,Abortion research notes,,,,,"Silver Spring, Md",Transnational Family Research Institute.,,1972,9999,,serial,Three times a year,eng,text,print,,periodical,,,,,,,,0361-1116,sn 80011504,
1,549715,Ain't I a woman?,"Ain't I a woman? (Iowa City, Iowa)",,,,Iowa City,"Publications Collective, WLF",1970-,1970,9999,,serial,Second and fourth Fridays of each month|||Unknown,eng,text,microfilm|||microform,v. : ill. ; cm.,periodical,,Feminism|||Periodicals|||Lesbianism,,,,,,,,
2,540721,"Allegheny Feminist, The",,,,,Pittsburgh,Pittsburgh Feminist Network.,,1976,9999,,serial,Monthly,eng,text,print,v. ill. 28 cm.,periodical,,Feminism|||Periodicals|||Women,,,,,,,,
3,530925,Amazon,,,,,Milwaukee,Amazon Collective],,19uu,9999,,serial,Unknown,eng,text,print,v. ill. 22 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,,,
4,9263996,"Amazon: a feminist journal, The",,Amazon,,,[Milwaukee] :,"[Amazon Collective],",1971-,1971,uuuu,,serial,Unknown,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Women|||Feminism,,,,,,,,
5,519646,Aphra,,,,,New York [etc.],"APHRA, inc.",,1969,1976,,serial,Four no. a year|||Quarterly,eng,text,print,6 v. 22 cm.,periodical,,,,,,,,0003-6447,77015014,
6,8825894,Aphra,,Aphra : feminist literary magazine,,,[New York] :,[APHRA Inc.],1969-1976.,1969,1976,,serial,Four no. a year|||Quarterly,eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Feminism and literature|||Literature|||Women authors|||Feminism,,,,,,2381-0513|||0003-6447,,
7,533112,Bitch,,,,,Milwaukee?,s.n.],,19uu,9999,,serial,Unknown,eng,text,microfilm,v. ill.,,,Feminism|||Periodicals,,,,,,,,
8,9247878,Bitch,,,,,"Campbell, California :","[publisher not identified],",1986-,1986,uuuu,,serial,Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newpapers|||Newspapers|||newspaper|||text,,Gay liberation movement|||Feminism|||Lesbians,,,,,,,,
9,3610913,Bitch (San Franc. Calif.),"Bitch (San Francisco, Calif.)",,,,"San Francisco, CA",Bitch Publications,,1996,9999,,serial,Three times a year,eng,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,Feminism|||Popular culture,,,,,,1524-5314,sn 99007303,
10,4177408,Bitch (San Franc. Calif. : Online),"Bitch (San Francisco, Calif. Online)",,,,"San Francisco, CA",Bitch Publications,,1996,9999,,serial,Irregular|||Completely irregular,eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Periodicals|||periodical|||text,,Feminism|||Popular culture,,,,,,2162-5352|||1524-5314,,
11,593157,Black women oral history project,,,,,,,1977-1980,1977,1980,,monographic,,eng,text,print,2.7 ft. (2 boxes) : ill. ; 28 x 33 x 41 cm. + 1 guide (152 p. ; 28 cm.),Sources|||biography,,African American women|||History,,,,,,,,
12,1644454,Broomstick,,,,,"San Francisco, CA",San Francisco Women's Centers,,1978,9999,,serial,"Bimonthly, 1982-|||Monthly, 1978-1981|||Bimonthly",eng,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,Middle aged women|||Older women|||Feminism|||Periodicals,,,,,,0883-9611,86643602|||sn 84012335,
13,429822,Cassandra: radical feminist nurses newsletter,"Cassandra (Williamsville, N.Y.)",,,,"Williamsville, N.Y",Cassandra,[1982-,1982,9999,,serial,Unknown,eng,text,print,v. : ill. ; 28 cm.,periodical,,Nursing|||Social aspects|||Periodicals|||Feminism,,,,,,,87036322,
14,541314,Chrysalis (Los Angeles),,,,,Los Angeles,Chrysalis,c1977-,1977,1980,,serial,Quarterly,eng,text,print,no. ill. 28 cm.,periodical,,Women|||Periodicals|||Feminism|||Women's writing,,,,,,0197-1867|||0197-1859,79643087,
