id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
530820,Abortion research notes,,,,,"Silver Spring, Md",Transnational Family Research Institute.,,1972,9999,,serial,Three times a year,English,text,print,,periodical,,,,,,,,0361-1116,sn 80011504,,
549715,Ain't I a woman?,"Ain't I a woman? (Iowa City, Iowa)",,,,Iowa City,"Publications Collective, WLF",1970-,1970,9999,,serial,Second and fourth Fridays of each month|||Unknown,English,text,microfilm|||microform,v. : ill. ; cm.,periodical,,Feminism|||Periodicals|||Lesbianism,,,,,,,,,
540721,"Allegheny Feminist, The",,,,,Pittsburgh,Pittsburgh Feminist Network.,,1976,9999,,serial,Monthly,English,text,print,v. ill. 28 cm.,periodical,,Feminism|||Periodicals|||Women,,Pennsylvania|||Pittsburgh,,,,,,,
530925,Amazon,,,,,Milwaukee,Amazon Collective],,19uu,9999,,serial,Unknown,English,text,print,v. ill. 22 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,,,,
9263996,"Amazon, The",,Amazon,,,[Milwaukee] :,"[Amazon Collective],",1971-,1971,uuuu,,serial,Unknown,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Women|||Feminism,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9FCM/AHSI?sid=gale_marc&u=upitt_main
519646,Aphra,,,,,New York [etc.],"APHRA, inc.",,1969,1976,,serial,Four no. a year|||Quarterly,English,text,print,6 v. 22 cm.,periodical,,,,,,,,0003-6447,77015014,,
8825894,Aphra,,Aphra : feminist literary magazine,,,[New York] :,[APHRA Inc.],1969-1976.,1969,1976,,serial,Four no. a year|||Quarterly,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||periodical|||text,,Feminism and literature|||Literature|||Women authors|||Feminism,,,,,,2381-0513|||0003-6447,,,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEIBGHE
533112,Bitch,,,,,Milwaukee?,s.n.],,19uu,9999,,serial,Unknown,English,text,microfilm,v. ill.,,,Feminism|||Periodicals,,,,,,,,,
9247878,Bitch,,,,,"Campbell, California :","[publisher not identified],",1986-,1986,uuuu,,serial,Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newpapers|||Newspapers|||newspaper|||text,,Gay liberation movement|||Feminism|||Lesbians,,United States,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=1NEI&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main|||http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=3BPU&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
3610913,Bitch: feminist response to pop culture,"Bitch (San Francisco, Calif.)",,,,"San Francisco, CA",Bitch Publications,,1996,9999,,serial,Three times a year,English,text,print,v. : ill. ; 28 cm.,Periodicals|||periodical,,Feminism|||Popular culture,,United States,,,,1524-5314,sn 99007303,,
4177408,Bitch: feminist response to pop culture,"Bitch (San Francisco, Calif. Online)",,,,"San Francisco, CA",Bitch Publications,,1996,9999,,serial,Irregular|||Completely irregular,English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Periodicals|||periodical|||text,,Feminism|||Popular culture,,United States,,,,2162-5352|||1524-5314,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/26667
