id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
532510,"advocate, The","Advocate (Los Angeles, Calif.)","Advocate, the national gay lesbian newsmagazine",,,"Los Angeles, Calif",Liberation Publications.|||Here Publishing Inc.,,1970,2010,,serial,"Monthly, Feb. 2009-|||Biweekly, 1970-Jan. 13, 2009|||Monthly",English,text,print,v. : ill. ; 28-45 cm.,Online resources|||Periodicals|||periodical,,Homosexuality|||Gay liberation movement|||Homoseksualiteit,,United States,,Los Angeles advocate (DLC) 71220969 (OCoLC)2972005,,0001-8996,72624007|||sn 84012011,,http://bibpurl.oclc.org/web/626
532530,Agape And Action: -newsletter Of The Radical Christian Committee Of Concern,,,,,"Berkeley, Calif",,,,,,serial,Completely irregular,English,text,print,,,,,,,,,,,,,
547102,American man,,,,,"Columbia, Md",R. Haddad.,,1980,9999,,serial,Quarterly,English,text,print,v. ill. 22 cm.,periodical,,Men|||Periodicals|||Sex role,,,,,,0271-9487,sn 80012550,,
549414,Blueboy,,,,,"New York, N.Y","Blueboy, inc.",,19uu,9999,,serial,Monthly,English,text,print,v.,periodical,,,,,,,,0279-3733,sn 81002823,,
544788,Boston gay review,,,,,Boston,Boston Gay Review Collective.,,197u,9999,,serial,Unknown,English,text,print,v. ill. 34 cm.,periodical,,Homosexuality and literature|||History and criticism|||Periodicals|||Homosexuality in literature|||Homosexuality|||Poetry,,,,,,,,,
540013,Fag rag,,,,,"Boston, Mass",Fag Rag.,,197u,9999,,serial,Unknown,English,text,print,v. ill. 43x29 cm.,periodical,,Gay liberation movement|||Periodicals|||Homosexuality,,,,,,0046-3167,sn 84012251,,
9247172,Gay,,"Gay (New York, N.Y.)|||Gay (New York, New York)",,,New York :,"Four Swords, Incorporated,",1969-,1969,uuuu,,serial,"Monthly, July 1973-|||Biweekly, Dec. 1, 1969-Apr. 13, 1970|||Weekly, Apr. 20-Sept. 28, 1970|||Biweekly, Oct. 12, 1970-June 18, 1973|||Monthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Homosexuality|||Gays|||Gay men,,New York (N.Y.)|||United States|||New York County (N.Y.),,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=1NEM&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main|||http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QYU&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
9247403,Gay NYC,"Gay (New York, N.Y.)",Gay,,,New York :,"Four Swords, Incorporated,",1969-,1969,uuuu,,serial,"Monthly, July 1973-|||Biweekly, Dec. 1, 1969-Apr. 13, 1970|||Weekly, Apr. 20-Sept. 28, 1970|||Biweekly, Oct. 12, 1970-June 18, 1973|||Monthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Newspapers|||newspaper|||text,,Homosexuality|||Gays|||Gay men,,New York (N.Y.)|||United States|||New York County (N.Y.)|||New York,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9EYO&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
1696389,Gay community news,,GCN,,,Boston,"G.C.N., inc.]",,1973,9999,,serial,"Quarterly, 1994-|||Weekly (except the last week of Apr., Aug. and Dec.), 1973-1992|||Quarterly",English,text,print,v. ill. 43 cm.,periodical,,Homosexuality|||Periodicals|||Gay men|||Gay liberation movement,,United States,,Gay community newsletter,,0147-0728,sc 77001418,,
542801,Gay life,,,,,Pittsburgh,GNC.,,1977,1979,,serial,Monthly,English,text,print,30 no. ill. 22 cm.,periodical,,Homosexuality|||Periodicals|||Lesbianism|||Gay liberation movement,,Pennsylvania|||Pittsburgh,,Pittsburgh's gay life,Out (OCoLC)5737007,,,,
