id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
540651,"1984, Alternative news for Naptown",,,,,"Indianapolis, Ind",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Indiana|||United States, Indiana, Indianapolis|||Indianapolis",,,,,,,
542087,Abertura cultural,,,,,Rio de Janeiro,,,1uuu,9999,,serial,Unknown,Portuguese,text,microfilm,,newspaper,,Underground newspapers,,"Rio de Janeiro|||Brazil, Rio de Janeiro|||Brazil",,,,,,,
542050,Access,,,,,"Washington, D.C",,,1975,9999,,serial,bi-weekly.|||Biweekly,English,text,microfilm|||Microform,,newspaper,,Underground newspapers,,"Washington (D.C.)|||United States, Washington, D.C",,,,,,,
542104,All together,,,,,Chicago,,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Illinois|||United States, Illinois, Chicago|||Chicago",,,,,,,
540367,"Alternative, The",,,,,"Long Beach, Calif",,,,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"United States, California, Long Beach|||California|||Long Beach",,,,,,,
542770,Alternative journalism review,,,,,New York,,,1976,1976,,serial,Bimonthly,English,text,microfilm,reels.,newspaper,,Underground newspapers,,"United States, New York, New York (City)|||New York|||New York (State)",,Alternative press revue,Alternative media OCoLC 4176538,,,,
543493,Alternative media,,,,,"New York, N.Y",Alternative Press Syndicate,,1976,9999,,serial,Bimonthly,English,text,microfilm,ill. 35 mm.,newspaper,,Underground newspapers,,"United States, New York, New York (City)|||New York|||New York (State)",,Alternative journalism review OCoLC 3824136,,,,,
540366,Alternative news service,,,,,"Auckland, New Zealand",,,1971,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground press publications,,"Auckland|||New Zealand|||New Zealand, Auckland",,,,,,,
542052,Alternative newspaper,,,,,"Santa Barbara, Calif",,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Santa Barbara|||California|||United States, California, Santa Barbara",,,,,,,
542715,Alternative press digest,,,,,London,,,1974,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Great Britain, London|||England|||London",,,,,,,
542049,Alternative to alienation,,,,,Toronto,,,197u,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Toronto|||Canada, Toronto|||Ontario",,,,,,,
540363,Alternatives journal,,,,,"Los Angeles, Calif",Richard Fairfield.,,,9999,,serial,Biweekly,English,text,microfilm,illus.,newspaper,,Underground press publications,,"Los Angeles|||California|||United States, California, Los Angeles",,,,,,,
543355,Anarchist weekly freedom,,Freedom,,,London,Freedom Press.,,,9999,,serial,Weekly,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"Great Britain, London|||England|||London",,,,,,,
540217,Appleseed,,,,,New York,,,1971,9999,,serial,Unknown,English,text,microfilm,illus.,newspaper,,Underground newspapers,,"United States, New York, New York|||New York|||New York (State)",,Appleseed weekly bulletin,,,,,
