assignee,link,identifier,title,date_created,date_issued,type_of_resource,genre,genre 2,level_of_confidence,note,, 
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656561,31735061656561,"""Democracy Should Begin At Home""",,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659946,31735061659946,"""Delegate, Special Convention Communist Party, U.S.A., July 4-7, 1968""",,,text,cards (information artifacts),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075076,31735070075076,"Political action; Political action (Milwaukee, Wis.)",,4431,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482829,31735060482829,"Tenement Children Protest, New York City,",12476,,still image,photographs​,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151247,31735065151247,Mine-Mill union; Mine Mill union; Sindicato; Union,,20120,text,serials (publications),newspaper​s,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544221,31735061544221,"""What Are You Doing About Your Undeclared War?"" Flyer and Event Details,",23165,,text,​fliers,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482076,31735060482076,Student Peace Union Recruitment Brochure,,,text,leaflets (printed works),,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228051,31735066228051,"What is the New Deal?, by Earl Browder",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658872,31735061658872,"""The Real Huey P. Long"", By Sender Garlin,",12905,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482522,31735060482522,"Letter from Dr. Martin Luther King, Jr.,",24929,,text,correspondence,,3=high confidence,,,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228762,31735066228762,"""The Socialization of Money"", By E.F. Mylius",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228994,31735066228994,"Wrecking the Labor Banks, By William Z. Foster",,,text,pamphlets​,,3=high confidence,"batch description, checked to confirm many but not all",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451004,31735047451004,"""How UE Can Help You Win a More Secure Future!"" Pamphlet",,,text,leaflets (printed works),,3=high confidence,"incorrectly referred to as ""pamphlet"" in title",,
Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538504,31735061538504,"War and the 4th International,",12601,,text,pamphlets​,,3=high confidence,,,
