,assignee,link,genre_extended,genre_2_extended,level_of_confidence,identifier,title,creator,date_created,date_issued,depositor,box,folder,type_of_resource,genre
0,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061656561,leaflets (printed works),,3=high confidence,31735061656561,"""democracy should begin at home""",,,,university of pittsburgh,2.0,5.0,text,archival document
1,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061659946,cards (information artifacts),,3=high confidence,31735061659946,"""delegate, special convention communist party, u.s.a., july 4-7, 1968""",,,,university of pittsburgh,3.0,18.0,text,archival document
2,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735070075076,serials (publications),newspaper​s,3=high confidence,31735070075076,"political action; political action (milwaukee, wis.)",,,1912-02-17,university of pittsburgh,,,text,newspapers; newspapers.; newspaper
3,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482829,photographs​,,3=high confidence,31735060482829,"tenement children protest, new york city,",,1934-02-26,,university of pittsburgh,13.0,62.0,text,archival document
4,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735065151247,serials (publications),newspaper​s,3=high confidence,31735065151247,mine mill union; union; mine-mill union; sindicato,,,1955-01-31,university of pittsburgh,,,text,periodical; periodicals.; periodicals
5,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061544221,​fliers,,3=high confidence,31735061544221,"""what are you doing about your undeclared war?"" flyer and event details,",,1963-06-03,,university of pittsburgh,11.0,145.0,text,archival document
6,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482076,leaflets (printed works),,3=high confidence,31735060482076,student peace union recruitment brochure,,,,university of pittsburgh,12.0,21.0,text,archival document
7,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228051,pamphlets​,,3=high confidence,31735066228051,"what is the new deal?, by earl browder",,,,university of pittsburgh,2.0,131.0,text,archival document
8,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061658872,pamphlets​,,3=high confidence,31735061658872,"""the real huey p. long"", by sender garlin,",,1935-05,,university of pittsburgh,4.0,27.0,text,archival document
9,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735060482522,correspondence,,3=high confidence,31735060482522,"letter from dr. martin luther king, jr.,",,1968-04,,university of pittsburgh,1.0,21.0,text,archival document
10,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228762,pamphlets​,,3=high confidence,31735066228762,"""the socialization of money"", by e.f. mylius",,,,university of pittsburgh,8.0,62.0,text,archival document
11,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735066228994,pamphlets​,,3=high confidence,31735066228994,"wrecking the labor banks, by william z. foster",,,,university of pittsburgh,6.0,44.0,text,archival document
12,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735047451004,leaflets (printed works),,3=high confidence,31735047451004,"""how ue can help you win a more secure future!"" pamphlet",,,,university of pittsburgh,,103.0,text,archival document
13,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061538504,pamphlets​,,3=high confidence,31735061538504,"war and the 4th international,",,1934-07,,university of pittsburgh,11.0,100.0,text,archival document
14,Tyrica Terry Kapral,https://digital.library.pitt.edu/islandora/object/pitt:31735061543843,pamphlets​,,3=high confidence,31735061543843,"""capitalism, socialism, communism?- a debate""",,,,university of pittsburgh,10.0,96.0,text,archival document
