,term,count
0,the,988
1,union,654
2,by,502
3,of,469
4,and,316
5,for,238
6,sindicato,205
7,minemill,205
8,a,204
9,to,188
10,in,178
11,flyer,163
12,mill,157
13,action,156
14,political,149
15,mine,135
16,party,106
17,communist,101
18,peace,99
19,pamphlet,94
20,on,92
21,labor,74
22,denver,71
23,colo,71
24,war,69
25,wis,68
26,milwaukee,68
27,workers,58
28,new,56
29,american,56
30,socialist,55
31,william,50
32,people,49
33,no,48
34,is,45
35,socialism,45
36,national,44
37,what,44
38,america,44
39,from,42
40,out,42
41,negro,41
42,letter,40
43,with,40
44,foster,40
45,united,40
46,at,39
47,z,39
48,against,38
49,an,37
50,committee,37
51,program,35
52,world,33
53,democracy,33
54,you,31
55,how,30
56,fight,30
57,youth,30
58,it,30
59,student,30
60,states,30
61,rights,29
62,congress,29
63,your,28
64,international,27
65,we,27
66,ue,26
67,freedom,26
68,convention,25
69,about,25
70,vote,25
71,usa,25
72,history,25
73,women,24
74,vol,24
75,george,24
76,n,24
77,protest,24
78,booklet,24
79,peoples,23
80,soviet,23
81,communists,22
82,case,22
83,james,21
84,can,21
85,march,21
86,conference,21
87,v,20
88,struggle,20
89,hunk,20
90,day,20
91,herald,20
92,punchin,20
93,eugene,20
94,crisis,19
95,now,19
96,report,19
97,are,19
98,th,19
99,us,18
100,our,18
101,john,18
102,order,18
103,city,18
104,jobs,17
105,league,17
106,elizabeth,17
107,story,17
108,dennis,17
109,news,17
110,robert,17
111,washington,17
112,bill,17
113,black,17
114,its,16
115,platform,16
116,browder,16
117,young,16
118,stop,16
119,strike,16
120,earl,16
121,who,15
122,morris,15
123,years,15
124,la,15
125,statement,15
126,unity,15
127,act,15
128,state,15
129,or,14
130,constitution,14
131,smith,14
132,defense,14
133,bulletin,14
134,economic,14
135,york,14
136,free,14
137,americans,14
138,may,14
139,press,13
140,review,13
141,movement,13
142,hall,13
143,flynn,13
144,gurley,13
145,all,13
146,call,13
147,newsletter,13
148,danger,12
149,trial,12
150,front,12
151,question,12
152,truth,12
153,police,12
154,rally,12
155,policy,12
156,election,12
157,president,12
158,revolution,12
159,work,12
160,monthly,12
161,e,12
162,i,12
163,david,11
164,why,11
165,unemployment,11
166,students,11
167,unions,11
168,white,11
169,alternative,11
170,drum,11
171,assorted,11
172,unamerican,11
173,w,11
174,way,11
175,problems,11
176,flyers,10
177,photograph,10
178,one,10
179,school,10
180,communism,10
181,fascism,10
182,los,10
183,de,10
184,be,10
185,questions,10
186,progressive,10
187,trade,10
188,harry,10
189,angeles,10
190,facts,10
191,mccarthyism,10
192,security,10
193,campaign,10
194,today,10
195,support,10
196,vietnam,9
197,research,9
198,more,9
199,open,9
200,j,9
201,week,9
202,association,9
203,big,9
204,liberation,9
205,red,9
206,this,9
207,class,9
208,energy,9
209,revolutionary,9
210,civil,9
211,up,9
212,society,9
213,fighting,9
214,antiwar,9
215,discussion,9
216,public,9
217,victory,9
218,official,8
219,nuclear,8
220,pittsburgh,8
221,defend,8
222,general,8
223,three,8
224,do,8
225,sheet,8
226,safe,8
227,meeting,8
228,guide,8
229,working,8
230,candidate,8
231,walk,8
232,church,8
233,draft,8
234,elections,8
235,l,8
236,annual,8
237,jewish,8
238,north,8
239,weiss,8
240,council,8
241,demonstration,8
242,dont,8
243,law,8
244,activities,8
245,justice,8
246,gus,8
247,versus,7
248,make,7
249,davis,7
250,building,7
251,france,7
252,green,7
253,mccarran,7
254,which,7
255,howard,7
256,high,7
257,their,7
258,democratic,7
259,m,7
260,will,7
261,worker,7
262,organ,7
263,appeal,7
264,tom,7
265,education,7
266,look,7
267,two,7
268,leaflet,7
269,minor,7
270,as,7
271,road,7
272,rich,7
273,alexander,7
274,outlook,7
275,aid,7
276,steel,7
277,resolution,7
278,life,7
279,harrisburg,7
280,poverty,7
281,court,7
282,government,7
283,fraternal,7
284,keep,7
285,jackson,7
286,year,7
287,home,7
288,marxism,7
289,foreign,7
290,lc,7
291,toward,7
292,louis,7
293,aspects,7
294,el,7
295,max,7
296,joseph,7
297,capitalism,6
298,answered,6
299,control,6
300,end,6
301,future,6
302,demands,6
303,louise,6
304,library,6
305,behind,6
306,second,6
307,win,6
308,mail,6
309,ross,6
310,menace,6
311,plan,6
312,industrial,6
313,let,6
314,need,6
315,miners,6
316,right,6
317,albert,6
318,has,6
319,southern,6
320,challenge,6
