id,title,creator,creation_date,genre,abstract,event_type,geographic coverage --- LCNAF,latitude (ISO 6709),longitude (ISO 6709),note
2000.07.001,Stop The Frame-Up Mass Meeting announcement,"Local 325, Canning and Pickle Workers Union",1937/1938,leaflet,"Announcement of a meeting to discuss an alleged frame-up of Local 325, Canning and Pickle Workers Union, by the H.J. Heinz Company.",political,"6 Allegheny Square E, Pittsburgh, PA 15212 ||| http://id.loc.gov/authorities/names/no2016013235",40.453121,-80.004768,now the New Hazlett Theater
2000.07.003,Worker Delegates from Soviet Russia Mass Meeting announcement,Friends of the Soviet Union,1935,flier,Announcement of a meeting featuring a delegation of U.S. workers who spent a month in Russia.,political,"6 Allegheny Square E, Pittsburgh, PA 15212 ||| http://id.loc.gov/authorities/names/no2016013235",40.453121,-80.004768,now the New Hazlett Theater
2000.07.004,Hugo Oehler speech announcement,unknown,1933,flier,"Announcement of an anti-fascism speech by Hugo Oehler, National Lecturer, Communist League of America.",political,"1835 Centre Ave, Pittsburgh, PA 15219 ||| http://id.loc.gov/authorities/names/no2018124623",40.443110,-79.981500,now the James F. Henry Hill House Center
2000.07.005,Labor Poets Will Speak Pro-Spain announcement,Labor Non-Partisan League,1937,flier,Announcement for a program of anti-Fascism speeches.,political,"211 Smithfield St, Pittsburgh, PA 15222",40.438050,-80.000170,"opened in 1918 as a Republican club, now home to businesses"
2000.07.007,Communist Mass Election Rally announcement,Communist Party Election Campaign Committee,1934,flier,Announcement of a rally for workers featuring Communist candidate speakers.,political,"1800 Fifth Ave, Pittsburgh, PA 15219",40.438251,-79.981277,"once the Fifth Avenue High School,school auditorium no longer stands"
2000.07.008,Sentenced to Health movie advertisement,Friends of the Soviet Union,1935,flier,"Announcement for a screening of the Soviet comedy ""Sentenced to Health"" and news reels from a delegation's visit to the Soviet Union.",social,"4400 Forbes Ave, Pittsburgh, PA 15213",40.443932,-79.950317,attached to Carnegie Public Library of Oakland
2000.07.009,Russian-American Relations -- A Public Forum announcement,Friends of the Soviet Union,1935,flier,Announcement of a public forum to discuss Russian-American relations. Speakers include Myra Page.,political,"4400 Forbes Ave, Pittsburgh, PA 15213",40.443932,-79.950317,attached to Carnegie Public Library of Oakland
2000.07.010,Corliss Lamont Lecture announcement,Friends of the Soviet Union,1934,flier,"Announcement of a lecture by Corliss Lamont, former professor of philosophy at Columbia University, titled ""On Understanding Soviet Russia.""",political,"4400 Forbes Ave, Pittsburgh, PA 15213",40.443932,-79.950317,attached to Carnegie Public Library of Oakland
2000.07.011,Workers Bookstore and School Concert and Dance announcement,Workers School,1934,flier,Announcement for a Labor Day concert and dance sponsored by the Workers School.,social,"422 Foreland St, Pittsburgh, PA 15212",40.454430,-80.001110,later became the James St Gastropub & Speakeasy
2000.07.012,Flaherty Brothers lecture announcement,Pittsburgh Friends of the Abraham Lincoln Brigade,1937,flier,"Announcement promoting a lecture by the Flaherty Brothers, who returned from Spain after six months of fighting against fascism.",political,"6 Allegheny Square E, Pittsburgh, PA 15212 ||| http://id.loc.gov/authorities/names/no2016013235",40.453121,-80.004768,now the New Hazlett Theater
