id,title,latitude,longitude,address,precision
2000.07.001,Stop The Frame-Up Mass Meeting announcement,40.4530444,-80.0072609,6 Allegheny Square E,
2000.07.003,Worker Delegates from Soviet Russia Mass Meeting announcement,40.4530444,-80.0072609,6 Allegheny Square E,
2000.07.004,Hugo Oehler speech announcement,40.4432057,-79.983835,1839 Centre Ave,
2000.07.005,Labor Poets Will Speak Pro-Spain announcement,40.4380495,-80.0023339,211 Smithfield St,
31735061659458,Southside Election Rally,40.3917645,-80.0240089,722 Fordham Ave,"1 mile radius, original address no longer exists"
2000.07.009,Russian-American Relations -- A Public Forum announcement,40.4433333,-79.9532998,4400 Forbes Ave,
2000.07.010,Corliss Lamont Lecture announcement,40.4433333,-79.9532998,4400 Forbes Ave,
2000.07.011,Workers Bookstore and School Concert and Dance announcement,40.4543862,-80.0030794,805 James St,
2000.07.012,Flaherty Brothers lecture announcement,40.4530444,-80.0072609,6 Allegheny Square E,
2000.07.013,Art Cinema program announcement,40.4429995,-80.0008505,809 Liberty Ave,
2000.07.014,Spain in Arms lecture announcement,40.4433931,-80.0025241,100 Seventh Ave,
2000.07.017,History of the Struggle against Trotskyism forum advertisement,40.4415346,-79.9968145,648 Grant St,
2000.07.018,Story of the Militant Labor Movement lecture series announcement,40.4415346,-79.9968145,648 Grant St,
2000.07.020,Peace Day rally announcement,40.4031143,-79.863931,809 Braddock Ave,"This is a radio show, address indicates office location"
2000.07.021,"Boycott Bulletin, Pittsburgh Joint Boycott Council",40.4388993,-80.0019109,345 Fourth Ave,
2000.07.023,Welcome the Youth Congress Pilgrims Cabaret and Floor Show announcement,40.4429857,-80.0047604,136 Sixth St,
2000.07.029,Election Returns Party at the Workers School announcement,40.4415346,-79.9968145,648 Grant St,
2000.07.030,Come to the Veterans' Mass Memorial announcement,40.4380777,-79.9830302,1800 Fifth Ave,
2000.07.031,Huge Anti-Nazi Protest Meeting announcement,40.4454493,-79.9528483,315 S Bellefield Ave,
2000.07.032,Special Notice: letter from City Committee Pittsburgh CP,40.4453761,-79.9779947,2203 Centre Ave,
2000.07.033,Protest Against Pilsudsky Terror and Organized Pogroms announcement,40.4366963,-79.9469441,4100 Forbes Ave,
2000.07.035,Welcome Mother Bloor Dance announcement,40.4415346,-79.9968145,648 Grant St,
2000.07.038,Protest Against Hunger Parade announcement,40.4380777,-79.9830302,1800 Fifth Ave,
