,term,count
0,the,46
1,announcement,25
2,of,18
3,to,15
4,and,14
5,workers,11
6,in,11
7,a,10
8,school,7
9,communist,7
10,against,7
11,for,7
12,pittsburgh,7
13,from,5
14,are,5
15,new,5
16,advertisement,5
17,meeting,5
18,protest,5
19,labor,5
20,mass,5
21,forbes,4
22,call,4
23,lecture,4
24,about,3
25,news,3
26,spain,3
27,negro,3
28,our,3
29,truth,3
30,collection,3
31,stop,3
32,day,3
33,theatre,3
34,who,3
35,peace,3
36,congress,3
37,boycott,3
38,th,3
39,dance,3
40,vote,3
41,veterans,3
42,public,3
43,action,3
44,unemployment,3
45,welcome,3
46,on,3
47,why,3
48,shall,2
49,forum,2
50,leaflet,2
51,they,2
52,lenin,2
53,organized,2
54,up,2
55,not,2
56,die,2
57,youth,2
58,demand,2
59,letter,2
60,at,2
61,election,2
62,be,2
63,book,2
64,fifth,2
65,by,2
66,women,2
67,committee,2
68,column,2
69,hitler,2
70,city,2
71,we,2
72,rally,2
73,insurance,2
74,night,2
75,union,2
76,exposed,2
77,is,2
78,may,2
79,steel,2
80,defense,2
81,come,2
82,ae,2
83,terror,2
84,builder,2
85,will,2
86,worker,2
87,speech,2
88,courses,2
89,soviet,2
90,white,2
91,national,2
92,america,2
93,russia,2
94,program,2
95,war,2
96,its,1
97,tasks,1
98,us,1
99,lamont,1
100,marx,1
101,corliss,1
102,exhibit,1
103,concert,1
104,bookstore,1
105,street,1
106,special,1
107,houses,1
108,notice,1
109,show,1
110,floor,1
111,cp,1
112,pilsudsky,1
113,cabaret,1
114,pilgrims,1
115,pogroms,1
116,wives,1
117,mothers,1
118,sizes,1
119,childrens,1
120,liberation,1
121,people,1
122,wall,1
123,dont,1
124,mercy,1
125,sucker,1
126,returns,1
127,lift,1
128,army,1
129,party,1
130,beat,1
131,year,1
132,essay,1
133,japanese,1
134,runaway,1
135,contest,1
136,rights,1
137,history,1
138,civil,1
139,if,1
140,struggle,1
141,embargo,1
142,spanish,1
143,republic,1
144,organize,1
145,wheels,1
146,need,1
147,oakland,1
148,hitlerism,1
149,room,1
150,no,1
151,wise,1
152,where,1
153,sovietfinnish,1
154,order,1
155,tube,1
156,international,1
157,next,1
158,strike,1
159,nationality,1
160,law,1
161,minimum,1
162,angelo,1
163,americansim,1
164,selling,1
165,asia,1
166,battlefields,1
167,message,1
168,s,1
169,session,1
170,d,1
171,family,1
172,boys,1
173,scottsboro,1
174,greets,1
175,conspirators,1
176,employers,1
177,writes,1
178,own,1
179,threatens,1
180,socialist,1
181,frankfeld,1
182,rents,1
183,frameup,1
184,roast,1
185,weiner,1
186,outing,1
187,river,1
188,phil,1
189,construction,1
190,falling,1
191,down,1
192,imprisonment,1
193,literature,1
194,ussr,1
195,world,1
196,mother,1
197,unfair,1
198,wage,1
199,stores,1
200,immediate,1
201,their,1
202,every,1
203,should,1
204,mooney,1
205,tom,1
206,discrimination,1
207,papers,1
208,hearing,1
209,parade,1
210,gas,1
211,hunger,1
212,minors,1
213,going,1
214,masks,1
215,release,1
216,death,1
217,crimes,1
218,plan,1
219,jewelry,1
220,co,1
221,herndon,1
222,kappel,1
223,j,1
224,wm,1
225,commissary,1
226,united,1
227,again,1
228,condemned,1
229,living,1
230,state,1
231,demonstration,1
232,front,1
233,bloor,1
234,celebrate,1
235,government,1
236,father,1
237,your,1
238,reprint,1
239,article,1
240,parrot,1
241,nazi,1
242,as,1
243,cox,1
244,hit,1
245,answered,1
246,coughlin,1
247,newsletter,1
248,circulation,1
249,winner,1
250,prize,1
251,dead,1
252,bury,1
253,questions,1
254,friends,1
255,expense,1
256,bankers,1
257,madrid,1
258,fascist,1
259,drives,1
260,republican,1
261,top,1
262,over,1
263,political,1
264,promises,1
265,story,1
266,his,1
267,keeps,1
268,james,1
269,gov,1
270,series,1
271,movement,1
272,militant,1
273,presents,1
274,cinema,1
275,art,1
276,poets,1
277,pettis,1
278,ashely,1
279,picnic,1
280,oehler,1
281,hugo,1
282,prospain,1
283,speak,1
284,masses,1
285,brothers,1
286,security,1
287,west,1
288,marchers,1
289,job,1
290,reception,1
291,mayor,1
292,estimate,1
293,music,1
294,huge,1
295,antinazi,1
296,memorial,1
297,flaherty,1
298,trial,1
299,spy,1
300,trotskybukharin,1
301,victims,1
302,facts,1
303,what,1
304,changesbut,1
305,make,1
306,nazis,1
307,wind,1
308,with,1
309,gone,1
310,collar,1
311,cio,1
312,century,1
313,americanism,1
314,anniversary,1
315,time,1
316,communism,1
317,hand,1
318,outstretched,1
319,accept,1
320,catholic,1
321,victories,1
322,has,1
323,mill,1
324,helping,1
325,needed,1
326,real,1
327,racket,1
328,company,1
329,fascism,1
330,prevent,1
331,can,1
332,working,1
333,class,1
334,leaders,1
335,framed,1
336,relief,1
337,winter,1
338,washington,1
339,men,1
340,railroad,1
341,cole,1
342,eugene,1
343,relations,1
344,russianamerican,1
345,movie,1
346,health,1
347,sentenced,1
348,bosses,1
349,aluminum,1
350,coal,1
351,mussolini,1
352,guilty,1
353,russian,1
354,hatchet,1
355,layoffs,1
356,council,1
357,joint,1
358,bulletin,1
359,arms,1
360,transcript,1
361,man,1
362,hitlers,1
363,you,1
364,fools,1
365,april,1
366,rule,1
367,years,1
368,hail,1
369,commemorate,1
370,revolution,1
371,act,1
372,now,1
373,conference,1
374,social,1
375,delegates,1
376,leninism,1
377,foundations,1
378,statement,1
379,platform,1
380,strikes,1
381,term,1
382,summer,1
383,magil,1
384,ab,1
385,fight,1
386,patriots,1
387,settlement,1
388,kaufmann,1
389,irene,1
390,trotskyism,1
