id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
9917908143406236,"Markhams method or epitome: wherein [is] shewed his approved remedies for all diseases whatsoever incident to horses, and they are almost 300 all cured with twelve medicines onely, not of twelve pence cost, and to be got commonly everywhere : also for curing of all oxen, kine, bulls, calves, sheep, lambs, goats, swine, dogs ... and other creatures serviceable for the use of man",,,"Markham, Gervase, 1568?-1637",,London,"Printed by Ja. Cottrel for John Harrison, and are to be sold at his shop ...",1650,1984,,,The seventh edition /,monographic,English,text,microfilm|||microform|||microfilm reel,"[8], 88 p. : ill.",,,Veterinary medicine|||Early works to 1800|||Horses|||Diseases,,,,,,13419804,
9917923043406236,"universal body of physick: in five books : comprehending the several treatises of nature, of diseases and their causes, of symptomes, of the preservation of health, and of cures, The",Institutiones medicae. English,,"Rivière, Lazare, 1589-1655","Carr, William.",London,Printed for Henry Eversden ...,1657,1980,,,,monographic,English|||Latin,text,microfilm|||microform|||microfilm reel,"[18], 417, [5] p.",,,Physiology|||Early works to 1800|||Medicine,,,,,,13657323,
9917576193406236,"Orders, thought meete by Her Maiestie, and her Priuie Councell, to be executed throughout the counties of this realme, in such townes, uillages, and other places, as are, or may be hereafter infected with the plague, for the stay of further increase of the same: also, An aduise set downe vpon Her Maiesties expresse commaundement, by the best learned in physicke within this realme, contayning sundry good rules and easie medicines, without charge to the meaner sort of people, as well for the preseruation of her good subiects from the plague before infection, as for the curing and ordring of them after they shalbe infected",,Advise set downe upon Her Maiesties expresse commandement,,"England and Wales, Sovereign (1558-1603 : Elizabeth I)|||England and Wales, Privy Council.",London,"By Christopher Barker ..., [1578?]",1578,1983,,,,monographic,English,text,microfilm|||microform|||microfilm reel,[26] p.,,,Plague|||Prevention|||Medicine|||Early works to 1800,,England,,,,22354456,
999734283406236,"Conspectvs medicinae theoretico-practicae: tabvlis cxxxviii omnes primarios morbos methodo Stahliana tractandos, exhibens, tertia vice editvs, correctvs et avctvs, cvm indice satis locvplete et paraefatione excell. Stahlii, ... / avctore D. Ioanne Ivnckero",,,"Juncker, Johann, 1679-1759","Stahl, Georg Ernst, 1660-1734",Hall,"Impensis Orphanotrophei, 1734.",1734,1734,,,,monographic,Latin,text,print,"1032, [132] p. ; 22 cm.",,,Medicine|||History|||Pathology|||Early works to 1800,18th century,,,,,07966015,
9934254273406236,Opera omnia in compendium redacta / Michaelis Ettmulleri,,,"Ettmüller, Michael, 1644-1683",,Venice,"Gabrielem Hertz, 1727.",1727,1727,,,Editio novissima.,monographic,Latin,text,print,"xvi, 454 p.; 25 cm.",,,Medicine|||Early works to 1800,,,,,,06693796,
9918870543406236,Osualdi Crolli Veterani Hassi Basilica chymica: philosophicam propriâ laborum experientiâ confirmatum descriptionem et usum remediorum chymicorum selectissimorum é lumine gratiæ et naturæ desumptorum : in fine libri additus est autoris ejusdem Tractatus nouus de signaturis rerum internis,,"Basilica chymica|||Tractatvs de signaturis internis rerum, seu, De vera et viva anatomia majoris & minoris mundi|||De vera et viva anatomia majoris & minoris mundi","Croll, Oswald, 1580-1609","Hartmann, Johann, 1568-1631|||Bollinger, Ulrich, fl. 1609",Frankfurt,Impensis Godefirdi Tampachii,1609,1608,,,,monographic,Latin,text,microform|||microopaque,"[16], 283, [25], 80, [8], 20 p. : ill. ; 24 cm.",bibliography,,Pharmacy|||Early works to 1800|||Therapeutics|||Signatures (Medicine),,,,,,08732288,
9917692833406236,"Coral and steel, a most compendious method of preserving and restoring health, or, A rational discourse grounded upon experience: practically shewing how most diseases may be both prevented and cured, either solely or chiefly by two common medicaments, viz. red coral and steel",,,"R. B., M. D",,London,"Printed for the authour, and are to be sold by Simon Miller ...",1700,1962,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[18], 116, [2] p.",,,"Medicine|||Formulae, receipts, prescriptions|||Early works to 1800",,,,,,11892722,
9917779343406236,"appendix to The unlearned alchimist: wherein is contained the true receipt of that excellent diaphoretick and diuretick pill, purging by sweat and urine, commonly known by the name of Matthew's pill : with the exact manner of preparing and making of it, and the particular nature and virtue of the several ingredients, as also of the pill, An",,,"Kendall, George, 1610-1663","Mathews, Richard, d. 1661",London,Printed for Joseph Leigh and are to be sold by him ... and are to be sold by the author ...,1664,1664,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[8], 54 p.",,,"Medicine|||Formulae, receipts, prescriptions|||Alchemy|||Early works to 1800",,,,,,12327950,
9917848043406236,"warming-stone, first found out by Sir Richard Carew, Baronet: who was himself cured of several distempers by it and by the use thereof cured many thousands in the west, and since experienced thirty and five years for the cure of all colds, fluxes, collicks, aches ... and to restore natural heat in aged and weak persons ... : formerly sold by John Bartlet, bookseller, and now onely to be had at the shop of Thomas Rooks, The",,The warming stone,"Carew, Richard, Sir, -1643?",,London,Printed for Thomas Rooks ...,1670,1670,,,,monographic,English,text,microfilm|||microform|||microfilm reel,16 p.,,,Traditional medicine|||Early works to 1800,,England,,,,12744605,
9917637763406236,"Every man his own doctor: in two parts, shewing I. how every one may know his own constitution by certain signs, also the nature and faculties of all food as well as meats as drinks ... : the second part shews the full knowledge and cure of the pox, running of the reins, gout, dropsie, scurvy, consumptions and obstructions, agues",,,"Archer, John, fl. 1660-1684",,London,Printed by Peter Lillicrap for the author,1671,1671,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[4], 150 p.",,,Medicine|||Early works to 1800,,,,,,10066026,
9917938003406236,"country-man's companion, or, A new method of ordering horses & sheep so as to preserve them both from diseases and causalties [sic], or to recover them if fallen ill: and also to render them much more serviceable, The",,The country-man's companion|||The country man's companion|||A new method of ordering horses and sheep,"Tryon, Thomas, 1634-1703",,London,Printed and sold by Andrew Sowle ...,1688,1688,,,,monographic,English,text,microfilm|||microform|||microfilm reel,"[8], 173, [3] p.",,,Veterinary medicine|||Early works to 1800|||Horses|||Diseases|||Sheep,,,,,,14560811,
9935304803406236,"British jewel, or, Complete housewife's best companion: and, A choice variety of useful family recipes ... ; also, The complete farrier ... to which is added The royal gardener, or monthly calendar, The",,Complete housewife's companion|||Complete farrier|||Royal gardener,,,London,T. Sabine,177-?,177u,,,,monographic,English,text,print,136 p. : ill. ; 20 cm.,Early works to 1800,,"Cooking, British|||Medicine, Popular|||Self-care, Health|||Home economics|||Cooking|||Self Care|||Self Medication|||Economics",,,,,,ocm34163679,
