id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
99261213406236,George Mercer papers relating to the Ohio Company of Virginia,,,"Mulkearn, Lois","Mercer, George.|||Mulkearn, Lois (compiler)|||Darlington Memorial Library",Pittsburgh],University of Pittsburgh Press,1954,,,,,monographic,English,text,print|||unmediated|||volume,"xxxviii, 731 pages, 6 unnumbered leaves of plates (2 folded) : facsimiles, maps ; 24 cm",Early works|||Early works to 1800|||Facsimiles|||History|||Sources|||bibliography|||text,,"Manuscripts, English|||History|||Ohio Company (1747-1779)|||Darlington Memorial Library.",18th century,United States,,,53005387,ocm00479029|||479029,
998458513406236,"Fountains fragments, The",,,,"Bent, Margaret.|||Hewitt, Leslie.|||British Museum, Additional 40011B.|||British Museum, Additional 62132A.","Clarabricken, Kilkenny, Ireland",Boethius Press,c1987,1987,,,,monographic,Latin,notated music,print,"x, [28] p. : facsims. ; 35 cm.",,,Gregorian chants|||Music|||Manuscripts|||Facsimiles,15th century,England,,0863140181,,16828451,
99267053406236,"Canterbury tales: a facsimile and transcription of the Hengwrt manuscript with variants from the Ellesmere manuscript, The",Hengwrt manuscript,,"Chaucer, Geoffrey, -1400","Ruggiers, Paul G.",Norman,University of Oklahoma Press,c1979,1979,,,1st ed.,monographic,English,text,print,"liii, 1024 p. : facsims. ; 30 cm.",bibliography,,"Manuscripts|||Facsimiles|||Manuscripts, English|||Chaucer, Geoffrey -1400",14th century,England,,0806114169 :,77018611,04505073,
998463213406236,"First and second Dalhousie manuscripts: poems and prose, The",,,,"Sullivan, Ernest W.",Columbia,University of Missouri Press,1988,,,,Facsim. ed.,monographic,English,text,print,"x, 230 p. : facsims. ; 31 cm.",bibliography|||government publication,,"Manuscripts|||Facsimiles|||English literature|||Manuscripts, English|||Donne, John 1572-1631|||British Library. Lansdowne 740|||Trinity College (Dublin, Ireland). Library. 877",17th century,England,,082620662X (alk. paper),87019126,16356148,
991009383406236,"Winchester anthology: a facsimile of British Library Additional manuscript 60577 : with an introduction and list of contents, The",,,,"Wilson, Edward.|||Fenlon, Iain.|||British Library, Additional 60577.","Cambridge [Eng.]|||Totowa, N.J",D. S. Brewer|||Biblio Distribution Services [distributor in the USA],1981,,,,,monographic,French|||Latin|||English,text,print,"[x], 47 p., 225 leaves, VIII leaves of plates : facsims. ; 25 cm.",Facsimiles|||bibliography,,Literature|||Manuscripts|||Facsimiles,15th century|||16th century,England,,0859910830,,08269193,
9981160133406236,Toledot Yeshu =: The life story of Jesus,Toledot Yeshu. 2014|||Toledot Yeshu. English,Life story of Jesus,"Meerson, Michael, 1973-|||Schäfer, Peter, 1943-","Meerson, Michael, 1973- (translator)|||Schäfer, Peter, 1943- (translator)",Tübingen :,"Mohr Siebeck,",[2014],2014,,2014.0,,monographic,Hebrew|||judeo-persian|||judeo-arabic|||aramaic|||yiddish|||ladino,text,print|||unmediated|||volume,"2 volumes (x, 405; 311 pages) : facsimiles ; 24 cm.",Biography|||Controversial literature|||Early works to 1800|||bibliography|||text,,"Jewish interpretations|||Criticism, Textual|||Christianity|||History and criticism|||Manuscripts, Hebrew|||Manuscripts, Aramaic|||Jesus Christ|||Toledot Yeshu",11th century|||12th century|||13th century|||14th century|||15th century|||16th century|||17th century,Israel|||Egypt,,9783161534812|||3161534816,,ocn900284764|||900284764,
991222483406236,"Manuscript Tanner 346: a facsimile : Bodleian Library, Oxford University",,,,"Bodleian Library, Tanner 346.|||Chaucer, Geoffrey, -1400","Norman, Okla",Pilgrim Books,c1980,1980,,,,monographic,English,text,print,ca. 300 p. ; 28 cm.,bibliography,,"Manuscripts|||Facsimiles|||English poetry|||Manuscripts, English (Middle)|||Chaucer, Geoffrey -1400",15th century,England,,0937664502 :,81001364,07328695,
9981197783406236,"Klosterreform und Buchkunst: die Handschriften des Mettener Abtes Peter I. : München, Bayerische Staatsbibliothek, Clm 8201 und Clm 8201d",,Handschriften des Mettener Abtes Peter I,"Suckale, Robert",,Petersberg :,"Michael Imhof Verlag,",[2012],2012,,2012.0,,monographic,Latin|||German,text,print|||unmediated|||volume,"239 pages, 175 pages of plates : illustrations (chiefly color), facsimiles (chiefly color) ; 33 cm",bibliography|||still image|||text,"Diese Monografie stellt zwei der bedeutendsten bayerischen Handschriften aus den Jahren 1414/15 vor. Diese Zeit war allseits von Reformbemühungen geprägt. Die beiden Codices werden einem Mettener Abt verdankt, dem es gegen widrige wirtschaftliche und monastische Verhältnisse gelang, sein Kloster zu sanieren, zu reformieren und zuletzt reich zu schmücken. Er versuchte dabei, an die glorreiche Zeit des Benediktinerordens im Hochmittelalter anzuknüpfen. Er lie⁷ die Regel des Ordensvaters abschreiben und mit Bildern aus dessen Leben illustrieren. Au⁷erdem erhielt der grö⁷ere der beiden Bände einen goldenen Buchdeckel nach Art eines Codex Aureus, unter Verwendung älterer Teile. Das Innere dieses Bandes jedoch enthält vor allem theologische und moralische Lehrtexte, z. T. mit Bilddiagrammen illustriert, die einen au⁷ergewöhnlichen Einblick in das Bildungsprogramm junger Mönche und die Formung ihres Denkens geben.","Illumination of books and manuscripts, German|||Illumination of books and manuscripts, Medieval|||Buchmalerei|||Bayerische Staatsbibliothek. Clm 8201.|||Benediktinerabtei Metten.",15th century,Germany,,9783865687234|||3865687237,2012489670,ocn775066011,http://deposit.d-nb.de/cgi-bin/dokserv?id=3938195&prov=M&dok_var=1&dok_ext=htm|||http://bvbr.bib-bvb.de:8991/F?func=serviceetdoc_library=BVB01etdoc_number=024655501etline_number=0001etfunc_code=DB_RECORDSetservice_type=MEDIA|||http://deposit.d-nb.de/cgi-bin/dokserv?id=3938195etprov=Metdok_var=1etdok_ext=htm|||http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=024655501&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA
991279393406236,"two Winchester Bibles, The",,,"Oakeshott, Walter, 1903-1987",,Oxford|||New York,Clarendon Press|||Oxford University Press,1981,,,,,monographic,Latin,text,print,"xii, 149 p., [11] leaves of plates : ill., facsims. (12 col.) ; 50 cm.",bibliography,,"Illustrations|||Illumination of books and manuscripts, Romanesque|||Illumination of books and manuscripts, English|||Bodleian Library. Auct. E. Infra 1 & 2|||Winchester Bible",12th century,England,,019818235X :,80040068,07616730,
9981340913406236,"Ferrell-Vogüé Machaut manuscript, The",Works,,"Guillaume, de Machaut, approximately 1300-1377","Earp, Lawrence Marshburn (writer of supplementary textual content)|||Leo, Domenic (writer of supplementary textual content)|||Shapreau, Carla J. (writer of supplementary textual content)|||De Hamel, Christopher, 1950- (writer of introduction)|||Parker Library (Corpus Christi College)",Oxford :,"DIAMM Publications,",[2014],2014,,2014.0,,monographic,French,text,print|||unmediated|||volume,"2 volumes : illustrations (some color), facsimiles, music ; 34 cm.",Facsimiles|||Illustrations|||Manuscripts|||bibliography|||notated music|||text,"Full facsimile reproduction of a medieval French manuscript (MS Vg), containing the literary and musical works of Guillaume de Machaut; originally owned by Jean, duke of Berry, now in the collection of James E. and Elizabeth J. Ferrell (currently on loan to the Parker Library, Corpus Christi College, Cambridge, England).","Art collections|||Manuscripts, French|||Illumination of books and manuscripts, Medieval|||Music|||Narrative poetry, French|||Love poetry, French|||de Machaut Guillaume approximately 1300-1377|||Ferrell, James E|||Ferrell, Elizabeth J|||Ferrell-Vogüé Machaut manuscript",14th century,France,,9781907647055|||1907647058,,ocn904163782|||904163782,
