id,image_id,image_app_id,user_id,lat,long,heading,pitch,zoom,date
132,715.120336_16.CP,216,10,40.44320554,-79.95359749,0.618181818,8.281818182,2,11/2/10 7:08
133,715.101565.CP,143,10,40.4443878,-79.94865249,-3.554545455,4.763636364,2,11/2/10 7:31
134,715.113042_3.CP,200,10,40.45491265,-79.94516893,267.5090909,-3.090909091,1,11/2/10 7:35
135,715.119351_10.CP,419,20,40.4587989,-79.9231077,\N,\N,\N,11/2/10 14:39
136,715.08930.CP,393,20,40.4542525,-79.9335579,\N,\N,\N,11/2/10 14:39
137,715.3526748.CP,290,27,40.4423361,-79.95209153,9.781818182,4.6,1,11/2/10 14:43
138,715.112073_5.CP,184,23,40.44400404,-79.95074998,\N,\N,\N,11/2/10 14:45
139,715.112073_5.CP,184,23,40.44400404,-79.95074998,\N,\N,\N,11/2/10 14:45
140,715.077745.CP,101,22,40.44400404,-79.95074998,\N,\N,\N,11/2/10 14:45
141,715.077745.CP,101,22,40.43909256,-79.94799267,\N,\N,\N,11/2/10 14:45
142,715.3012095.CP,269,25,40.4472258,-79.9453764,\N,\N,\N,11/2/10 14:45
143,715.112237_12.CP,192,17,40.45189,-79.952022,\N,\N,\N,11/2/10 14:46
144,715.3951425.CP,313,27,40.44704138,-79.94851838,-43.07272727,4.436363636,1,11/2/10 14:48
145,715.117812.CP,203,27,40.44020493,-79.94755323,-90.03636364,-13.72727273,1,11/2/10 14:51
146,715.117812.CP,203,27,40.4369468,-79.9444526,\N,\N,\N,11/2/10 14:52
147,715.3422035.CP,432,18,40.458485,-79.92251,\N,\N,\N,11/2/10 14:53
148,715.07584.CP,381,18,40.450556,-79.936266,\N,\N,\N,11/2/10 14:53
149,715.L7.CP,355,10,40.43981094,-79.94714017,6.018181818,8.2,1,11/3/10 0:39
150,715.3526748.CP,290,10,40.4423361,-79.95209153,\N,\N,\N,11/3/10 0:58
151,715.07635.CP,90,10,40.44036061,-79.9655736,-11.98181818,1.818181818,1,11/3/10 13:16
152,715.122700A.CP,420,10,40.45359304,-79.9373818,-198.0363636,4.927272727,1,11/3/10 13:55
153,715.3733162.CP,299,10,40.43763273,-79.93423875,2.745454545,9.836363636,1,11/3/10 13:57
154,715.122700A.CP,420,10,40.45403389,-79.93748909,-201.2079917,6.35463,1.975528258,11/5/10 17:41
155,715.119330_15.CP,207,10,40.44219474,-79.95312603,311.5272727,9.672727273,1,11/5/10 19:57
156,715.091272.CP,134,10,40.44020219,-79.95884325,135.1272727,9.509090909,1,11/5/10 21:41
157,715.091273.CP,135,10,40.438819,-79.957119,135.1272727,1.818181818,1,11/5/10 21:44
158,715.07635.CP,90,10,40.43587789,-79.97265493,9.781818182,9.672727273,1,11/5/10 21:50
159,715.274617.CP,253,35,40.44356485,-79.96223755,65.58181818,11.96363636,1,11/8/10 14:43
160,715.08981.CP,397,35,40.458102,-79.927775,76.38181818,-9.145454545,1,11/8/10 14:44
161,715.3736474.CP,304,35,40.446812,-79.95044,-78.09090909,27.34545455,1,11/8/10 14:45
162,715.3951690.CP,315,36,40.444077,-79.955306,\N,\N,\N,11/8/10 20:02
163,715.091421.CP,403,10,40.454024,-79.937475,151.4909091,7.054545455,1,11/9/10 4:38
164,715.091420.CP,402,10,40.45403389,-79.93821865,158.8545455,6.727272727,1,11/9/10 4:39
165,715.3950554.CP,433,10,40.460678,-79.932402,337.0545455,-5.381818182,1,11/9/10 4:41
166,715.081140.CP,104,10,40.445687,-79.948843,-9.690909091,-0.309090909,1,11/9/10 4:44
167,715.113042_3.CP,200,35,40.454874,-79.945126,275.0363636,-11.10909091,1,11/9/10 14:37
168,715.4572568D.CP,329,37,40.446053,-79.961263,\N,\N,\N,11/9/10 14:40
169,715.3732312.CP,297,37,40.442817,-79.951861,\N,\N,\N,11/9/10 14:41
170,715.4777371.CP,334,37,40.44351413,-79.95482694,\N,\N,\N,11/9/10 14:41
171,715.5185024.CP,336,35,40.44444,-79.948673,178.3272727,-2.272727273,1,11/9/10 14:41
172,715.091328.CP,140,37,40.444445,-79.948575,\N,\N,\N,11/9/10 14:41
173,715.285834.CP,259,35,40.456732,-79.947532,186.6727273,6.236363636,1,11/9/10 14:43
174,715.274620.CP,255,35,40.44374803,-79.96228447,\N,\N,\N,11/9/10 14:43
175,715.2910584.CP,428,39,40.455965,-79.938392,215.3090909,4.763636364,1,11/9/10 16:43
176,715.091209.CP,125,39,40.4388,-79.957097,138.4,-1.618181818,1,11/9/10 16:52
177,715.091497.CP,407,39,40.453388,-79.929341,242.8,0.509090909,1,11/9/10 16:56
178,715.08984.CP,400,39,40.453416,-79.931778,65.09090909,7.709090909,1,11/9/10 17:00
179,715.3420788.CP,284,39,40.4499,-79.950429,-95.57442187,6.148133428,1.04,11/9/10 17:27
180,715.3627857.CP,291,39,40.451873,-79.952076,60.79236431,7.449935186,0.67,11/9/10 17:30
181,715.12I.CP,225,37,40.432727,-79.95848,-224.2181818,22.92727273,1,11/9/10 17:38
182,715.286774.CP,265,38,40.443905,-79.950763,340.8181818,-4.890909091,1,11/9/10 18:09
183,715.2080.CP,234,38,40.441941,-79.956447,236.2545455,-3.909090909,1,11/9/10 18:12
184,715.62111975_2.CP,346,38,40.438841,-79.946515,-174.9636364,-3.336363636,2,11/9/10 18:13
185,715.3951700.CP,319,38,40.445699,-79.953041,-114.4181818,9.018181818,1,11/9/10 18:15
186,715.091270.CP,132,38,40.446919,-79.949011,184.5454545,0.836363636,1,11/9/10 18:16
187,715.101739.CP,152,38,40.441631,-79.956866,-128.1636364,4.436363636,1,11/9/10 18:17
188,715.08930.CP,393,39,40.458295,-79.927453,\N,\N,\N,11/9/10 18:40
189,715.112030.CP,172,39,40.431163,-79.95916,41.52122959,-4.402975157,1.34,11/9/10 18:45
190,715.05727.CP,71,39,40.438903,-79.950345,-52.52492431,-10.20094289,1.34,11/9/10 20:29
191,715.08701.CP,116,27,40.43665283,-79.94732793,-105.5818182,-16.01818182,1,11/9/10 21:47
192,715.08699.CP,114,27,40.440356,-79.948623,30.89090909,-19.12727273,1,11/9/10 21:48
193,715.091228.CP,129,27,40.434463,-79.952219,3.359090909,5.5,3,11/9/10 21:50
194,715.077742.CP,98,27,40.440177,-79.947411,\N,\N,\N,11/9/10 21:50
195,715.08683.CP,113,10,40.437925,-79.958881,-404.2181818,2.472727273,1,11/10/10 6:11
196,715.081141.CP,105,10,40.446321,-79.948913,-5.109090909,7.545454545,1,11/10/10 6:13
197,715.081139.CP,103,10,40.445191,-79.94878,-9.2,9.836363636,1,11/10/10 6:17
198,715.119284_13.CP,204,10,40.460615,-79.925793,-495.5272727,1.163636364,1,11/10/10 6:23
199,715.07508.CP,380,10,40.455654,-79.93843,157.5454545,-3.418181818,1,11/10/10 6:28
200,715.08981.CP,397,10,40.458036,-79.927886,69.59090909,3.945454545,2,11/10/10 6:32
201,715.101743.CP,415,10,40.450669,-79.92711,65.41818182,-8,1,11/10/10 6:33
203,715.111859_1.CP,161,39,40.436569,-79.969199,248.0799113,-3.990520275,1.34,11/10/10 15:23
204,715.07502.CP,379,42,40.45429,-79.93348,-107.5984643,-12.12859845,1,11/10/10 17:43
205,715.120336_16.CP,216,42,40.443048,-79.953502,0.946164717,-4.069914128,2,11/10/10 17:44
206,715.119284_13.CP,204,42,40.460615,-79.925793,-135.5312568,1.234585214,1,11/10/10 17:44
207,715.101583.CP,145,42,40.43708,-79.954972,-43.02051575,-16.02695842,1,11/10/10 17:47
208,715.4059504.CP,325,42,40.442848,-79.961912,-93.94850947,13.01920944,1.66,11/10/10 17:49
209,715.3733153.CP,298,42,40.439556,-79.946847,-131.4927526,-34.51846963,0.01,11/10/10 17:52
210,715.69121071.CP,349,42,40.452292,-79.950753,5.2779878,-4.360216846,1.99,11/10/10 17:56
