RecordID,DateAdded,DateChanged,Author,Title,CopyrightDate,Barcode,Classification,MainEntry,Custom1,Custom2,Custom3,Custom4,Custom5,ImportErrors,ValidationErrors,TagNumber,Ind1,Ind2,ControlData,Sort,LDR,001,005,006,008,007,010,012,016,019,020,022,030,928,015,029,099,037,041,110,092,247,440,090,246,533,032,212,852,035,100,264,752,250,265,710,760,040,785,840,042,043,504,570,772,049,336,505,510,050,337,546,630,082,338,506,700,130,210,490,583,222,535,538,610,730,245,787,260,611,936,515,648,300,588,310,530,590,321,550,775,890,362,500,653,651,948,525,580,830,555,650,853,655,863,740,770,776,777,780,850,856,891,994
"350","6/12/2019 12:45:45 PM","12/18/2018 8:28:53 AM","","Ann Arbor argus","1969","","","","","","","","","MARC record length is not numeric or incorrect number of characters.","","856","4","0","","","02342cas a2200493 a 4500","9040515","20181218082853.0","m        d        ","750727d19691971miuer nes     0   a0eng c","cr  n         ","","","","","","","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssj0000909478","","","$aUnited States$bMichigan$cWashtenaw$dAnn Arbor.","","","","","$aMUL$beng$cMUL$dMSJ$dKFS$dMHN$dOCL$dNYS$dOCLCQ$dOCLCO$dOCLCF$dCOO$dCUS$dIUL$dOCL$dOCLCQ$dWaSeSS","","","","$an-us-mi","","","","","$atext$btxt$2rdacontent","","","","$aunmediated$bn$2rdamedia","","","","$avolume$bnc$2rdacarrier","","","$aAnn Arbor argus (1969)","","","","","","","","","$aAnn Arbor argus$h[electronic resource].","","$aAnn Arbor, Mich. :$bKen Kelley, David Baker,$c1969-","","","","","","$aLatest issue consulted: Issue 40 (June 1971); Independent Voices (viewed October 5, 2017).","$aBiweekly","","","","","","","$aVol. 1, no. 1 (January 24-February 7, 1969)-$aCeased in 1971?","$aPublished by: Ann Arbor Argus Newspaper, Dec. 4, 1969-$a""Ann Arbor's Revolutionary Community Bi-weekly.""$aTitle from cover.","","$aAnn Arbor (Mich.)$xIn popular culture$vNewspapers.$aWashtenaw County (Mich.)$vNewspapers.$aMichigan$zAnn Arbor.$0(OCoLC)fst01204587$aMichigan$zWashtenaw County.$0(OCoLC)fst01214739$aUnited States.$0(OCoLC)fst01204155","","$aSpecial repression issue, Mar. 13-27, 1969.$aSpecial people's peace treaty conference, supplement, Feb. 5-7, 1971.","","","","$aSubculture$zMichigan$zAnn Arbor$vNewspapers.$aUnderground press publications$zUnited States$vNewspapers.$aSubculture.$0(OCoLC)fst01136426$aUnderground press publications.$0(OCoLC)fst01160984$aCounter culture$zMichigan$zAnn Arbor$vNewspapers.","","$aNewspapers.$0(OCoLC)fst01423814$aStudent protest literature$vNewspapers.","","","","$iOnline version:$tAnn Arbor argus (1969)$w(DLC)sn 97063326$w(OCoLC)875198240$iMicrofilm version:$tAnn Arbor argus$w(OCoLC)48844398","","","","$zPitt users please click through to access via Independent Voices: 1969 to 06/30/1971$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEIBCAC","",""
"351","6/12/2019 12:45:45 PM","5/22/1999 10:04:22 PM","","Berkeley barb.","","","","","","","","","","","","852"," "," ","","","00906cas a2200301   4500","520164","19990522220422.0","","750807d19651980caubr1pe      0uuua0eng d","","$asn 78001858 ","$k1$l1$md","","","","$a0005-9161","","","","","","","","","","","","","","","$a051160$bUSPS","","$aPIT$bPITT$y1969-1975,1978-1979$aPIT$bPITX$v3-$y1967-","$a(OCoLC)01519563$a0103812$bMULS$a  Ulp   No.  1313400009$aPITT NO.  1169700004$a02479500$bUCU$9ACS1004C1","","","","","","","","$aMUL$cMUL$dUCU$dCOO$dNSD$dMUL$dNSD","","","$ansdp","","","","","","","","","","","","","","","","","","","","","$aBerkeley barb","","","","","$aBerkeley barb.","","$a[Berkeley, Calif.,$bInternational News Keyus]","","","","","","","$aBiweekly,$b<,Apr. 10-23, 1980->","","","$aWeekly,$b1980-$aBiweekly,$b1978-$aWeekly,$b1965-1978","","","","$a1-   1965-$aSuspended publication as of the July 4, 1980, issue.","","","","","","","","","","","","","","","","","","","","",""
"352","6/12/2019 12:45:45 PM","5/13/2019 11:01:31 AM","","Berkeley barb","1965","","","","","","","","","","","856","4","0","","","02667cas a22005537i 4500","8826051","20190513110131.0","m        d        ","120419d19651980cauer p s     0   a0eng  ","cr  n         ","","","","","","$y0005-9161","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssj0000801232","","$aBerkeley, CA :$bMax Scherr,$c1965-1980.$3<1976-> :$aBerkeley, California :$bInternational News Keyus","","","","","","$aUKAMD$beng$erda$epn$cUKAMD$dOCLCF$dOCLCO$dOCL$dCUS$dDLC$dAU@$dWaSeSS","","","","$an-us-ca$an-us---","","","","","$atext$btxt$2rdacontent","","","$aAP2$bB4563","$acomputer$bc$2rdamedia","","","$a306.105$223","$aonline resource$bcr$2rdacarrier","","$aScherr, Max.$eEditor.","","","","","$aBerkeley barb$b(Online)","","","$aUniversity of California, Berkeley$vNewspapers.$aUniversity of California, Berkeley.$0(OCoLC)fst00532074","","$aBerkeley barb$h[electronic resource].","$iSome issues included as part of:$tRock and roll, counterculture, peace and protest: : popular culture in Britain and America, 1950-1975","","","","","","","$aDescription based on print.$aLatest issue consulted: Vol. 30, no. 19, issue 730 (April 24-May 7, 1980)(revealdigital.com viewed Sept. 24, 2015).","$aBiweekly,$bOct. 12, 1978-July 3, 1980","","","$aWeekly,$bAug. 13, 1965-Sept. 29, 1978","","","","$aBegan with: Vol. 1, no. 1 (Aug. 13, 1965); ceased with: Vol. 30, no. 24 (July 3, 1980).","$aEditor and publisher, Max Scherr.","","$aUnited States$xPolitics and government$vNewspapers.$aCalifornia$zBerkeley.$0(OCoLC)fst01205020$aUnited States.$0(OCoLC)fst01204155","","","","","","$aUnderground press publications$zCalifornia$zBerkeley.$aStudent movements$zCalifornia$zBerkeley$vNewspapers.$aCounterculture$zCalifornia$zBerkeley$vNewspapers.$aPolitical activists$zCalifornia$zBerkeley$vNewspapers.$aCounterculture.$0(OCoLC)fst00881315$aPolitical activists.$0(OCoLC)fst01069192$aPolitics and government$0(OCoLC)fst01919741$aStudent movements.$0(OCoLC)fst01135954$aUnderground press publications.$0(OCoLC)fst01160984","","$aElectronic journals.$aNewspapers.","","","","$iPrint version:$tBerkeley barb$x0005-9161$w(DLC)   72008026$w(OCoLC)1519563","","","","$zPitt users please click through to access via Independent Voices: 08/13/1965 to 07/03/1980$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGD","",""
"353","6/12/2019 12:45:45 PM","5/22/1999 10:04:22 PM","","Berkeley tribe.","","","","","","","","","","","","852"," "," ","","","00563cas a2200205   4500","520166","19990522220422.0","","750807u19691972cauwr n       0uuu 0eng d","","","","","","","$a0005-9188","","","","","","","","","","","","","","","","","$aPIT$bPITX$y1970-","$a(OCoLC)01519569$a0103903$bMULS$a  PITT  NO.  1170900003$a02495904$bUCU$9ACS1006C1","","","","","","$aRed Mountain tribe.","","$aMUL$cMUL$dUCU$dOCL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aBerkeley tribe.","","$aBerkeley, California.","","","","","","","","","","","","","","$a1-   1969-$aCeased publication May, 1972.$zNew serial titles.","","","","","","","","","","","","","","","","","","","","",""
"354","6/12/2019 12:45:45 PM","5/13/2019 11:01:34 AM","","Berkeley tribe","1969","","","","","","","","","","","856","4","0","","","02791cas a22006017i 4500","8826053","20190513110134.0","m        d        ","120419d19691972cauer n s     0   a0eng  ","cr  n         ","","","","","","$y0005-9188","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssj0000801233","","$a[Berkeley, CA] :$b[Red Mountain Tribe],$c[1969-1972].","","","","$aRed Mountain Tribe.","","$aUKAMD$beng$erda$cUKAMD$dOCLCF$dOCLCO$dOCL$dCUS$dDLC$dOCL$dAU@$dWaSeSS","","","","$an-us-ca$an-us---$aa-vt---","","","","","$atext$btxt$2rdacontent","","","$aAP2","$acomputer$bc$2rdamedia","","","$a306.105$223","$aonline resource$bcr$2rdacarrier","","","","","","","$aBerkeley tribe$b(Online)","","","","","$aBerkeley tribe$h[electronic resource].","$iSome issues included as part of:$tRock and roll, counterculture, peace and protest: : popular culture in Britain and America, 1950-1975","","$aVietnam War (1961-1975)$0(OCoLC)fst01431664","","$aSpecial last issue, May, 1972.","$a1961-1975","","$aDescription based on print.$aLatest issue consulted: May 1972 (revealdigital.com viewed Oct. 2, 2015).","$aBiweekly,$bFeb. 3, 1972-","","","$aWeekly,$bJuly 10, 1969-Jan. 28, 1972","","","","$aBegan with: Vol. 1, no. 2 (July 10-24, 1969); Ceased in May, 1972.","$aMasthead ornament: Eagle and snake entwined.$a""Published by the staff of the former Barb""","","$aUnited States$xPolitics and government$vNewspapers.$aCalifornia$zBerkeley.$0(OCoLC)fst01205020$aUnited States.$0(OCoLC)fst01204155","","","","","","$aUnderground press publications$zCalifornia$zBerkeley.$aStudent movements$zCalifornia$zBerkeley$vNewspapers.$aVietnam War, 1961-1975$xProtest movements$zCalifornia$zBerkeley$vNewspapers.$aCounterculture$zCalifornia$zBerkeley$vNewspapers.$aPolitical activists$zCalifornia$zBerkeley$vNewspapers.$aCounterculture.$0(OCoLC)fst00881315$aPolitical activists.$0(OCoLC)fst01069192$aPolitics and government$0(OCoLC)fst01919741$aProtest movements.$0(OCoLC)fst01079826$aStudent movements.$0(OCoLC)fst01135954$aUnderground press publications.$0(OCoLC)fst01160984","","$aNewspapers.","","","$tTelly gazette$dOct. 10-16, 1969.","$iPrint version:$tBerkeley tribe$x0005-9188$w(DLC)sn 87060230$w(OCoLC)1519569","","$tBarb on strike","","$zPitt users please click through to access via Independent Voices: 07/10/1969 to 05/31/1972$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGJ","",""
"355","6/12/2019 12:45:45 PM","7/13/2001 11:15:27 AM","","Bilalian news.","","","","","","","","","","","","852"," "," ","","","00938cas a2200313   4500","541008","20010713111527.0","","770518d19751981iluwr1pe      0uuua0eng d","","$asn 78004682 ","$i8608$k1$m1","","","","$a0161-8644","","","","","","","","","","","","","","","$a890300$bUSPS","","$aPIT$bPITX$y1976-1980","$a(OCoLC)02975269$a1817692$bMULS$9ACU9150C1","","","","","$aBilalian News, Inc., 7801 S. Cottage Grove Ave., Chicago, IL 60619","","","$aCWR$cCWR$dNSD$dMUL$dNSD$dOCL$dIUL$dNST","$tWorld Muslim news$x0744-0014$w(OCoLC)7966890","","$ansdp","","","","","","","","","","","","","","","","","","","","","$aBilalian news","","","","","$aBilalian news.","","$aChicago,$bBilalian News, inc.","","","","","$a6 v.$bill.$c39 cm.","","$aWeekly","","","","","","","$av. 1-6; Nov. 14, 1975-Oct. 30, 1981.","","","","","","","","","$aBlack Muslims$xPeriodicals.$aAfrican American newspapers.","","","","","","","","$tMuhammad speaks$w(OCoLC)1758821","","","",""
"356","6/12/2019 12:45:45 PM","5/22/1999 10:04:22 PM","","The Black panther.","","","","","","","","","","","","852"," "," ","","","01053cas a2200325   4500","533127","19990522220422.0","","760620d19671980cauwr1p       0uuua0eng d","","$a   74008013 $zsn 78005677 ","$a3$b0","","$a1536538","","$a0523-7238","","","","","","","","","","","","","","","$a108830$bUSPS","","$aPIT$bPITX$v2-20$y1968-1980","$a(OCoLC)02258393$aPITT  NO.  1265100004$a02806804:02807307$bUCU$aAK$bUCU$a0113272$bMULS$9ACT9669C1","","","","","","$aBlack Panther Party.$bMinistry of Information.","","$aPIT$cPIT$dUCU$dNSD$dUCU$dIUL$dDLC$dOCL$dNST$dOCL","","","$alc$ansdp","$an-us---","","","","","","","","$aAP2$b.B612","","","","$a323.2/0973","","","","","","","","$aThe Black panther","","","","","$aThe Black panther.","","$a[Oakland, Calif., etc.]$bBlack Panther Party, Ministry of Information.","","","","","$av.$bill. (part col.)$c45 cm.","","","$aAvailable on microfilm from University Microfilms.","","","","","","$av. 1-20, no. 9; 1967-Sept. 1980.","$a""Black community news service.""","","","","","","","","","","","","","","","","","","","",""
"357","6/12/2019 12:45:45 PM","9/3/2012 8:08:50 PM","","The black panther.","","","","","","","","","","","","856","4","0","","","01693cas a22003733i 4500","6091580","20120903200850.0","m||||||||d||||||||","760620u2008    vau|||||s|||||||||||eng|d","cr||n ---||a|a","$a   74008013 $zsn 78005677 ","","","","","","","","","","","","","","","","","","","$aElectronic reproduction.$bAlexandria, VA :$cAlexander Street Press,$d2006.$f(Black thought and culture).$nAvailable via World Wide Web.","$a108830$bUSPS","","","$a(VaAlASP)ASPS000017785/bltc$a6091580","","","","","","$aBlack Panther Party.$b Ministry of Information.","","$aPPiU$cPPiU$dCU-UC$dNSDP$dCU-UC$dInU$dDLC$dOCoLC$dNST$dOCoLC$dNST$dOCoLC$dN$dCU-Riv$dOCoLC$dN$dDLC$dVaAlASP$dUtOrBLW","","","","$an-us-ca","","","","","","","","$aAP2$b.B612","","","","$a323.2/0973","","","$aHillard, David.","","","","","","","","$aBlack Panther Party$vNewspapers.","","$aThe black panther.","","$aOakland, Calif. :$bBlack Panther Party, Ministry of Information.","","","","","$av. :$bill. (some col.) ;$c45 cm.","","","","","","","","","$av. 1 no 1 (Jan. 1967)- ","$aThe Alexander Street Press database, Black thought and culture, includes 452 issues of this newspaper.  For article level access please search the database.","","$aOakland (Calif.)$vNewspapers.$aAlameda County (Calif.)$vNewspapers.","","","","$aBlack thought and culture.","","$aAfrican Americans$zCalifornia$vNewspapers.$aUnderground press publications$zCalifornia.","","","","","","$cOriginal$w(DLC)   74008013 ","","","","$uhttp://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?BLTC;S17112$zPitt users please click through to access via Alexander Street Press.","",""
"358","6/12/2019 12:45:45 PM","11/6/2001 3:00:20 AM","","The Black panther","1967","","","","","","","","","","","852"," "," ","","","01052cas a2200301   4500","550016","20011106030020.0","","820401d19671980ohuuu n a     0uuua0eng d","","","","","","","$a0523-7238","","","","","","","","","$a323.2/0973","","","$aAP2$b.B612","","$aMicrofilm.$bWooster, Ohio :$cMicro Photo Division, Bell & Howell.$e microfilm reels ; 35 mm.$f(Underground newspaper collection)","","","$aPIT$bPIT2$oConsult indexes","$a(OCoLC)08299802$9ACW0894C1","","","","","","$aBlack Panther Party.","","$aPIT$cPIT","","","","$an-us---","","","","","","","","","","","","","","","","","","","","","","","","","$aThe Black panther$h[microform]","","$aOakland, Calif. :$b[Black Panther Party],$c1967-","","","","","$a20 v. :$bill. ;$c45 cm.","","","","","","","","","$a Began with vol. 1 (1967).$a Ceased with vol. 20, no. 9 (Sept. 1980).","$aDescription based on: Vol. 1, no. 5 (July 20, 1967).$a""Black community news service.""","","","","","","$aUnderground newspaper collection","","$aAfrican Americans$vPeriodicals.","","","","","","$tBlack panther$w(OCoLC)2258393","","","","","",""
"359","6/12/2019 12:45:45 PM","5/22/1999 10:04:22 PM","","East village other.","","","","","","","","","","","","852"," "," ","","","00395cas a2200157L  4500","521532","19990522220422.0","","750824c1uuu9999nyuuu n       0uuu 0eng d","","","","","","","$a0012-8562","","","","","","","","","","","","","","","","","$aPIT$bPITX$v1967-1972","$a(OCoLC)01567261$a0232340$bMULS$a  PITT  NO.  2625900008$9ACS3055C1","","","","","","","","$aMUL$cMUL$dOCL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aEast village other.","","$aNew York.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
