RecordID,DateAdded,DateChanged,Author,Title,CopyrightDate,Barcode,Classification,MainEntry,Custom1,Custom2,Custom3,Custom4,Custom5,ImportErrors,ValidationErrors,TagNumber,Ind1,Ind2,ControlData,Sort,LDR,001,005,006,008,007,010,012,016,019,020,022,030,928,015,029,099,037,041,110,092,247,440,090,246,533,032,212,852,035,100,264,752,250,265,710,760,040,785,840,042,043,504,570,772,049,336,505,510,050,337,546,630,082,338,506,700,130,210,490,583,222,535,538,610,730,245,787,260,611,936,515,648,300,588,310,530,590,321,550,775,890,362,500,653,651,948,525,580,830,555,650,853,655,863,740,770,776,777,780,850,856,891,994
"398","6/12/2019 12:46:18 PM","9/17/2018 1:46:47 PM","","Against the current.","1980","","","","","","","","","MARC record length is not numeric or incorrect number of characters.","","994"," "," ","","","03957cas a2200889 a 4500","551173","20180917134647.0","","830208c19809999miubr p       0   a0eng c","","$a   86643198 $zsc 83006333 ","$a3$b3$i8608$j0$l1$my","$a009189952$2Uk$a21055671$2de-600$a02444913X$2de-101","$a13446753$a220085346$a976597426$a1001212845","","$a0739-4853$l0739-4853$y0746-5335$21","","","$a02444913X$2dnb","$aNZ1$b3164475$aAU@$b000004684674$aAU@$b000050862133$aAU@$b000004497112$aGBVCP$b361818084","","$bAgainst the Current, 17300 Woodward, Detroit, MI 48203","","","","","","","","","$a480110$bUSPS","","","$a(OCoLC)ocm09201501$a(OCoLC)9201501$z(OCoLC)13446753$z(OCoLC)220085346$z(OCoLC)976597426$z(OCoLC)1001212845","","","","","","$aCenter for Changes (Detroit, Mich.)","","$aBNT$beng$cBNT$dHUL$dDLC$dNSD$dAIP$dPIT$dHUL$dNSD$dHUL$dNSD$dDLC$dNST$dOCL$dDLC$dNST$dIUL$dNST$dCOO$dNST$dHUL$dNST$dIUL$dDLC$dOCL$dNST$dDLC$dIUL$dSYS$dOCLCQ$dIUL$dOCLCQ$dCUS$dDLC$dUKMGB$dOCLCQ$dOCLCF$dOCLCO$dCUS$dHLS$dAU@$dGBVCP$dGILDS$dOCLCO","","","$apcc$ansdp","$an-us---","","","","$aPITT","","","","$aHX1$b.A23","","","","$a335/.005$219","","","","","$aAgainst curr.","","","$aAgainst the current","","","","","$aAgainst the current.","","$a[New York :$bAgainst the Current,$c1980]-$3<Jan./Feb. 1986->:$a[Detroit] :$bCenter for Changes","","","$aIssues in new series bear also whole numbering.$aNew ser. designation dropped. Issues for <v.30, no. 6 (Jan./Feb. 2016)-> also carry whole numbering <#180->","$aSince 1945$2fast","$av. :$bill. ;$c28 cm.","$aLatest issue consulted: Vol. 31, no. 5 (Nov./Dec. 2016).","$aBimonthly,$b<1993->","$aAlso issued on microfilm by University Microfilms.","","$aQuarterly,$bfall 1980-$aBimonthly (except July-Aug.),$b<Jan.-Feb. 1986->","","","","$a[Vol. 1, no. 1] (fall 1980)-v. 3, no. 3 (winter 1985) ; New ser., v. 1, no. 1 (Jan.-Feb. 1986)-","$aTitle from cover.","","$aUnited States.$2fast$0(OCoLC)fst01204155","","","$aAbsorbed: Changes socialist journal, and: Socialist unity, with Jan./Feb. 1986 issue.","","$aNew ser., v. 1 (1986)-5 (1990). 1 v.","$aSocialism$vPeriodicals.$aWorld politics$y1945-1989$vPeriodicals.$aWorld politics$y1989-$vPeriodicals.$aSocial problems$vPeriodicals.$aEconomic history$y1971-1990$vPeriodicals.$aEconomic history$y1990-$vPeriodicals.$aSocial change$vPeriodicals.$aLabor$zUnited States$vPeriodicals.$aEconomic history.$2fast$0(OCoLC)fst00901974$aLabor.$2fast$0(OCoLC)fst00989798$aSocial change.$2fast$0(OCoLC)fst01122310$aSocial problems.$2fast$0(OCoLC)fst01122778$aSocialism.$2fast$0(OCoLC)fst01123637$aWorld politics.$2fast$0(OCoLC)fst01181381","","$aPeriodicals.$2fast$0(OCoLC)fst01411641$aPeriodicals.$2lcgft","","","","$tAgainst the current (Online)$x2162-2876$w(DLC)  2011202310$w(OCoLC)50254778","","$tChanges socialist journal$x0746-5335$w(DLC)   84649223$w(OCoLC)10116350$tSocialist unity$w(DLC)sn 94024297$w(OCoLC)31025071","$aArU$aCLSU$aCSt-H$aCU$aCaMBC$aCtY$aDLC$aDeU$aIC$aIEN$aIaU$aInU$aKU-S$aMH$aMiD$aMiDW$aMiEM$aMiU$aNBC$aNIC$aNN$aNhU$aViBlbV","$uhttp://bibpurl.oclc.org/web/75240$uhttps://solidarity-us.org/atc/archives","$9853$81$av.$bno.$i(year)$j(season)$9863$81$a<1>$i<1980/1982>$xprovisional$9853$82$anew ser. v.$bno.$gno.$i(year)$j(month)$9863$82$a<1>-$g<1>-$i<1986>-$xprovisional","$aC0$bPIT"
"399","6/12/2019 12:46:18 PM","5/22/1999 10:50:58 PM","","Allegheny socialist.","1982","","","","","","","","","","","948"," "," ","","","01227mas a2200349 a 4500","1200682","19990522225058.0","","921022c19829999paubr p       0    0eng d","","$asn 92037614 ","$i9210","","","","","","","","","","","","","","","","","","","","","","$a(OCoLC)26835445$9AHY7663C1","","","","","","$aDemocratic Socialists of America.$bPittsburgh Chapter.$aInstitute for Democratic Socialism (U.S.)","","$aPIT$cPIT","","","$alcd","$an-us-pa","","","","$aPITT","","","","$aHX1$b.A442","","","","","","","","","","","","","","","$aDemocratic Socialists of America.$bPittsburgh Chapter$xPeriodicals.","","$aAllegheny socialist.","","$aPittsburgh, Pa. :$bPittsburgh Chapter of Democratic Socialists of America,$c1982-","","","","","$av. :$bill. ;$c28 cm.","","$aBimonthly","","","","$aIssued Apr.-May 1984-   with the Institute for Democratic Socialism.","","","$aVol. 10, no. 5 (Nov.-Dec. 1982)-","$aTitle from caption.","","","$aper:bdw","","","","","$aSocialism$zPennsylvania$zPittsburgh$xPeriodicals.$aSocialists$zPennsylvania$zPittsburgh$xPeriodicals.","","","","","","","","$tDemocratic Socialists of America.  Pittsburgh Local news letter$w(OCoLC)26835416$w(DLC)sn 92037613","$aPPiU","","",""
"400","6/12/2019 12:46:18 PM","5/22/1999 10:04:22 PM","","American appeal.","","","","","","","","","","","","852"," "," ","","","00878cas a2200265   4500","519216","19990522220422.0","","750726d19201927iluwr p       0uuua1eng d","","$a   28029833 ","","","","","","","","","","","","","","","$aSocialist world$fv. 1-6","","","","","","","$aPIT$bPITT$v1-8$y1920-1927","$a(OCoLC)01479305$a0029225$bMULS$a  PITT  NO.  0356400000$9ACR9563C1","","","","","","$aSocialist Party (U.S.).","","$aMUL$cMUL$dOCL$dm.c.","$tNew leader$tNew leader and American appeal$c(later New leader)","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aAmerican appeal.","","$aChicago,$bSocialist party of America. ","","","$aNo numbers were issued for Aug/Sept. or Nov/Dec., 1925.","","","","$aWeekly,$bJan. 1926-Nov. 1927.","","","$aMonthly,$bJuly 1920-Oct. 1925.","","","","$av. 1-8, no. 48; July 15, 1920-Nov. 26, 1927.","","","","","","","","","","","","","","","","","$tYoung socialists' magazine","","","",""
"401","6/12/2019 12:46:18 PM","11/14/2012 6:55:04 PM","","The Campaigner.","","","","","","","","","","","","852"," "," ","","","01268cas a2200373   4500","529556","20121114185504.0","","740131c19739999nyumx1p   bs  0uuua0eng  ","","$a   73647664 ","$a2$b0$d7$e-$f-$gp$h-$i8503$k1$l1$m1","","$a2258907","","$a0045-4109","","","","","","","","","","","","","","","$a482330$bUSPS","","$aPIT$bPITT$v5$y1972","$a(OCoLC)01789719$a1625094$bMULS$9ACT5064C1","","","","","$aCampaigner Publications, 304 W. 58th St., New York, NY 10019","$aNational Caucus of Labor Committees.$aUnited States Labor Party.","","$aDLC$cDLC$dNSD$dDLC$dOCL$dm.c.$dNST$dOCL","","","$alc$ansdp","","","","","","","","","$aHX1$b.C33","","","","$a320.5/31/05","","","","","","","","$aCampaigner$b(New York)","","","","","$aThe Campaigner.","","$a[New York,$bCampaigner Publications, etc.]","","","","","$av.$bill.$c28 cm.","","$a10 no. a year$b<, Aug. 1978->","","","","$aVols. for 1973-   issued by the National Caucus of Labor Committees.","","","$av. 1-   Sept./Oct. 1973-","$aJournal of the National Caucus of Labor Committees, <Aug. 1978-> (with the U.S. Labor Party <, Dec. 1978->)","","","","","","","","$aSocialism$xPeriodicals.$aWorld politics$y1965-$xPeriodicals.","","","","","","","","","","","",""
"402","6/12/2019 12:46:18 PM","1/31/2013 11:26:21 AM","","Changes socialist journal.","1983","","","","","","","","","","","890"," "," ","","","01767cas a2200445   4500","552157","20130131112621.0","","831110d19831985miubr1p       0uuua0eng d","","$a   84649223 $zsn 83003207 ","$a3$i8604$j1$md","","","","$a0746-5335$y0194-8350","","","","","","","","","","","","","$aSocialist journal changes","","","","$aPIT$bPITX$v5-7$y1983-1985","$a(OCoLC)10116350$9ACW3470C1","","","","","$aChanges Socialist Journal, 17300 Woodward Ave., Detroit, MI 48203","$aLabor Education Association (Detroit, Mich.)$aInternational Socialists (U.S.)$aCenter for Changes (Detroit, Mich.)","","$aNSD$cNSD$dAIP$dNST$dHUL$dDLC$dHUL$dDLC$dNSD$dNST$dDLC$dIUL$dNST$dPIT$dNSD$dDLC$dNSD$dHUL$dNST","$tAgainst the current$x0739-4853$w(DLC)   86643198$w(OCoLC)9201501","","$ansdp$alc","","","","","","","","$aAlternative press index$x0002-662X","$aHX1$b.C476","","","","$a335/.005$219","","","","","$aChang. social. j.","","","$aChanges socialist journal","","","","","$aChanges socialist journal.","","$aDetroit, MI :$bLabor Education Association,$cc1983-c1985.","","","","","$a2 v. :$bill. ;$c28 cm.","","$aBimonthly","","","","$aIssued by: International Socialists.$aPublished: Center for Changes, Mar./Apr. 1984-Sept./Oct. 1985.","","$aChanges socialist journal.","$aVol. 5, no. 10-11 (Nov.-Dec. 1983)-v. 7, no. 9-10 (Sept.-Oct. 1985).","$aTitle from cover.","","","","","$aWith: Socialist unity, absorbed by: Against the current, in Jan. 1986.","","","$aSocialism$vPeriodicals.$aWorld politics$y1945-1989$vPeriodicals.","","","","","","","","$tChanges socialist monthly$x0194-8350$w(DLC)   83640167$w(OCoLC)4814085","","","",""
"403","6/12/2019 12:46:18 PM","1/31/2013 11:25:52 AM","","Changes socialist monthly.","1979","","","","","","","","","","","852"," "," ","","","01493cas a2200409   4500","544631","20130131112552.0","","790403d19791983miumn1p       0uuua0eng d","","$a   83640167 //r83$zsn 79000519 ","$a3$b3","","","","$a0194-8350","","","","","","","","","","","","","$aChanges$aSocialist monthly changes","","","","$aPIT$bPITX$v1-$y1979-","$a(OCoLC)04814085$a2241740$bMULS$9ACV3929C1","","","","","$aChanges Socialist Monthly, 17300 Woodward Ave., Detroit, MI 48203","$aInternational Socialists (U.S.)$aLabor Education Association (Detroit, Mich.)","","$aPIT$cPIT$dNSD$dIUL$dHUL$dMUL$dNST$dDLC$dNST$dDLC$dNST$dNSD$dNST$dHUL$dDLC$dNST","$tChanges socialist journal$x0746-5335$w(DLC)   84649223$w(OCoLC)10116350","","$alc$ansdp","","","","","","","","","$aHX1$b.C476","","","","$a335/.005$219","","","","","","","","$aChanges socialist monthly","","","","","$aChanges socialist monthly.","","$aDetroit, MI :$bChanges Socialist Monthly,$c[c1979-c1983]","","","","","$a5 v. :$bill. ;$c28 cm.","","$aMonthly except July-Aug. and Dec.-Jan.","","","","$aIssued by: International Socialist.$aPublished: Labor Education Association, Nov. 1982-Oct. 1983.","","","$aVol. 1, no. 1 (Feb. 1979)-v. 5, no. 9 (Oct. 1983).","$aTitle from cover.","","","","","","","","$aSocialism$vPeriodicals.$aWorld politics$y1945-1989$vPeriodicals.","","","","","","","","$tWorkers' power$w(OCoLC)1770108","","","",""
"404","6/12/2019 12:46:18 PM","5/22/1999 10:50:58 PM","","Democratic Socialists of America.","1982","","","","","","","","","","","948"," "," ","","","01189mas a2200349 a 4500","1200679","19990522225058.0","","921022d19821982paubr p       0    0eng d","","$asn 92037613 ","$i9210","","","","","","","","","","","","","","","","","$aPittsburgh Local newsletter","","","","","$a(OCoLC)26835416$9AHY7660C1","","","","","","$aDemocratic Socialists of America.$bPittsburgh Chapter.","","$aPIT$cPIT","$tAllegheny socialist$w(OCoLC)26835445$w(DLC)sn 92037614","","$alcd","$an-us-pa","","","","$aPITT","","","","$aHX1$b.D45","","","","","","","","","","","","","","","$aDemocratic Socialists of America.$bPittsburgh Chapter$xPeriodicals.","","$aDemocratic Socialists of America.$pPittsburgh Local newsletter.","","$aPittsburgh, Pa. :$bThe Local,$c1982.","","","","","$a1 v. :$bill. ;$c28 cm.","","$aBimonthly","","","","","","","$aVol. 10, no. 4 (Sept.-Oct. 1982).","$aTitle from caption.","","","$aper:bdw","","","","","$aSocialism$zPennsylvania$zPittsburgh$xPeriodicals.$aSocialists$zPennsylvania$zPittsburgh$xPeriodicals.","","","","","","","","$tNew American movement.  Pittsburgh Chapter newsletter$w(OCoLC)26835391$w(DLC)sn 92037612","$aPPiU","","",""
"405","6/12/2019 12:46:18 PM","12/6/2012 6:38:21 PM","New American Movement.","Discussion bulletin /","1972","","","","","","","","","","","948"," "," ","","","01603mas a2200457 a 4500","1200684","20121206183821.0","","820426d19721981iluqr p       0    0eng d","","$asn 92038611 ","$i9210","","","","","","","","","","","","","","","","","$aNew American Movement discussion bulletin$aNew American Movement bulletin$aNAM discussion bulletin$fno. 17-$aNAM bulletin","","","","","$a(OCoLC)08371178$9AHY7665C1","","","","","","$aNew American Movement (Organization)","","$aWIH$cWIH$dm/c$dWIH$dPIT","","","$alcd","$an-us---","","","","$aPITT","","","","$aHX1$b.D52","","","","","","","","$aDiscussion bulletin (New American Movement (Organization))","","","","","","","$aNew American Movement (Organization)$xPeriodicals.","","$aDiscussion bulletin /$cNew American Movement.","$tWomen organizing$w(OCoLC)8500985$w(DLC)   82646801$tPlant closings bulletin","$aMinneapolis, Minn. :$bThe Movement,$c1972-1981.","","","$aTwo issues published for spring 1981.","","$a10 v. :$bill. ;$c28 cm.","","$aQuarterly","","","","","","","$aNo. 1 (fall 1972)-no. 35 (spring 1981).","$aTitle from cover.$aIssue for June 1973 has cover title: NAM bulletin.$aPublished: Chicago, Ill., 1975-","","","$aper:bdw","","$aIssued with: Women organizing, no. 1-8 (1978-1981); and: Plant closings bulletin, no. 2 (spring 1981).","","","$aSocialism$xPeriodicals.$aSocialism$zUnited States$xPeriodicals.$aSocialists$xPeriodicals.","","","","","","","","","$aPPiU","","",""
"406","6/12/2019 12:46:18 PM","11/14/2012 6:55:40 PM","","In these times.","","","","","","","","","","","","948"," "," ","","","01430cas a2200409   4500","542450","20121114185540.0","","780306c19769999iluwx1pe      0uuua0eng  ","","$a   78640799 ","$a2$b3$i8408$j0$k1$m1","","$a8786333","","$a0160-5992","","","","","","","","","","","","","","","$a352310$bUSPS","","$aPIT$bPITX$v3-9","$a(OCoLC)03690551$a2139914$bMULS$9ACV1065C1","","","","","$aIn These Times, 1300 Belmont, Chicago,, IL 60153","$aInstitute for Policy Studies.$aInstitute for Public Affairs.","","$aDLC$cDLC$dNSD$dDLC$dNSD$dDLC$dNSD$dm.c.$dOCL$dNST$dDLC$dNST$dAIP$dNSD$dHUL$dNST$dAIP$dNST$dOCL$dNSD$dNST","","","$alc$ansdp","","","","","","","","$aAlternative press index$x0002-662X","$aAP2$b.I526","","","","$a051","","","","","$aIn these times","","","$aIn these times","","","","","$aIn these times.","","$a[Chicago,$bInstitute for Public Affairs, etc.]","","","","","$av.$bill.$c45 cm.","","$a41 no. a year$b<, Apr. 24-30, 1985->","","","$a42 no. a year$b<, Nov. 21/Dec 4, 1979->$aWeekly (except 1st weeks of Jan. & Aug., last weeks of July & Dec.)$b<, Aug. 1979->","$aVols. for 1978-82 isued by the Institute for Policy Studies; 1985-   by the Instute for Public Affairs.","","","$av. 1-   Nov. 15-21, 1976-","$a""The independent socialist newspaper.""","","","$ast/cea","","","","","","","","","","","","","","","","",""
"407","6/12/2019 12:46:18 PM","12/18/2018 8:48:49 AM","","In these times","","","","","","","","","","","","856","4","0","","","02165cas a2200469 a 4500","4181809","20181218084849.0","m        d        ","780306c19769999iluwr pss     0    0eng c","cr  n         ","","","","","","$y0160-5992","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssj0010356","","","","","","$aInstitute for Policy Studies.$aInstitute for Public Affairs (Chicago, Ill.)","","$aOCLCS$beng$cOCLCS$dTXJ$dCSO$dOCLCQ$dNOC$dOCLCQ$dOCLCF$dOCLCO$dOCLCQ$dOCLCO$dAU@$dWaSeSS","","","","$an-us---","","","","","$atext$btxt$2rdacontent","","","$aAP2$b.I526$aHX1$b.I55","$acomputer$bc$2rdamedia","","","$a051","$aonline resource$bcr$2rdacarrier","","","$aIn these times (Online)","","","","","","$aMode of access: World Wide Web.","","","$aIn these times$h[electronic resource].","","$a[Chicago] :$b[Institute for Public Affairs, etc.]","","","","","","$aDescription based on print version record.$aLatest issue consulted: Vol. 35, no. 11 (Nov. 2011) (viewed Nov. 22, 2011).","$a41 no. a year,$b<Apr. 24-30, 1985->","","","$aWeekly (except 1st weeks of Jan. & Aug., last weeks of July & Dec.),$b<Aug. 1979->$a42 no. a year,$b<Nov. 21/Dec 4, 1979->","$aVols. for 1978-82 issued by the Institute for Policy Studies; 1985- by the Institute for Public Affairs.","","","$aPrint began with v. 1 in Nov. 15-21, 1976.","$a""The independent socialist newspaper.""","","$aUnited States.$0(OCoLC)fst01204155","","","","","","$aSocialism$zUnited States$vPeriodicals.$aSocialism.$0(OCoLC)fst01123637","","$aPeriodicals.$0(OCoLC)fst01411641$aElectronic journals.","","","","$iPrint version:$tIn these times$x0160-5992$w(DLC)   78640799$w(OCoLC)3690551","","","","$zPitt users please click through to access via Nexis Uni: 08/19/1996 to present$uhttp://pitt.idm.oclc.org/login?url=https://advance.lexis.com/api/search?source=MTA1NDcxNg&context=1516831$zPitt users please click through to access via Freely Accessible General Interest Journals: 2001 to present$uhttp://www.inthesetimes.com","",""
