RecordID,DateAdded,DateChanged,Author,Title,CopyrightDate,Barcode,Classification,MainEntry,Custom1,Custom2,Custom3,Custom4,Custom5,ImportErrors,ValidationErrors,TagNumber,Ind1,Ind2,ControlData,Sort,LDR,001,005,006,008,007,010,012,016,019,020,022,030,928,015,029,099,037,041,110,092,247,440,090,246,533,032,212,852,035,100,264,752,920,250,265,710,760,040,785,840,042,043,504,570,772,049,336,505,510,050,337,546,630,082,338,506,700,130,210,490,583,222,535,538,610,730,245,787,260,611,936,515,648,300,588,310,530,590,321,550,775,890,362,500,653,651,948,525,580,830,555,650,853,655,863,740,770,776,777,780,850,856,891,994
"435","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","Caw.","","","","","","","","","","MARC record length is not numeric or incorrect number of characters.","","852"," "," ","","","00695cas a2200217   4500","532255","19990522220422.0","","760620d19681969nyubr p       0uuua0eng d","","","","","","","$a0576-9698","","","","","","","","","","","","$aAP2$b.C38","","","","","$aPIT$bPITX$v1-3","$a(OCoLC)02250794$a1197243$bMULS$a05012001$bUCU$aNN744418232$aJLM 73-415$9ACT8548C1","","","","","","","$aStudents for a Democratic Society (U.S.) ","","$aMUL$cMUL$dUCU$dCOO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aCaw.","","$aNew York,$bStudents for a Democratic Society.","","","","","$a1 v.$bill.$c26-41 cm.","","","","","","","","","$aNo. 1-4; Feb. 1968-Jan. 1969.","","","","","$aNo.4, Jan. 1969, called Cuban supplement issued jointly by Caw and the Guardian.","","","","","","","","","","","","","","","",""
"436","6/12/2019 12:47:02 PM","9/3/2012 9:06:27 PM","","Caw! magazine of Students for a Democratic Society.","1968","","","","","","","","","","","856","4","0","","","01200cas a22002653i 4500","6570774","20120903210627.0","s||||||||d||||||||","760620d19681969nyu|| p|s     0   a|eng d","cr||n ---||a|a","","","","","","","","","","","","","","","","","","","","$aElectronic reproduction.$bAlexandria, VA :$cAlexander Street Press,$d2010.$f(Sixties).$nAvailable via World Wide Web.","","","","$a(VaAlASP)ASP1003371417/sixt$a6570774","","","","","","","$aStudents for a Democratic Society (U.S.)","","$aVaAlASP$cVaAlASP$dUtOrBLW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aCaw!$h[electronic resource] :$bmagazine of Students for a Democratic Society.","","$aNew York, N.Y. :$bStudents for a Democratic Society,$c1968 -1969.","","","","","$a1 online resource (4 v.) :$bill. ;$c(26-41 cm.)","","$aFrequency varies","","","","","","","","$aDescription based on: No. 3 (fall issue 1968); title from cover.$aNo. 3 ""devoted to the Battle of France 1968"".","","","","","","$aSixties.","","$aStudent movements$vPeriodicals.","","","","","","$cOriginal$w(BGU)sn 95023473","","","","$uhttp://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371417$zPitt users please click through to access via Alexander Street Press.","",""
"437","6/12/2019 12:47:02 PM","3/20/2002 4:35:57 PM","","Free you.","","","","","","","","","","","","994"," "," ","","","01012cas a2200301Ia 45e0","3979020","20020320163557.0","","850612d196u1971cauwr p       0   a0eng d","","","","","$a1570129","","$a0016-0490","","","","","","","","","","","","$aAP2$b.F9135","","","","","","$a(OCoLC)ocm12146667","","","","","","","$aMidpeninsula Free University (Menlo Park, Calif.)","","$aCUT$cCUT$dOCL","","","","","","","","$aPITT","","","","","","","","","","","","$aFree you (Menlo Park, Calif.)","","","","","","","","$aHuman Institute newsletter.","$aFree you.","","$aMenlo Park, CA :$bMidpeninsula Free University,","","","$aVol. numbering dropped with July 15, 1970 issue.","","$av. :$bill. ;$c28 cm.","","$aFrequency varies","","","","","","","$aCeased with Feb. 3, 1971 issue?","$aImprint varies.$a""A forum and news medium of the Midpeninsula Free University.""$aDescription based on: Vol. 2, no. 20 (Dec. 1968).","","","","$aSome issues have special supplement entitled: Human Institute newsletter.","","","","","","","","","","","","","","","","$aE0$bPIT"
"438","6/12/2019 12:47:02 PM","4/9/2007 3:03:55 PM","","Free you.","196","","","","","","","","","","","830"," ","0","","","00602cas a2200169   4500","548749","20070409150355.0","","810513c196u9999ohuuu n a     0uuua0eng d","","","","","","","","","","","","","","","","","","","","","$aMicrofilm. --$bWooster, Ohio :$cMicro Photo Division, Bell & Howell$d[n.d.] --$emicrofilm reels. ; 35 mm. --$f(Underground newspaper collection)","","","","$a(OCoLC)07414746$9ACV9248C1","","","","","","","","","$aAKR$cAKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aFree you.","","$aMinneapolis :$bMinnesota Free University,$c196-","","","","","$av. :$bill.","","","","","","","","","","","","","","","","$aUnderground newspaper collection.","","$aUnderground newspapers$zMinnesota$zMinneapolis.","","","","","","","","","","","",""
"439","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","Henderson Station.","","","","","","","","","","","","852"," "," ","","","00484cas a2200169   4500","534719","19990522220422.0","","760620u19719999pauuu p       0uuua0eng u","","","","","","","","","","","","","","","","","","","","","","","","$aPIT$bPITX$v2,9-$y1972,1979-","$a(OCoLC)02261865$aPITT  NO.  3463500001$a2178770$bMULS$9ACU1575C1","","","","","","","","","$cPIT$dMUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aHenderson Station.","","$aState College, Pa.,$bState College Free Press.","","","","","","","","$aAvailable on microfilm.","","","","","","$ano. 1-   July 15,1971-","","","","","","","","","","","","","","","","","","","","",""
"440","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","NUC newsletter.","","","","","","","","","","","","852"," "," ","","","00643nas a2200217   4500","549166","19990522220422.0","","810722u19689999ilumx p       0uuua0eng d","","","","","","","","","","","","","","","$aNew University Conference (U.S.) ","","","","$aLB3610$b.N48x","","","","","$aPIT$bPITX$y1969-1970","$a(OCoLC)07604871$9ACV9784C1","","","","","","","","","$aOUN$cOUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aNUC newsletter.","","$aChicago :$bThe Conference.","","","","","$av.$bill.$c28 cm.","","","","","","","","","$av. l (May 24, 1968)-","$aDescription based on: v. 5, no. 1 (Sept. l97l).","","","","","","","","$aStudents$xPolitical activity$xPeriodicals.$aStudent movements$xPeriodicals.","","","","","","","","","","","",""
"441","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","The Radical teacher.","","","","","","","","","","","","852"," "," ","","","00740nas a2200253   4500","551747","19990522220422.0","","830802u196u9999ilu x p       0uuua0eng d","","","","","","","","","","","","","","","","$a051","","","$aL11$b.R25","","","","","$aPIT$bPITX$y1969","$a(OCoLC)09768293$9ACW3000C1","","","","","","","$aNew University Conference (U.S.) ","","$aPIT$cPIT","","","","$an-us---","","","","","","","","","","","","","","","","$aRadical teacher (Chicago, Ill.)","","","","","","","","","$aThe Radical teacher.","","$a[Chicago, Ill.] :$bNew University Conference,","","","","","$a v. :$bill. ;$c28 cm.","","","","","","","","","","$aCaption title.$aDescription based on: [2nd issue] (Dec. 30, 1969).","","","","","","","","$aTeaching$xPeriodicals.$aRadicalism$zUnited States$xPeriodicals.","","","","","","","","","","","",""
"442","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","Fire!","7196","","","","","","","","","","","852"," "," ","","","01064cas a2200325   4500","528477","19990522220422.0","","751101d19691969iluer p       0uuua0eng u","","","","","$a2261108","","$a0532-9299","","","","","","","","","$a322/.4","","","$aLH1.A2$bS73","$aSDS fire","","","","$aPIT$bPITX$v1$y1969","$a(OCoLC)01775564$a0946912$bMULS$a  3009600003$bPITT$9ACT3310C1","","","","","","","$aStudents for a Democratic Society (U.S.) ","","$cMUL$dPIT$dOCL","$tNew left notes (Students for a Democratic Society : 1970)$w(OCoLC)","","","","","","","","","","","","","","","","","","","$aFire (Chicago, Ill.)","","","","","","","","","$aFire!","","$aChicago, Illinois :$b[Students for a Democratic Society],$cNov. 7, 1969-   1969.","","","","","$av. :$bill. ;$c45 cm.","","$aBiweekly","","","","","","","$aVol. 1, no. 1 (Nov. 7, 1969)-$aCeased with Vol. 1, no. 3 (Dec. 6, 1969)?","$aMasthead title.","","","","","","","","","","","","","","$tFire (Chicago, Ill.)$w(OCoLC)8089379","","$tNew left notes (Students for a Democratic Society : 1966)$w(OCoLC)7582787","","","",""
"443","6/12/2019 12:47:02 PM","8/15/2017 9:31:30 AM","","(SDS) Fire","","","","","","","","","","","","856","4","0","","","00647cas a22001693u 4500","8825616","20170815093130.0","m        d        ","170412uuuuuuuuu||||| |ss||||||   ||||||d","cr  n         ","","","","","","$y0532-9299","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssib024864058","","","","","","","","","$aWaSeSS$cWaSeSS$dWaSeSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$a(SDS) Fire$h[electronic resource].","","$a[S.l.] :$b[s.n.]","","","","","","","","","","","","","","","$aTitle from content provider.","","","","","","","","","","","","","","","","","","$zPitt users please click through to access via Independent Voices: 11/07/1969 to 12/06/1969$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHHFFGE","",""
"444","6/12/2019 12:47:02 PM","4/9/2007 2:39:43 PM","","Fire!","7196","","","","","","","","","","","830"," ","0","","","01157cas a2200301   4500","549744","20070409143943.0","","820125d19691969ohuuu pea     0uuua0eng d","","","","","","","","","","","","","","","","","","","$aLH1.A2$bS73","$aSDS fire","$aMicrofilm.$bWooster, Ohio :$cMicro Photo Division, Bell & Howell.$emicrofilm reels ; 35 mm.$f(Underground newspaper collection)","","","","$a(OCoLC)08089379$9ACW0549C1","","","","","","","$aStudents for a Democratic Society (U.S.)","","$aPIT$cPIT","$tNew left notes (Students for a Democratic Society : 1970)$w(OCoLC)","","","","","","","","","","","","","","","","","","","$aFire (Chicago, Ill.)","","","","","","","","","$aFire!$h[microform]","","$aChicago, Illinois :$b[Students for a Democratic Society],$cNov. 7, 1969-","","","","","$av. :$bill. ;$c45 cm.","","$aBiweekly","","","","","","","$aVol. 1, no. 1 (Nov. 7, 1969)-$aCeased with Vol. 1, no. 3 (Dec. 6, 1969)?","$aMasthead title.","","","","","","$aUnderground newspaper collection","","$aUnderground newspapers$zIllinois$zChicago.","","","","","","$tFire (Chicago, Ill.)$w(OCoLC)1775564","","$tNew left notes (Students for a Democratic Society : 1966)$w(OCoLC)7582787","","","",""
"445","6/12/2019 12:47:02 PM","4/9/2007 2:38:58 PM","","New left notes.","1970","","","","","","","","","","","780","0","0","","","00802cas a2200241   4500","549745","20070409143858.0","","820125u19709999mauer pe      0uuua0eng d","","","","","","","","","","","","","","","","$a322/.4","","","$aLH1.A2$bS73","$aSDS new left notes","","","","","$a(OCoLC)08089402$9ACW0550C1","","","","","","","$aStudents for a Democratic Society (U.S.)","","$aPIT$cPIT","","","","","","","","","","","","","","","","","","","","$aNew left notes (Students for a Democratic Society : 1970)","","","","","","","","","$aNew left notes.","","$aBoston, Mass. :$bStudents for a Democratic Society,$c1970-","","","","","$av. :$bill. ;$c45 cm.","","","","","","","","","","$aDescription based on: Vol. 5, no. 9 (Jan. 10, 1970).$a""Less talk, more action.""","","","","","","","","$aUnderground press publications$zIllinois$zChicago.","","","","","","","","$tFire (Chicago, Ill.)$w(OCoLC)1775564","","","",""
"446","6/12/2019 12:47:02 PM","4/9/2007 2:38:39 PM","","New left notes","1966","","","","","","","","","","","830"," ","0","","","01327cas a2200337   4500","549120","20070409143839.0","","810714d19661969ohuuu nea     0uuua0eng d","","","","","","","$a0548-5908","","","","","","","","","$a322/.4","","","$aLH1.A2$bS73","$aSDS new left notes","$aMicrofilm.$bWooster, Ohio :$cMicro Photo Division, Bell & Howell.$emicrofilm reels ; 35 mm.$f(Underground newspaper collection)","","","","$a(OCoLC)07582787$9ACV9728C1","","","","","","","$aStudents for a Democratic Society (U.S.)","","$aAKR$cAKR$dPIT","$tFire(Chicago,Ill.)$w(OCoLC)8089379","","","","","","","","","","","","","","","","","","","$aNew left notes (Students for a Democratic Society : 1966)","","","","","","","","","$aNew left notes$h[microform]","","$aChicago, Illinois :$bStudents for a Democratic Society,$c1966-1969.","","","","","$a:$bill. ;$c43 cm.","","$aWeekly","","","","","","","$aBegan with Jan. 21, 1966$zNew serial titles, 1966/67.$aCeased with Vol. 5, no. 5 (Nov. 1, 1969)?","$aDescription based on: Vol. 1, no. 2 (Jan. 28, 1966).$a""All power to the people.""","","","","$aSupplements accompany some issues.","","$aUnderground newspaper collection","","$aUnderground newspapers$zIllinois$zChicago.","","","","","","$tNew left notes (Students for a Democratic Society : 1966)$w(OCoLC)1759881","","","","","",""
"447","6/12/2019 12:47:02 PM","9/3/2012 9:06:31 PM","","SDS new left notes","1966","","","","","","","","","","","856","4","0","","","01295cas a22003371i 4500","6570893","20120903210631.0","m||||||||d||||||||","880718d19661969iluwr|pes     0|||a0eng d","cr||n ---||a|a","","","","","","","","","","","","","","$aStudents for a Democratic Society (U.S.)","","","","","$aNew left notes$aS.D.S. new left notes  ","$aElectronic reproduction.$bAlexandria, VA :$cAlexander Street Press,$d2010.$f(Sixties).$nAvailable via World Wide Web.","","","","$a(VaAlASP)ASP1003371448/sixt$a6570893","","","","","","","","","$aVaAlASP$cVaAlASP$dUtOrBLW","","","","$an-us---","","","","","","","","$aLH1.A2$bS73","","","","$a322/.4$220","","","","","","","","","","","","","$aSDS new left notes$h[electronic resource].","","$aChicago :$bStudents for a Democratic Society,$c1966-1969.","","","","","$a1 online resource ([4] p. :$bill. ;$c43 cm.)","","$aWeekly","","","","","","","","$aDescription based on: Vol. 4, no. 9.","","","","","","$aSixties.","","","","","","","","$cOriginal$w(MiU)sn 87065724$cOriginal$w(RLIN)MIUG18785-S  $cOriginal$w(CaOTULAS)160244648  $cOriginal$w(OCoLC)243882722  ","","","","$uhttp://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371448$zPitt users please click through to access via Alexander Street Press.","",""
"448","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","SDS new left notes.","","","","","","","","","","","","852"," "," ","","","00868cas a2200277   4500","526488","19990522220422.0","","751101d196619uuiluwr na      0uuua0eng  ","","$a   77009820 ","","","$a2468088","","$a0548-5908","","","","","","","","$aStudents for a Democratic Society (U.S.) ","","","","","$aNew left notes","","","","$aPIT$bPITX$v1966 -1967,1969,1971-","$a(OCoLC)01759881$a0529227$bMULS$a  Ulp   No.  5684700004$aPITT NO.  5641200000$9ACT0514C1","","","","","","","","","$aDLC$cMUL$dOCL","$tFire$w(OCoLC)1775564","","","","","","","","","","","$aLH1.A2$bS73","","","","$a322/.4","","","","","","","","","","","","","$aSDS new left notes.","","$aChicago, Illinois,$bStudents for a Democratic Society.","","","","","$a   v.$bill.$c43 cm.","","","","","","","","","$aBegan with Jan. 21, 1966 issue.$zNew serial titles, 1966/67.","","","","","$aSupplements accompany some issues.","","","","","","","","","","","","","","","",""
"449","6/12/2019 12:47:02 PM","8/15/2017 9:31:30 AM","","(SDS) New Left Notes","","","","","","","","","","","","856","4","0","","","00657cas a22001693u 4500","8825618","20170815093130.0","m        d        ","170412uuuuuuuuu||||| |ss||||||   ||||||d","cr  n         ","","","","","","$y0548-5908","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssib024864059","","","","","","","","","$aWaSeSS$cWaSeSS$dWaSeSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$a(SDS) New Left Notes$h[electronic resource].","","$a[S.l.] :$b[s.n.]","","","","","","","","","","","","","","","$aTitle from content provider.","","","","","","","","","","","","","","","","","","$zPitt users please click through to access via Independent Voices: 01/21/1966 to 10/21/1969$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHFJIIB","",""
"450","6/12/2019 12:47:02 PM","8/15/2017 9:31:30 AM","","(SDS) New Left Notes","","","","","","","","","","","","856","4","0","","","00631cas a22001573u 4500","8825617","20170815093130.0","m        d        ","170412uuuuuuuuu||||| |ss||||||   ||||||d","cr  n         ","","","","","","","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssib024868301","","","","","","","","","$aWaSeSS$cWaSeSS$dWaSeSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$a(SDS) New Left Notes$h[electronic resource].","","$a[S.l.] :$b[s.n.]","","","","","","","","","","","","","","","$aTitle from content provider.","","","","","","","","","","","","","","","","","","$zPitt users please click through to access via Independent Voices: 06/30/1969 to 03/31/1974$uhttp://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=IAIJEAC","",""
"451","6/12/2019 12:47:02 PM","5/22/1999 10:04:22 PM","","SNCC newsletter.","","","","","","","","","","","","852"," "," ","","","00494cas a2200169   4500","537667","19990522220422.0","","760620u19679999gauuu         0uuua0eng u","","","","","","","","","","","","","","","","","","","","$aNewsletter","","","","$aPIT$bPITX$v1967.","$a(OCoLC)02267758$aPITT  NO.  7465200008$a1906946$bMULS$9ACU5077C1","","","","","","","$aStudent Nonviolent Coordinating Committee (U.S.)","","$cPIT$dMUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aSNCC newsletter.","","$aAtlanta, Ga,$bStudent Nonviolent Coordinating Committee.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452","6/12/2019 12:47:02 PM","2/15/2019 7:46:53 AM","Youngberg, ed. by Alvan.","Water Tunnel, Vol. 1 no. 1, March 10, 1969","1969","","","","","","","","","","","920"," "," ","","","00777cam a22001813u 4500","9147738","20190215074653.0","m        d        ","180213s1969    ||||||||s|||||||| ||||| d","cr  n         ","","","","","","","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssib010714665","$aYoungberg, ed. by Alvan.","","","$aSerials Solutions Ebook","","","","","$aWaSeSS$cWaSeSS$dWaSeSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aWater Tunnel, Vol. 1 no. 1, March 10, 1969$h[electronic resource] /$ced. by Alvan Youngberg.","","$a[S.l.] :$bState College Free Press,$c1969.","","","","","","","","","","","","","","","$aTitle from content provider.","","","","","","","","","","","","","","","","","","$zPitt users please click through to access via Sixties: Primary Documents and Personal Narratives 1960 - 1974$uhttp://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702251","",""
"453","6/12/2019 12:47:02 PM","2/15/2019 7:46:54 AM","Youngberg, ed. by Alvan.","Water Tunnel, Vol. 4 no. 3, October 26, 1970","1970","","","","","","","","","","","920"," "," ","","","00779cam a22001813u 4500","9147739","20190215074654.0","m        d        ","180213s1970    ||||||||s|||||||| ||||| d","cr  n         ","","","","","","","","","","","","","","","","","","","","","","","","$a(WaSeSS)ssib010714666","$aYoungberg, ed. by Alvan.","","","$aSerials Solutions Ebook","","","","","$aWaSeSS$cWaSeSS$dWaSeSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aWater Tunnel, Vol. 4 no. 3, October 26, 1970$h[electronic resource] /$ced. by Alvan Youngberg.","","$a[S.l.] :$bState College Free Press,$c1970.","","","","","","","","","","","","","","","$aTitle from content provider.","","","","","","","","","","","","","","","","","","$zPitt users please click through to access via Sixties: Primary Documents and Personal Narratives 1960 - 1974$uhttp://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702252","",""
