titleInfo/0/nonSort,titleInfo/0/title,titleInfo/1/title,titleInfo/1/subTitle,titleInfo/1/_type,titleInfo/2/title,titleInfo/2/_type,titleInfo/3/title,titleInfo/3/_type,typeOfResource,genre/0/_authority,genre/0/__text,genre/1/_authority,genre/1/__text,originInfo/0/place/0/placeTerm/_type,originInfo/0/place/0/placeTerm/_authority,originInfo/0/place/0/placeTerm/__text,originInfo/0/place/1/placeTerm/_type,originInfo/0/place/1/placeTerm/__text,originInfo/0/place/2/placeTerm/_type,originInfo/0/place/2/placeTerm/__text,originInfo/0/publisher/0,originInfo/0/publisher/1,originInfo/0/dateIssued/0/_encoding,originInfo/0/dateIssued/0/_point,originInfo/0/dateIssued/0/__text,originInfo/0/dateIssued/1/_encoding,originInfo/0/dateIssued/1/_point,originInfo/0/dateIssued/1/__text,originInfo/0/issuance,originInfo/0/frequency/0,originInfo/0/frequency/1,originInfo/0/frequency/2/_authority,originInfo/0/frequency/2/__text,language/languageTerm/_authority,language/languageTerm/_type,language/languageTerm/__text,physicalDescription/form/0/_authority,physicalDescription/form/0/__text,physicalDescription/extent,note/0/_type,note/0/__text,note/1,note/2,note/3,note/4,note/5,note/6,subject/0/geographicCode/0/_authority,subject/0/geographicCode/0/__text,subject/1/topic/0,subject/1/geographic/0,subject/1/genre/0,subject/1/_authority,subject/2/topic/0,subject/2/geographic/0,subject/2/genre/0,subject/2/_authority,subject/3/topic/0,subject/3/_authority,classification/0/_authority,classification/0/__text,classification/1/_authority,classification/1/__text,location/0/url/_displayLabel,location/0/url/__text,relatedItem/0/titleInfo/0/title,relatedItem/0/identifier/0/_type,relatedItem/0/identifier/0/__text,relatedItem/0/identifier/1/_type,relatedItem/0/identifier/1/__text,relatedItem/0/identifier/2/_type,relatedItem/0/identifier/2/__text,relatedItem/0/_type,relatedItem/1/titleInfo/0/title,relatedItem/1/identifier/0/_type,relatedItem/1/identifier/0/__text,relatedItem/1/identifier/1/_type,relatedItem/1/identifier/1/__text,relatedItem/1/identifier/2/_type,relatedItem/1/identifier/2/__text,relatedItem/1/_type,relatedItem/1/_displayLabel,relatedItem/2/titleInfo/0/title,relatedItem/2/identifier/0/_type,relatedItem/2/identifier/0/__text,relatedItem/2/_type,relatedItem/2/_displayLabel,relatedItem/3/titleInfo/0/title,relatedItem/3/identifier/0/_type,relatedItem/3/identifier/0/__text,relatedItem/3/identifier/1/_type,relatedItem/3/identifier/1/__text,relatedItem/3/_type,relatedItem/4/location/0/url/_displayLabel,relatedItem/4/location/0/url/__text,identifier/0/_type,identifier/0/__text,identifier/1/_type,identifier/1/__text,identifier/2/_type,identifier/2/_invalid,identifier/2/__text,identifier/3/_type,identifier/3/__text,identifier/4/_type,identifier/4/__text,recordInfo/descriptionStandard,recordInfo/recordContentSource/_authority,recordInfo/recordContentSource/__text,recordInfo/recordCreationDate/_encoding,recordInfo/recordCreationDate/__text,recordInfo/recordChangeDate/_encoding,recordInfo/recordChangeDate/__text,recordInfo/recordIdentifier,recordInfo/recordOrigin,_version,titleInfo/0/subTitle,originInfo/0/frequency/0/_authority,originInfo/0/frequency/0/__text,location/0/physicalLocation,name/namePart/0,name/_type,subject/0/topic/0,subject/0/topic/1,subject/0/_authority,subject/1/topic/1,originInfo/0/frequency/1/_authority,originInfo/0/frequency/1/__text,note/0,subject/0/topic/2,subject/2/topic/1,subject/2/topic/2,subject/2/topic/3,classification/0/_edition,relatedItem/0/part/detail/number,relatedItem/0/part/detail/_type,originInfo/0/frequency/2,originInfo/0/frequency/3,originInfo/0/frequency/4/_authority,originInfo/0/frequency/4/__text,originInfo/1/place/0/placeTerm/_type,originInfo/1/place/0/placeTerm/__text,originInfo/1/publisher/0,originInfo/1/dateIssued/0,originInfo/1/_eventType,physicalDescription/form/1/_authority,physicalDescription/form/1/__text,physicalDescription/form/2/_type,physicalDescription/form/2/_authority,physicalDescription/form/2/__text,physicalDescription/form/3/_type,physicalDescription/form/3/_authority,physicalDescription/form/3/__text,note/4/_type,note/4/__text,subject/3/geographic/0,subject/3/genre/0,subject/4/geographic/0,subject/4/genre/0,subject/4/_authority,subject/5/geographic/0,subject/5/genre/0,subject/5/_authority,location/0/url/_usage,location/0/url/_note,location/1/url/_displayLabel,location/1/url/_note,location/1/url/__text,recordInfo/languageOfCataloging/languageTerm/_authority,recordInfo/languageOfCataloging/languageTerm/_type,recordInfo/languageOfCataloging/languageTerm/__text,note/3/_type,note/3/__text,subject/0/geographicCode/1/_authority,subject/0/geographicCode/1/__text,note/1/_type,note/1/__text,subject/3/topic/1,classification/1/_edition,relatedItem/1/originInfo/0/publisher/0,subject/0/geographic/0,subject/0/geographic/1,subject/1/geographic/1,originInfo/0/dateIssued/0,originInfo/0/dateIssued/2/_encoding,originInfo/0/dateIssued/2/_point,originInfo/0/dateIssued/2/__text,relatedItem/0/name/namePart/0,name/namePart/1/_type,name/namePart/1/__text,note/0/_altRepGroup,subject/3/topic/2,identifier/0/_invalid,subject/2/geographic/1,subject/0/name/namePart/0,subject/0/name/_type,name/role/roleTerm/_type,name/role/roleTerm/__text,genre/2/_authority,genre/2/__text,note/7/_type,note/7/__text,subject/1/name/namePart/0,subject/1/name/_type,subject/2/name/namePart/0,subject/2/name/_type,subject/4/topic/0,subject/5/topic/0,note/2/_type,note/2/__text,subject/4/topic/1,subject/4/topic/2,identifier/1/_invalid,note/5/_type,note/5/__text,subject/6/topic/0,subject/6/genre/0,subject/6/_authority,subject/7/topic/0,subject/7/genre/0,subject/7/_authority,subject/8/topic/0,subject/8/genre/0,subject/8/_authority,subject/9/topic/0,subject/9/genre/0,subject/9/_authority,subject/10/topic/0,subject/10/genre/0,subject/10/_authority,subject/0/genre/0,identifier/5/_type,identifier/5/__text,titleInfo/1/_displayLabel,genre/3/_authority,genre/3/__text,physicalDescription/form/1/_type,subject/4/geographic/1,relatedItem/0/originInfo/0/publisher/0,titleInfo/4/title,titleInfo/4/_type,titleInfo/5/title,titleInfo/5/_type,titleInfo/6/title,titleInfo/6/_type,titleInfo/7/title,titleInfo/7/_type,titleInfo/8/title,titleInfo/8/_type,titleInfo/9/title,titleInfo/9/subTitle,titleInfo/9/_type,subject/3/geographic/1,subject/5/geographic/1,subject/6/geographic/0,subject/6/geographic/1,subject/7/geographic/0,subject/7/geographic/1,subject/8/geographic/0,subject/8/geographic/1,subject/10/geographic/0,subject/10/geographic/1,subject/11/topic/0,subject/11/geographic/0,subject/11/geographic/1,subject/11/genre/0,subject/11/_authority,subject/12/geographic/0,subject/12/genre/0,subject/12/_authority,genre/4/_authority,genre/4/__text,originInfo/2/place/0/placeTerm/_type,originInfo/2/place/0/placeTerm/__text,originInfo/2/publisher/0,originInfo/2/dateIssued/0,originInfo/2/_eventType,originInfo/3/place/0/placeTerm/_type,originInfo/3/place/0/placeTerm/__text,originInfo/3/publisher/0,originInfo/3/dateIssued/0,originInfo/3/_eventType,relatedItem/0/_displayLabel,relatedItem/2/identifier/1/_type,relatedItem/2/identifier/1/__text,relatedItem/2/identifier/2/_type,relatedItem/2/identifier/2/__text,relatedItem/3/identifier/2/_type,relatedItem/3/identifier/2/__text,physicalDescription/form/4/_type,physicalDescription/form/4/_authority,physicalDescription/form/4/__text,physicalDescription/form/5/_type,physicalDescription/form/5/_authority,physicalDescription/form/5/__text
The,advocate,Advocate,(Los Angel. Calif.),abbreviated,"Advocate, the national gay lesbian newsmagazine",alternative,"Advocate (Los Angeles, Calif.)",uniform,text,marcgt,periodical,local,Online resources.,code,marccountry,cau,text,"Los Angeles, Calif",text,"Los Angeles, Calif",Liberation Publications.,Here Publishing Inc.,marc,start,1970,marc,end,2010,serial,"Monthly, Feb. 2009-","Biweekly, 1970-Jan. 13, 2009",marcfrequency,Monthly,iso639-2b,code,eng,marcform,print,v. : ill. ; 28-45 cm.,date/sequential designation,"Began with no. 33 (May 13-26, 1970).","Issue no. 33 (May 13-26, 1970)-no. 155 (Jan. 15, 1975) published by Advocate Publications; no. 156- by Liberation Publications.","Description based on: Issue 520 (Mar. 14, 1989); title from cover.",Latest issue consulted: Issue 1035  (Feb. 2010).,"Unnumbered special issue dated Apr. 30, 2000 has also title: Special commemorative issue: The Millenium March on Washington for Equality.","Beginning with issue 1035 (Feb. 2010)-   issued with: Out (New York, N.Y.).",1967-1982. 1 v.,marcgac,n-us---,Homosexuality,United States,Periodicals,lcsh,Gay liberation movement,United States,Periodicals,lcsh,Homoseksualiteit,gtt,lcc,HQ76.8.U5 A63,ddc,301.41/57/05,Abstracts and selected articles,http://bibpurl.oclc.org/web/626,Out traveler,issn,1548-5684,local,(DLC)  2003248957,local,(OCoLC)53129295,constituent,"Advocate (Los Angeles, Calif.)",issn,0001-8996,local,(DLC)  2004205871,local,(OCoLC)55520910,otherFormat,Microfilm version:,"Advocate (Los Angeles, Calif. : Online)",local,(OCoLC)60638931,otherFormat,Online version:,Los Angeles advocate,local,(DLC)   71220969,local,(OCoLC)2972005,preceding,Abstracts and selected articles,http://bibpurl.oclc.org/web/626,issn,0001-8996,lccn,72624007,lccn,yes,sn 84012011,oclc,ocm02256995,oclc,2256995,aacr,marcorg,DLC,marc,760620,iso8601,20120902230250.0,532510,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agape And Action,,,,,,,,text,,,,,text,,"Berkeley, Calif",,,,,,,,,,,,,serial,,,,,iso639-2b,code,eng,marcform,print,,date/sequential designation,"No1,1970-",Monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oclc,02257030,,,,,,,,,,,marcorg,,marc,760620,iso8601,19990522220422.0,532530,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,-newsletter Of The Radical Christian Committee Of Concern,marcfrequency,Completely irregular,PIT PITX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,American man,,,,,,,,text,marcgt,periodical,,,code,marccountry,mdu,text,"Columbia, Md",,,R. Haddad.,,marc,start,1980,marc,end,9999,serial,,,,,iso639-2b,code,eng,marcform,print,v. ill. 22 cm.,date/sequential designation,v. 1-   winter 1980-,,,,,,,,,Sex role,,,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issn,0271-9487,lccn,sn 80012550,oclc,,06352511,,,,,,marcorg,UMC,marc,800523,iso8601,20121114185558.0,547102,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,marcfrequency,Quarterly,PIT PITX,"Haddad, Richard.",personal,Men,Periodicals,lcsh,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blueboy,,,,,,,,text,marcgt,periodical,,,code,marccountry,nyu,text,"New York, N.Y",,,"Blueboy, inc.",,marc,start,19uu,marc,end,9999,serial,Monthly,,,,iso639-2b,code,eng,marcform,print,v.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issn,0279-3733,lccn,sn 81002823,oclc,,07816856,,,,,,marcorg,NSD,marc,811005,iso8601,19990522220422.0,549414,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,PIT PITX,,,,,,,marcfrequency,Monthly,Description based on: Vol. 60 (Oct. 1981); title from cover.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boston gay review,,,,,,,,text,marcgt,periodical,,,code,marccountry,mau,text,Boston,,,Boston Gay Review Collective.,,marc,start,197u,marc,end,9999,serial,,,,,iso639-2b,code,eng,marcform,print,v. ill. 34 cm.,,,,,,,,,,,Homosexuality in literature,,,lcsh,Homosexuality,,,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oclc,04903842,,,,,,,,,,,marcorg,PIT,marc,790427,iso8601,20121114185548.0,544788,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,marcfrequency,Unknown,PIT PITX,,,Homosexuality and literature,History and criticism,lcsh,Periodicals,,,,Periodicals,Poetry,History and criticism,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fag rag,Fag rag,,abbreviated,,,,,text,marcgt,periodical,,,code,marccountry,mau,text,"Boston, Mass",,,Fag Rag.,,marc,start,197u,marc,end,9999,serial,,,,,iso639-2b,code,eng,marcform,print,v. ill. 43x29 cm.,,,,,,,,,,,Homosexuality,,,lcsh,,,,,,,ddc,306,,,,,Alternative press index,,,,,,,isReferencedBy,,,,,,,,,,,,,,,,,,,,,,,issn,0046-3167,lccn,sn 84012251,oclc,,02547737,,,,,,marcorg,PIT,marc,761109,iso8601,19990522220422.0,540013,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,marcfrequency,Unknown,PIT PITX,,,Gay liberation movement,Periodicals,lcsh,Periodicals,,,,,,,,11,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gay,"Gay (New York, N.Y.)",,alternative,"Gay (New York, New York)",alternative,,,text,marcgt,newspaper,rdacontent,text,code,marccountry,nyu,,,,,,,marc,start,1969,marc,end,uuuu,serial,"Monthly, July 1973-","Biweekly, Dec. 1, 1969-Apr. 13, 1970",,,iso639-2b,code,eng,marccategory,electronic resource,1 online resource (volumes) : illustrations.,date/sequential designation,"No. 1 (Dec. 1, 1969)-",Title from caption.,Reproduction of the original from Lesbian Herstory Archives.,"Reproduction of the original from Gay, Lesbian, Bisexual, and Transgender Historical Society.",,,,marcgac,n-us---,Homosexuality,United States,Newspapers,lcsh,Gays,United States,Newspapers,lcsh,Gay men,lcsh,,,,,electronic resource,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=1NEM&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main,Archives of Sexuality & Gender: LGBTQ History and Culture since 1940,,,,,,,series,,,,,,,,,,,,,,,,,,,,,,,oclc,800422257,,,,,,,,,,rda,marcorg,MIGCL,marc,840917,iso8601,20180627110512.0,9247172,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,"Weekly, Apr. 20-Sept. 28, 1970","Biweekly, Oct. 12, 1970-June 18, 1973",marcfrequency,Monthly,text,New York :,"Four Swords, Incorporated,",1969-,publication,marcsmd,remote,media,rdamedia,computer,carrier,rdacarrier,online resource,numbering,Issues beginning Nov. 1970 also carry volume designation. Contains numbering inconsistencies.,United States,Newspapers,New York (N.Y.),Newspapers,lcsh,New York County (N.Y.),Newspapers,lcsh,primary display,Pitt users please click through for access via Gale Cengage.,electronic resource,Pitt users please click through for access via Gale Cengage.,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QYU&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main,iso639-2b,code,eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gay NYC,Gay,,alternative,"Gay (New York, N.Y.)",uniform,,,text,marcgt,newspaper,rdacontent,text,code,marccountry,nyu,,,,,,,marc,start,1969,marc,end,uuuu,serial,"Monthly, July 1973-","Biweekly, Dec. 1, 1969-Apr. 13, 1970",,,iso639-2b,code,eng,marccategory,electronic resource,1 online resource (volumes) : illustrations.,date/sequential designation,"No. 1 (Dec. 1, 1969)-",Title from cover.,Reproduction of the original from Lesbian Herstory Archives.,,,,,marcgac,n-us---,Homosexuality,United States,Newspapers,lcsh,Gays,United States,Newspapers,lcsh,Gay men,lcsh,,,,,electronic resource,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9EYO&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main,Archives of Sexuality & Gender: LGBTQ History and Culture since 1940,,,,,,,series,,,,,,,,,,,,,,,,,,,,,,,oclc,952385097,,,,,,,,,,rda,marcorg,MIGCL,marc,840917,iso8601,20180627110552.0,9247403,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,"Weekly, Apr. 20-Sept. 28, 1970","Biweekly, Oct. 12, 1970-June 18, 1973",marcfrequency,Monthly,text,New York :,"Four Swords, Incorporated,",1969-,publication,marcsmd,remote,media,rdamedia,computer,carrier,rdacarrier,online resource,,,United States,Newspapers,New York (N.Y.),Newspapers,lcsh,New York County (N.Y.),Newspapers,lcsh,primary display,Pitt users please click through for access via Gale Cengage.,,,,iso639-2b,code,eng,numbering,Issues beginning Nov. 1970 also carry volume designation. Contains numbering inconsistencies.,marcgac,n-us-ny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gay community news,Gay community news,(Boston Mass.),abbreviated,GCN,alternative,,,text,marcgt,periodical,,,code,marccountry,mau,text,Boston,,,"G.C.N., inc.]",,marc,start,1973,marc,end,9999,serial,"Quarterly, 1994-","Weekly (except the last week of Apr., Aug. and Dec.), 1973-1992",marcfrequency,Quarterly,iso639-2b,code,eng,marcform,print,v. ill. 43 cm.,date/sequential designation,"Began with v. 1, no. 2 on June 28, 1973.",,,,,,,marcgac,n-us---,Homosexuality,,,lcsh,Gay men,United States,,lcsh,Gay liberation movement,lcsh,lcc,HQ75 .G37,ddc,305,,,Alternative press index,,,,,,,isReferencedBy,,local,(DLC)sn 95032713,local,(OCoLC)31855724,,,otherFormat,,Gay community newsletter,,,preceding,,,,,,,,,,issn,0147-0728,lccn,sc 77001418,oclc,,03079323,,,,,,marcorg,NSD,marc,770628,iso8601,19990522225058.0,1696389,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,Periodicals,,,,,Periodicals,,,,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numbering,"Publication suspended with July 4/17, 1992 issue amd resumed with June 1994 issue.",Periodicals,11,Harvard University Microreproduction Dept.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gay life,,,,,,,,text,marcgt,periodical,,,code,marccountry,pau,text,Pittsburgh,,,GNC.,,marc,start,1977,marc,end,1979,serial,,,,,iso639-2b,code,eng,marcform,print,30 no. ill. 22 cm.,date/sequential designation,no. 2-31; Mar. 1977-Oct. 1979.,,,,,,,,,Lesbianism,Pennsylvania,,lcsh,Gay liberation movement,,,lcsh,,,,,,,,,Pittsburgh's gay life,,,,,,,preceding,Out,local,(OCoLC)5737007,,,,,succeeding,,,,,,,,,,,,,,,oclc,03831941,,,,,,,,,,,marcorg,PIT,marc,780427,iso8601,19990522220422.0,542801,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,marcfrequency,Monthly,PIT PITX,,,Homosexuality,Periodicals,lcsh,Periodicals,,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,Pittsburgh,Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
