titleInfo/0/title,titleInfo/1/title,titleInfo/1/_type,typeOfResource,genre/0/_authority,genre/0/__text,genre/1/_authority,genre/1/__text,genre/2/_authority,genre/2/__text,genre/3/_authority,genre/3/__text,originInfo/0/place/0/placeTerm/_type,originInfo/0/place/0/placeTerm/_authority,originInfo/0/place/0/placeTerm/__text,originInfo/0/place/1/placeTerm/_type,originInfo/0/place/1/placeTerm/__text,originInfo/0/publisher,originInfo/0/dateIssued/0,originInfo/0/dateIssued/1/_encoding,originInfo/0/dateIssued/1/_point,originInfo/0/dateIssued/1/__text,originInfo/0/dateIssued/2/_encoding,originInfo/0/dateIssued/2/_point,originInfo/0/dateIssued/2/__text,originInfo/0/issuance,originInfo/0/frequency/0,originInfo/0/frequency/1/_authority,originInfo/0/frequency/1/__text,language/languageTerm/_authority,language/languageTerm/_type,language/languageTerm/__text,physicalDescription/form/0/_authority,physicalDescription/form/0/__text,physicalDescription/form/1/_authority,physicalDescription/form/1/__text,physicalDescription/form/2/_authority,physicalDescription/form/2/__text,physicalDescription/form/3/_authority,physicalDescription/form/3/__text,physicalDescription/form/4/_type,physicalDescription/form/4/_authority,physicalDescription/form/4/__text,physicalDescription/form/5/_type,physicalDescription/form/5/_authority,physicalDescription/form/5/__text,note/0/_type,note/0/__text,note/1/_type,note/1/__text,note/2,note/3,note/4,note/5,note/6,subject/0/geographicCode/0/_authority,subject/0/geographicCode/0/__text,subject/1/topic/0,subject/1/geographic/0,subject/1/geographic/1,subject/1/genre/0,subject/1/_authority,subject/2/topic/0,subject/2/geographic/0,subject/2/genre/0,subject/2/_authority,subject/3/topic/0,subject/3/_authority,subject/4/topic/0,subject/4/_authority,subject/5/topic/0,subject/5/geographic/0,subject/5/geographic/1,subject/5/genre/0,subject/5/_authority,subject/6/geographic/0,subject/6/topic/0,subject/6/genre/0,subject/6/_authority,subject/7/geographic/0,subject/7/genre/0,subject/7/_authority,subject/8/geographic/0,subject/8/geographic/1,subject/8/_authority,subject/9/geographic/0,subject/9/geographic/1,subject/9/_authority,subject/10/geographic/0,subject/10/_authority,subject/11/hierarchicalGeographic/country,subject/11/hierarchicalGeographic/state,subject/11/hierarchicalGeographic/county,subject/11/hierarchicalGeographic/city,location/0/url/_displayLabel,location/0/url/_usage,location/0/url/_note,location/0/url/__text,relatedItem/0/titleInfo/0/title,relatedItem/0/identifier/0/_type,relatedItem/0/identifier/0/__text,relatedItem/0/identifier/1/_type,relatedItem/0/identifier/1/__text,relatedItem/0/_type,relatedItem/0/_displayLabel,relatedItem/1/titleInfo/0/title,relatedItem/1/identifier/0/_type,relatedItem/1/identifier/0/__text,relatedItem/1/_type,relatedItem/1/_displayLabel,recordInfo/descriptionStandard,recordInfo/recordContentSource/_authority,recordInfo/recordContentSource/__text,recordInfo/recordCreationDate/_encoding,recordInfo/recordCreationDate/__text,recordInfo/recordChangeDate/_encoding,recordInfo/recordChangeDate/__text,recordInfo/recordIdentifier,recordInfo/recordOrigin,recordInfo/languageOfCataloging/languageTerm/_authority,recordInfo/languageOfCataloging/languageTerm/_type,recordInfo/languageOfCataloging/languageTerm/__text,_version,originInfo/0/dateIssued/0/_encoding,originInfo/0/dateIssued/0/_point,originInfo/0/dateIssued/0/__text,originInfo/0/frequency/1,originInfo/0/frequency/2,originInfo/0/frequency/3,originInfo/0/frequency/4/_authority,originInfo/0/frequency/4/__text,location/0/physicalLocation,location/1/physicalLocation,identifier/0/_type,identifier/0/__text,identifier/1/_type,identifier/1/__text,identifier/2/_type,identifier/2/__text,name/0/namePart/0,name/0/role/roleTerm/_type,name/0/role/roleTerm/__text,name/0/_type,originInfo/0/frequency/2/_authority,originInfo/0/frequency/2/__text,originInfo/1/place/0/placeTerm/_type,originInfo/1/place/0/placeTerm/__text,originInfo/1/publisher,originInfo/1/dateIssued/0,originInfo/1/_eventType,originInfo/2/place/0/placeTerm/_type,originInfo/2/place/0/placeTerm/__text,originInfo/2/publisher,originInfo/2/dateIssued/0,originInfo/2/_eventType,note/1,subject/0/geographicCode/1/_authority,subject/0/geographicCode/1/__text,subject/1/name/0/namePart/0,subject/1/name/0/_type,subject/2/name/0/namePart/0,subject/2/name/0/_type,subject/3/geographic/0,subject/3/geographic/1,subject/4/geographic/0,subject/4/geographic/1,subject/4/genre/0,subject/6/geographic/1,subject/7/topic/0,subject/8/topic/0,subject/9/topic/0,subject/10/topic/0,subject/11/topic/0,subject/11/_authority,subject/12/geographic/0,subject/12/topic/0,subject/12/genre/0,subject/12/_authority,subject/13/geographic/0,subject/13/geographic/1,subject/13/_authority,subject/14/geographic/0,subject/14/_authority,classification/0/_authority,classification/0/__text,classification/1/_authority,classification/1/_edition,classification/1/__text,relatedItem/0/identifier/2/_type,relatedItem/0/identifier/2/__text,identifier/0/_invalid,originInfo/0/frequency/0/_authority,originInfo/0/frequency/0/__text,note/3/_type,note/3/__text,subject/0/geographicCode/2/_authority,subject/0/geographicCode/2/__text,subject/2/temporal,subject/5/topic/1,subject/7/geographic/1,subject/13/topic/0,subject/14/topic/0,subject/14/genre/0,subject/15/geographic/0,subject/15/geographic/1,subject/15/_authority,subject/16/geographic/0,subject/16/_authority,relatedItem/0/originInfo/0/publisher,relatedItem/1/identifier/1/_type,relatedItem/1/identifier/1/__text,relatedItem/1/identifier/2/_type,relatedItem/1/identifier/2/__text,relatedItem/2/titleInfo/0/title,relatedItem/2/_type,physicalDescription/extent,subject/0/topic/0,subject/0/topic/1,subject/0/_authority,titleInfo/0/nonSort,name/0/namePart/1,note/2/_type,note/2/__text,identifier/2/_invalid,identifier/3/_type,identifier/3/__text,name/1/namePart/0,name/1/namePart/1,name/1/_type,physicalDescription/reformattingQuality,identifier/1/_invalid,note/4/_type,note/4/__text,genre/4/_authority,genre/4/__text,genre/5/_authority,genre/5/__text,genre/6/_authority,genre/6/__text,genre/7/_authority,genre/7/__text,subject/3/genre/0,subject/8/hierarchicalGeographic/country,subject/8/hierarchicalGeographic/state,subject/8/hierarchicalGeographic/county,subject/8/hierarchicalGeographic/city,relatedItem/2/identifier/0/_type,relatedItem/2/identifier/0/__text,relatedItem/3/originInfo/0/publisher,relatedItem/3/identifier/0/_type,relatedItem/3/identifier/0/__text,relatedItem/3/_type,relatedItem/0/part/detail/number,relatedItem/0/part/detail/_type,originInfo/0/frequency/3/_authority,originInfo/0/frequency/3/__text,physicalDescription/form/2/_type,physicalDescription/form/3/_type,subject/0/genre/0,titleInfo/0/subTitle,subject/0/geographic/0,subject/0/geographic/1,note/0,titleInfo/1/_displayLabel,titleInfo/2/title,titleInfo/2/_type,name/2/namePart/0,name/2/_type,subject/7/topic/1,subject/8/genre/0,subject/15/topic/0,subject/16/topic/0,subject/16/geographic/1,subject/17/geographic/0,subject/17/topic/0,subject/17/temporal,subject/17/genre/0,subject/17/_authority,subject/18/geographic/0,subject/18/geographic/1,subject/18/_authority,subject/19/geographic/0,subject/19/_authority,titleInfo/2/_displayLabel,titleInfo/3/title,titleInfo/3/_type,name/3/namePart/0,name/3/_type,note/5/_type,note/5/__text,subject/14/temporal,classification/0/_edition,subject/1/hierarchicalGeographic/country,subject/1/hierarchicalGeographic/state,subject/1/hierarchicalGeographic/county,subject/1/hierarchicalGeographic/city,subject/7/hierarchicalGeographic/country,subject/7/hierarchicalGeographic/state,subject/7/hierarchicalGeographic/county,subject/7/hierarchicalGeographic/city,relatedItem/0/name/0/namePart/0,subject/0/hierarchicalGeographic/country,subject/0/hierarchicalGeographic/state,subject/0/hierarchicalGeographic/county,subject/0/hierarchicalGeographic/city,location/0/shelfLocator,location/1/shelfLocator,location/2/physicalLocation,location/2/shelfLocator,note/6/_type,note/6/__text,subject/2/hierarchicalGeographic/country,subject/2/hierarchicalGeographic/state,subject/2/hierarchicalGeographic/county,subject/2/hierarchicalGeographic/city,titleInfo/2/subTitle,originInfo/0/edition,note/0/_altRepGroup,subject/1/titleInfo/0/title,subject/2/topic/1,subject/2/geographic/1,subject/3/topic/1
Ann Arbor argus,Ann Arbor argus (1969),uniform,text,marcgt,newspaper,rdacontent,text,,Newspapers.,,Student protest literature-Newspapers.,code,marccountry,miu,text,"Ann Arbor, Mich","Ken Kelley, David Baker",1969-,marc,start,1969,marc,end,1971,serial,Biweekly,marcfrequency,Biweekly,iso639-2b,code,eng,marcform,electronic,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,media,rdamedia,unmediated,carrier,rdacarrier,volume,date/sequential designation,"Vol. 1, no. 1 (January 24-February 7, 1969)-",date/sequential designation,Ceased in 1971?,"Published by: Ann Arbor Argus Newspaper, Dec. 4, 1969-","""Ann Arbor's Revolutionary Community Bi-weekly.""",Title from cover.,"Special repression issue, Mar. 13-27, 1969.","Special people's peace treaty conference, supplement, Feb. 5-7, 1971.",marcgac,n-us-mi,Subculture,Michigan,Ann Arbor,Newspapers,lcsh,Underground press publications,United States,Newspapers,lcsh,Subculture,,Underground press publications,,Counter culture,Michigan,Ann Arbor,Newspapers,,Ann Arbor (Mich.),In popular culture,Newspapers,lcsh,Washtenaw County (Mich.),Newspapers,lcsh,Michigan,Ann Arbor,,Michigan,Washtenaw County,,United States,,United States,Michigan,Washtenaw,Ann Arbor,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 1969 to 06/30/1971,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BEIBCAC,Ann Arbor argus (1969),local,(DLC)sn 97063326,local,(OCoLC)875198240,otherFormat,Online version:,Ann Arbor argus,local,(OCoLC)48844398,otherFormat,Microfilm version:,aacr,marcorg,MUL,marc,750727,iso8601,20181218082853.0,9040515,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",iso639-2b,code,eng,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley barb,,,text,marcgt,periodical,,,,,,,code,marccountry,cau,text,"Berkeley, Calif",International News Keyus],,marc,end,1980,,,,serial,"Biweekly, <,Apr. 10-23, 1980->",,,iso639-2b,code,eng,marcform,print,,,,,,,,,,,,,date/sequential designation,1-   1965-,date/sequential designation,"Suspended publication as of the July 4, 1980, issue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcorg,MUL,marc,750807,iso8601,19990522220422.0,520164,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,1965,"Weekly, 1980-","Biweekly, 1978-","Weekly, 1965-1978",marcfrequency,Bimonthly,PIT PITT,PIT PITX,issn,0005-9161,lccn,sn 78001858,oclc,01519563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley barb,,,text,marcgt,periodical,rdacontent,text,,Electronic journals.,,Newspapers.,code,marccountry,cau,,,,,marc,end,1980,,,,serial,"Biweekly, Oct. 12, 1978-July 3, 1980",,,iso639-2b,code,eng,marcform,electronic,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,media,rdamedia,computer,carrier,rdacarrier,online resource,date/sequential designation,"Began with: Vol. 1, no. 1 (Aug. 13, 1965); ceased with: Vol. 30, no. 24 (July 3, 1980).",,,,,,,,marcgac,n-us-ca,,,,Newspapers,lcsh,,,,,Underground press publications,lcsh,Student movements,lcsh,Counterculture,California,Berkeley,Newspapers,lcsh,California,Political activists,Newspapers,lcsh,,,,,,,,,,,,,,,,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 08/13/1965 to 07/03/1980,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGD,Berkeley barb,issn,0005-9161,local,(DLC)   72008026,otherFormat,Print version:,,,,,,rda,marcorg,UKAMD,marc,120419,iso8601,20190513110131.0,8826051,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",iso639-2b,code,eng,3.5,marc,start,1965,"Weekly, Aug. 13, 1965-Sept. 29, 1978",,,,,,,issn,0005-9161,,,,,"Scherr, Max.",text,Editor.,personal,marcfrequency,Biweekly,text,"Berkeley, CA :","Max Scherr,",1965-1980.,publication,text,"Berkeley, California :",International News Keyus,,publication,"Editor and publisher, Max Scherr.",marcgac,n-us---,"University of California, Berkeley",corporate,"University of California, Berkeley.",corporate,California,Berkeley,California,Berkeley,Newspapers,Berkeley,Counterculture,Political activists,Politics and government,Student movements,Underground press publications,,United States,Politics and government,Newspapers,lcsh,California,Berkeley,,United States,,lcc,AP2 B4563,ddc,23,306.105,local,(OCoLC)1519563,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley tribe,,,text,marcgt,newspaper,,,,,,,code,marccountry,cau,text,"Berkeley, California",,,marc,end,1972,,,,serial,,,,iso639-2b,code,eng,marcform,print,,,,,,,,,,,,,date/sequential designation,1-   1969-,date/sequential designation,"Ceased publication May, 1972. New serial titles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcorg,MUL,marc,750807,iso8601,19990522220422.0,520166,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,1969,,,,,,PIT PITX,,issn,0005-9188,oclc,01519569,,,Red Mountain tribe,,,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcfrequency,Weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley tribe,,,text,marcgt,newspaper,rdacontent,text,,Newspapers.,,,code,marccountry,cau,,,,,marc,end,1972,,,,serial,"Biweekly, Feb. 3, 1972-",,,iso639-2b,code,eng,marcform,electronic,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,media,rdamedia,computer,carrier,rdacarrier,online resource,date/sequential designation,"Began with: Vol. 1, no. 2 (July 10-24, 1969); Ceased in May, 1972.",,,"""Published by the staff of the former Barb""",,,,,marcgac,n-us-ca,,,,,,,,,,Underground press publications,lcsh,Student movements,lcsh,"Vietnam War, 1961-1975",California,Berkeley,Newspapers,lcsh,California,Counterculture,Newspapers,lcsh,California,Newspapers,lcsh,,,,,,,,,,,,,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 07/10/1969 to 05/31/1972,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BFBJFGJ,Telly gazette,,,,,constituent,,Berkeley tribe,issn,0005-9188,otherFormat,Print version:,rda,marcorg,UKAMD,marc,120419,iso8601,20190513110134.0,8826053,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",iso639-2b,code,eng,3.5,marc,start,1969,"Weekly, July 10, 1969-Jan. 28, 1972",,,,,,,issn,0005-9188,,,,,Red Mountain Tribe,,,corporate,marcfrequency,Biweekly,text,"[Berkeley, CA] :","[Red Mountain Tribe],",[1969-1972].,publication,,,,,,Masthead ornament: Eagle and snake entwined.,marcgac,n-us---,Vietnam War (1961-1975),conference,,,California,Berkeley,California,Berkeley,Newspapers,Berkeley,Political activists,Counterculture,Political activists,Politics and government,Protest movements,,,Student movements,,,,,,United States,lcsh,lcc,AP2,ddc,23,306.105,,,yes,,,numbering,"Special last issue, May, 1972.",marcgac,a-vt---,1961-1975,Protest movements,Berkeley,Underground press publications,Politics and government,Newspapers,California,Berkeley,,United States,,"Oct. 10-16, 1969.",local,(DLC)sn 87060230,local,(OCoLC)1519569,Barb on strike,preceding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilalian news,,,text,marcgt,periodical,,,,,,,code,marccountry,ilu,text,Chicago,"Bilalian News, inc.",,marc,end,1981,,,,serial,Weekly,marcfrequency,Weekly,iso639-2b,code,eng,marcform,print,,,,,,,,,,,,,date/sequential designation,"v. 1-6; Nov. 14, 1975-Oct. 30, 1981.",,,,,,,,,,African American newspapers,,,,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad speaks,local,(OCoLC)1758821,,,preceding,,World Muslim news,issn,0744-0014,succeeding,,,marcorg,CWR,marc,770518,iso8601,20010713111527.0,541008,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,1975,,,,,,PIT PITX,,issn,0161-8644,lccn,sn 78004682,oclc,02975269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,(OCoLC)7966890,,,,,6 v. ill. 39 cm.,Black Muslims,Periodicals,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black panther,,,text,marcgt,periodical,,,,,,,code,marccountry,cau,text,"Oakland, Calif., etc.]","Black Panther Party, Ministry of Information.",,marc,end,1980,,,,serial,,,,iso639-2b,code,eng,marcform,print,,,,,,,,,,,,,date/sequential designation,"v. 1-20, no. 9; 1967-Sept. 1980.",,,,,,,,marcgac,n-us---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcorg,PIT,marc,760620,iso8601,19990522220422.0,533127,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,1967,,,,,,PIT PITX,,issn,0523-7238,lccn,74008013,lccn,sn 78005677,Black Panther Party,,,corporate,,,,,,,,,,,,,"""Black community news service.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,lcc,AP2 .B612,ddc,,323.2/0973,,,,marcfrequency,Weekly,,,,,,,,,,,,,,,,,,,,,,,v. ill. (part col.) 45 cm.,,,,The,Ministry of Information.,additional physical form,Available on microfilm from University Microfilms.,yes,oclc,02258393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
black panther,,,text,,,,,,,,,code,marccountry,vau,text,"Oakland, Calif","Black Panther Party, Ministry of Information.",,,,,,,,serial,,,,iso639-2b,code,eng,marcform,electronic,marccategory,electronic resource,marcsmd,remote,,,,,,,,,date/sequential designation,v. 1 no 1 (Jan. 1967)-,,,,,,,,marcgac,n-us-ca,,,,Newspapers,lcsh,African Americans,California,Newspapers,lcsh,Underground press publications,lcsh,,lcsh,,Alameda County (Calif.),,Newspapers,lcsh,,,,,,,,,,,,,,,,,,,,electronic resource,primary display,Pitt users please click through to access via Alexander Street Press.,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?BLTC;S17112,,local,(DLC)   74008013,,,otherFormat,,Black thought and culture,,,series,,,marcorg,PPiU,marc,760620,iso8601,20120903200850.0,6091580,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,2008,,,,,,,,lccn,74008013,lccn,sn 78005677,,,"Hillard, David.",,,personal,,,,,,,,,,,,,"The Alexander Street Press database, Black thought and culture, includes 452 issues of this newspaper.  For article level access please search the database.",,,Black Panther Party,corporate,,,California,,Oakland (Calif.),,Newspapers,,,,,,,,,,,,,,,,,lcc,AP2 .B612,ddc,,323.2/0973,,,,,,,,,,,,,,,,,,,,,,,,,,,,v. : ill. (some col.) ; 45 cm.,,,,The,,reproduction,"Electronic reproduction. Alexandria, VA : Alexander Street Press, 2006. (Black thought and culture). Available via World Wide Web.",,,,Black Panther Party,Ministry of Information.,corporate,access,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black panther,,,text,marcgt,newspaper,,,,,,,code,marccountry,ohu,text,"Oakland, Calif",[Black Panther Party],1967-,marc,start,1967,marc,end,1980,serial,,,,iso639-2b,code,eng,marcform,microfilm,gmd,microform,,,,,,,,,,,date/sequential designation,Began with vol. 1 (1967).,date/sequential designation,"Ceased with vol. 20, no. 9 (Sept. 1980).","Description based on: Vol. 1, no. 5 (July 20, 1967).","""Black community news service.""",,,,marcgac,n-us---,African Americans,,,Periodicals,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black panther,local,(OCoLC)2258393,,,otherFormat,,Underground newspaper collection,,,series,,,marcorg,PIT,marc,820401,iso8601,20011106030020.0,550016,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,,,,,,,,,PIT PIT2,,issn,0523-7238,oclc,08299802,,,Black Panther Party,,,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcfrequency,Unknown,,,,,,,,,,,,,,,,,,,,,,,20 v. : ill. ; 45 cm.,,,,The,,,,,,,,,,,,reproduction,"Microfilm. Wooster, Ohio : Micro Photo Division, Bell & Howell.  microfilm reels ; 35 mm. (Underground newspaper collection)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East village other,,,text,marcgt,newspaper,,,,,,,code,marccountry,nyu,text,New York,,,marc,end,9999,,,,serial,,,,iso639-2b,code,eng,marcform,print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcorg,MUL,marc,750824,iso8601,19990522220422.0,521532,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",,,,3.5,marc,start,1uuu,,,,,,PIT PITX,,issn,0012-8562,oclc,01567261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marcfrequency,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
